"","session_id","referrer","gambfalgroup","gambfalDV"
"85",2401243,"brasilia","two6",1
"86",2401244,"brasilia","two6",1
"87",2401246,"brasilia","three6",4.47213595499958
"88",2401249,"brasilia","two6",1.73205080756888
"89",2401250,"brasilia","three6",4.47213595499958
"90",2401251,"brasilia","two6",0
"91",2401252,"brasilia","two6",1.73205080756888
"92",2401255,"brasilia","two6",0
"93",2401257,"brasilia","two6",2.44948974278318
"94",2401258,"brasilia","two6",2
"95",2401259,"brasilia","three6",2
"96",2401260,"brasilia","two6",2.23606797749979
"97",2401261,"brasilia","three6",1.73205080756888
"98",2401305,"brasilia","two6",2.23606797749979
"99",2401306,"brasilia","two6",1.73205080756888
"100",2401308,"brasilia","three6",2
"101",2401309,"brasilia","two6",5.47722557505166
"102",2401312,"brasilia","three6",6
"103",2401316,"brasilia","two6",2.44948974278318
"104",2401319,"brasilia","two6",6.78232998312527
"105",2401320,"brasilia","three6",4.89897948556636
"106",2401322,"brasilia","three6",1.73205080756888
"107",2401325,"brasilia","two6",1.4142135623731
"108",2401328,"brasilia","three6",1.4142135623731
"109",2401329,"brasilia","two6",5.47722557505166
"110",2401335,"brasilia","two6",2
"111",2401336,"brasilia","two6",1.73205080756888
"112",2401341,"brasilia","three6",3.16227766016838
"113",2401343,"brasilia","two6",1.4142135623731
"114",2401352,"brasilia","three6",1.4142135623731
"115",2401368,"brasilia","three6",4.47213595499958
"116",2401371,"brasilia","three6",1
"117",2401380,"brasilia","two6",2.64575131106459
"118",2401382,"brasilia","three6",14.560219778561
"119",2401385,"brasilia","three6",2.82842712474619
"121",2401389,"brasilia","three6",1.73205080756888
"122",2401390,"brasilia","three6",1.4142135623731
"123",2401391,"brasilia","two6",2
"124",2401393,"brasilia","three6",2.44948974278318
"125",2401396,"brasilia","three6",2.23606797749979
"126",2401398,"brasilia","three6",1.4142135623731
"127",2401399,"brasilia","two6",1
"128",2401400,"brasilia","two6",0
"129",2401402,"brasilia","two6",2
"130",2401405,"brasilia","three6",2.82842712474619
"131",2401417,"brasilia","two6",7.07106781186548
"132",2401440,"brasilia","two6",2.64575131106459
"133",2401462,"brasilia","three6",1.73205080756888
"134",2401463,"brasilia","three6",1.73205080756888
"135",2401464,"brasilia","three6",2
"136",2401466,"brasilia","two6",0
"137",2401472,"brasilia","two6",0
"138",2401476,"brasilia","three6",1.73205080756888
"139",2401485,"brasilia","two6",1.73205080756888
"140",2401488,"brasilia","two6",2.23606797749979
"141",2401489,"brasilia","three6",1.73205080756888
"142",2401490,"brasilia","three6",6.48074069840786
"143",2401494,"brasilia","two6",1
"144",2401495,"brasilia","three6",1.73205080756888
"145",2401497,"brasilia","two6",2
"146",2402832,"brasilia","three6",2.44948974278318
"147",2403781,"brasilia","three6",3.87298334620742
"149",2406260,"brasilia","two6",6.85565460040104
"150",2413394,"brasilia","three6",2.23606797749979
"151",2413458,"brasilia","three6",4.47213595499958
"152",2422247,"brasilia","three6",2.44948974278318
"153",2422422,"brasilia","three6",3.16227766016838
"154",2422639,"brasilia","two6",0
"155",2426482,"brasilia","three6",1.4142135623731
"156",2428845,"brasilia","three6",14.142135623731
"157",2428937,"brasilia","three6",2
"158",2429105,"brasilia","three6",2.44948974278318
"159",2429257,"brasilia","three6",1.73205080756888
"160",2439535,"brasilia","three6",2.23606797749979
"161",2442313,"brasilia","three6",2.23606797749979
"162",2442618,"brasilia","three6",1.73205080756888
"163",2442751,"brasilia","three6",1.4142135623731
"164",2445814,"brasilia","three6",1.4142135623731
"165",2446096,"brasilia","three6",2.23606797749979
"166",2451802,"brasilia","two6",3.87298334620742
"167",2452252,"brasilia","three6",2.82842712474619
"168",2452326,"brasilia","three6",6
"169",2453867,"brasilia","three6",1
"170",2457082,"brasilia","two6",2.23606797749979
"171",2457236,"brasilia","two6",1.4142135623731
"172",2458747,"brasilia","two6",2.44948974278318
"174",2458919,"brasilia","three6",1.73205080756888
"175",2462035,"brasilia","three6",1.4142135623731
"176",2465382,"brasilia","three6",4.89897948556636
"177",2465673,"brasilia","three6",2.82842712474619
"178",2465905,"brasilia","three6",1.4142135623731
"179",2466041,"brasilia","two6",2.44948974278318
"180",2466133,"brasilia","two6",7.87400787401181
"181",2467447,"brasilia","two6",1.73205080756888
"182",2467639,"brasilia","three6",2
"184",2467949,"brasilia","three6",2.23606797749979
"186",2469707,"brasilia","two6",1.73205080756888
"187",2469812,"brasilia","two6",1
"189",2470010,"brasilia","three6",1.4142135623731
"190",2470140,"brasilia","two6",2.23606797749979
"191",2471873,"brasilia","two6",0
"192",2472163,"brasilia","three6",1.4142135623731
"193",2472247,"brasilia","three6",2.23606797749979
"194",2472309,"brasilia","two6",0
"195",2477425,"brasilia","two6",1.73205080756888
"196",2477613,"brasilia","three6",1
"197",2477757,"brasilia","two6",1
"198",2477847,"brasilia","three6",5.47722557505166
"199",2479434,"brasilia","three6",1
"200",2479598,"brasilia","three6",3.16227766016838
"201",2479656,"brasilia","two6",1.73205080756888
"202",2479774,"brasilia","two6",2.23606797749979
"203",2482449,"brasilia","two6",2.82842712474619
"204",2482575,"brasilia","three6",22.3606797749979
