"","session_id","referrer","gambfalgroup","gambfalDV"
"846",2483669,"ku","two6",7.74596669241483
"847",2483687,"ku","two6",1.73205080756888
"848",2483760,"ku","three6",1.73205080756888
"849",2483819,"ku","three6",3.87298334620742
"851",2483870,"ku","two6",1.4142135623731
"852",2483963,"ku","two6",0
"854",2484223,"ku","three6",1
"855",2484248,"ku","three6",2.44948974278318
"856",2484282,"ku","three6",2.23606797749979
"857",2484311,"ku","three6",2.23606797749979
"859",2484518,"ku","two6",1.73205080756888
"861",2484655,"ku","two6",1.4142135623731
"862",2484735,"ku","two6",0
"863",2484763,"ku","two6",0
"864",2484839,"ku","two6",3.16227766016838
"865",2484935,"ku","two6",2.23606797749979
"866",2484964,"ku","two6",5
"867",2484991,"ku","three6",3.74165738677394
"868",2484998,"ku","three6",10
"869",2485106,"ku","two6",1.73205080756888
"870",2485128,"ku","two6",0
"871",2485343,"ku","two6",2.44948974278318
"872",2485384,"ku","three6",7.07106781186548
"874",2486033,"ku","two6",1.73205080756888
"875",2486087,"ku","three6",2
"876",2486120,"ku","three6",2.23606797749979
"877",2486130,"ku","two6",1.73205080756888
"878",2486139,"ku","three6",1.4142135623731
"879",2486189,"ku","three6",14.6628782986152
"880",2486238,"ku","two6",0
"881",2486297,"ku","three6",2.44948974278318
"882",2486389,"ku","two6",2.64575131106459
"883",2486683,"ku","two6",1.73205080756888
"884",2487627,"ku","two6",2.64575131106459
"885",2487736,"ku","two6",5.65685424949238
"886",2487969,"ku","three6",1.73205080756888
"888",2488624,"ku","two6",1.4142135623731
"889",2489799,"ku","three6",1.73205080756888
"890",2489978,"ku","two6",2.82842712474619
"891",2490370,"ku","two6",2.23606797749979
"892",2491599,"ku","two6",0
"893",2491676,"ku","two6",3.16227766016838
"894",2492244,"ku","three6",14.5945195193264
"895",2493467,"ku","three6",14.6969384566991
"896",2497422,"ku","three6",3.87298334620742
"897",2497833,"ku","two6",2.64575131106459
"898",2498540,"ku","two6",4.24264068711928
"899",2500646,"ku","three6",3.46410161513775
"900",2500653,"ku","two6",10
"901",2500657,"ku","two6",0
"902",2500684,"ku","three6",1.4142135623731
"903",2500701,"ku","three6",1.4142135623731
"904",2500731,"ku","two6",2
"906",2500768,"ku","two6",10
"907",2500814,"ku","two6",1.4142135623731
"908",2500872,"ku","two6",1.73205080756888
"909",2500947,"ku","two6",2
"910",2500948,"ku","two6",4.12310562561766
"911",2500958,"ku","two6",0
"912",2500977,"ku","three6",2.64575131106459
"913",2501006,"ku","three6",1.73205080756888
"914",2501189,"ku","two6",2
"915",2501191,"ku","three6",1.73205080756888
"916",2501212,"ku","three6",1.73205080756888
"917",2501262,"ku","two6",2.23606797749979
"918",2501392,"ku","two6",2.23606797749979
"919",2501462,"ku","two6",0
"920",2501531,"ku","three6",1.73205080756888
"921",2501765,"ku","three6",2
"922",2501785,"ku","three6",2.23606797749979
"923",2501908,"ku","three6",1.73205080756888
"924",2502030,"ku","three6",14.6969384566991
"925",2502048,"ku","two6",0
"926",2502097,"ku","three6",3.16227766016838
"927",2502180,"ku","two6",1.73205080756888
"929",2503127,"ku","three6",1.4142135623731
"930",2503177,"ku","two6",3
"931",2503211,"ku","three6",1
"932",2503400,"ku","two6",1.73205080756888
"933",2503441,"ku","three6",3
"934",2503649,"ku","three6",1.4142135623731
"935",2503687,"ku","two6",1.4142135623731
"936",2503943,"ku","three6",14.5945195193264
"937",2504147,"ku","two6",0
"938",2504151,"ku","three6",2.44948974278318
"939",2504793,"ku","two6",1.73205080756888
"940",2504918,"ku","three6",3.16227766016838
"941",2504958,"ku","three6",2
"942",2505085,"ku","three6",2
"943",2505329,"ku","two6",0
"944",2505448,"ku","three6",1
"945",2505529,"ku","three6",2.23606797749979
"947",2505570,"ku","two6",0
"948",2506806,"ku","two6",1.4142135623731
"949",2506845,"ku","two6",1
"950",2506881,"ku","three6",6
"951",2507070,"ku","two6",2.44948974278318
"952",2507282,"ku","two6",6
"953",2509148,"ku","three6",4.58257569495584
"954",2510451,"ku","three6",2
"955",2510549,"ku","two6",0
"956",2510938,"ku","three6",1.73205080756888
"957",2511223,"ku","three6",3.46410161513775
"958",2511739,"ku","two6",1.73205080756888
