"","session_id","referrer","gambfalgroup","gambfalDV"
"4331",2435605,"qccuny","two6",2
"4332",2435609,"qccuny","three6",2.44948974278318
"4333",2435611,"qccuny","three6",2.64575131106459
"4335",2435994,"qccuny","three6",5
"4336",2435995,"qccuny","two6",1.73205080756888
"4337",2436001,"qccuny","three6",2
"4338",2436104,"qccuny","three6",1
"4339",2436106,"qccuny","three6",1.73205080756888
"4340",2436108,"qccuny","two6",1.4142135623731
"4341",2436109,"qccuny","three6",3.16227766016838
"4342",2440777,"qccuny","three6",2.82842712474619
"4343",2442207,"qccuny","two6",0
"4344",2442594,"qccuny","three6",1.4142135623731
"4345",2442597,"qccuny","three6",2.64575131106459
"4346",2442600,"qccuny","three6",1
"4347",2442616,"qccuny","three6",1
"4348",2443480,"qccuny","three6",7.07106781186548
"4349",2443559,"qccuny","three6",2
"4350",2445944,"qccuny","two6",1
"4351",2445947,"qccuny","three6",1
"4352",2445952,"qccuny","two6",2.23606797749979
"4353",2445955,"qccuny","two6",1.4142135623731
"4354",2446058,"qccuny","two6",5.19615242270663
"4355",2446093,"qccuny","three6",2.44948974278318
"4356",2446098,"qccuny","three6",1
"4357",2446101,"qccuny","two6",0
"4358",2446232,"qccuny","three6",3.16227766016838
"4359",2446279,"qccuny","two6",2.23606797749979
"4360",2446283,"qccuny","three6",4.47213595499958
"4361",2447378,"qccuny","three6",7.07106781186548
"4362",2447379,"qccuny","two6",2.44948974278318
"4364",2447382,"qccuny","two6",1.73205080756888
"4365",2447428,"qccuny","two6",2.44948974278318
"4366",2447431,"qccuny","three6",4.47213595499958
"4367",2447432,"qccuny","three6",1
"4368",2447571,"qccuny","three6",1.73205080756888
"4369",2451780,"qccuny","three6",3.3166247903554
"4370",2452217,"qccuny","two6",3.16227766016838
"4371",2452227,"qccuny","two6",1.4142135623731
"4372",2452232,"qccuny","three6",3.16227766016838
"4373",2452233,"qccuny","three6",1.73205080756888
"4374",2452291,"qccuny","two6",4.24264068711928
"4375",2452351,"qccuny","two6",1.4142135623731
"4376",2452354,"qccuny","two6",0
"4377",2452358,"qccuny","two6",2.44948974278318
"4378",2454871,"qccuny","two6",0
"4381",2454887,"qccuny","three6",4.89897948556636
"4382",2454953,"qccuny","two6",2.44948974278318
"4383",2458773,"qccuny","two6",0
"4384",2458792,"qccuny","three6",1.73205080756888
"4385",2458793,"qccuny","two6",3.16227766016838
"4387",2458873,"qccuny","two6",1.4142135623731
"4388",2458876,"qccuny","three6",1
"4389",2458906,"qccuny","two6",1.4142135623731
"4390",2458992,"qccuny","three6",4.69041575982343
"4391",2458996,"qccuny","three6",1.73205080756888
"4392",2459011,"qccuny","two6",2.23606797749979
"4393",2459017,"qccuny","three6",2.23606797749979
"4394",2460980,"qccuny","two6",2
"4395",2460982,"qccuny","two6",0
"4396",2460988,"qccuny","three6",1.4142135623731
"4397",2461079,"qccuny","three6",1.4142135623731
"4399",2461195,"qccuny","three6",7.07106781186548
"4400",2461359,"qccuny","three6",2
"4402",2465683,"qccuny","two6",0
"4404",2466123,"qccuny","two6",1.73205080756888
"4405",2466125,"qccuny","three6",14.9666295470958
"4406",2468372,"qccuny","two6",1.4142135623731
"4407",2468381,"qccuny","two6",2.23606797749979
"4408",2468429,"qccuny","two6",7.07106781186548
"4409",2468430,"qccuny","three6",2.44948974278318
"4411",2468449,"qccuny","three6",1.4142135623731
"4412",2469494,"qccuny","three6",2.23606797749979
"4413",2469495,"qccuny","three6",1.4142135623731
"4414",2469498,"qccuny","two6",2.23606797749979
"4415",2469526,"qccuny","two6",3
"4416",2469837,"qccuny","two6",0
"4417",2469845,"qccuny","two6",2.64575131106459
"4418",2469848,"qccuny","two6",1.73205080756888
"4419",2469854,"qccuny","three6",1.4142135623731
"4420",2470430,"qccuny","three6",2.44948974278318
"4421",2470432,"qccuny","two6",2.23606797749979
"4422",2472217,"qccuny","three6",1.73205080756888
"4423",2472226,"qccuny","two6",3.74165738677394
"4424",2472339,"qccuny","three6",2.23606797749979
"4425",2472340,"qccuny","three6",2.23606797749979
"4426",2472380,"qccuny","three6",1.4142135623731
"4427",2472440,"qccuny","three6",1.73205080756888
"4428",2472457,"qccuny","three6",1.73205080756888
"4429",2473367,"qccuny","three6",3.16227766016838
"4430",2473368,"qccuny","three6",1
"4432",2473484,"qccuny","two6",2.23606797749979
"4433",2473485,"qccuny","three6",4.24264068711928
