"","session_id","referrer","gambfalgroup","gambfalDV"
"5861",2448165,"vcu","two6",2.23606797749979
"5862",2451793,"vcu","two6",3.16227766016838
"5863",2451903,"vcu","two6",4.24264068711928
"5864",2451987,"vcu","three6",4.47213595499958
"5865",2457829,"vcu","two6",0
"5866",2458789,"vcu","three6",4.24264068711928
"5867",2458795,"vcu","three6",2.23606797749979
"5868",2458799,"vcu","three6",5.47722557505166
"5869",2458838,"vcu","three6",3.46410161513775
"5870",2458840,"vcu","three6",1.73205080756888
"5871",2458846,"vcu","two6",1.73205080756888
"5872",2458891,"vcu","three6",5.47722557505166
"5873",2458896,"vcu","two6",1.73205080756888
"5874",2458907,"vcu","three6",1.73205080756888
"5875",2458917,"vcu","two6",3.16227766016838
"5876",2458939,"vcu","three6",5.19615242270663
"5877",2458963,"vcu","two6",3.16227766016838
"5878",2458993,"vcu","three6",6
"5879",2459055,"vcu","two6",1.4142135623731
"5880",2459062,"vcu","three6",2
"5881",2459110,"vcu","two6",2.23606797749979
"5882",2461604,"vcu","two6",2
"5883",2461607,"vcu","two6",10
"5884",2461614,"vcu","two6",1.73205080756888
"5885",2461714,"vcu","three6",1.4142135623731
"5886",2461716,"vcu","three6",4.24264068711928
"5887",2465635,"vcu","three6",1.73205080756888
"5888",2465638,"vcu","two6",1.4142135623731
"5889",2465639,"vcu","two6",0
"5890",2465710,"vcu","two6",1.73205080756888
"5891",2465711,"vcu","two6",1.4142135623731
"5892",2465713,"vcu","two6",0
"5893",2465756,"vcu","three6",3.16227766016838
"5894",2465758,"vcu","two6",1.4142135623731
"5895",2465793,"vcu","two6",3.16227766016838
"5896",2465826,"vcu","three6",5.47722557505166
"5897",2465946,"vcu","three6",2.44948974278318
"5898",2467333,"vcu","three6",2
"5899",2467427,"vcu","two6",2.23606797749979
"5900",2467490,"vcu","three6",1.73205080756888
"5901",2472268,"vcu","two6",0
"5902",2472270,"vcu","three6",6
"5903",2472311,"vcu","two6",10.3923048454133
"5904",2472313,"vcu","three6",2.23606797749979
"5905",2472314,"vcu","two6",1.4142135623731
"5906",2472424,"vcu","three6",4.47213595499958
"5907",2472454,"vcu","two6",1
"5908",2472461,"vcu","three6",3.46410161513775
"5909",2472484,"vcu","three6",3.16227766016838
"5910",2472527,"vcu","three6",4.24264068711928
"5911",2472533,"vcu","two6",1.4142135623731
"5912",2473443,"vcu","three6",1.4142135623731
"5913",2473491,"vcu","two6",2
"5914",2473628,"vcu","two6",1
"5915",2473629,"vcu","two6",0
"5916",2473630,"vcu","three6",5.47722557505166
"5917",2477381,"vcu","three6",4.47213595499958
"5918",2477384,"vcu","two6",0
"5919",2477392,"vcu","three6",6
"5920",2477407,"vcu","three6",5.19615242270663
"5921",2477432,"vcu","three6",6
"5922",2477481,"vcu","two6",1.73205080756888
"5923",2477552,"vcu","two6",2.64575131106459
"5924",2477553,"vcu","three6",7.74596669241483
"5925",2477608,"vcu","two6",2
"5926",2479419,"vcu","three6",4.47213595499958
"5927",2479456,"vcu","three6",1.4142135623731
"5928",2479459,"vcu","two6",1.73205080756888
"5929",2479461,"vcu","three6",2.23606797749979
"5930",2479491,"vcu","two6",1.4142135623731
"5931",2479492,"vcu","two6",1
"5932",2479551,"vcu","two6",1.4142135623731
"5933",2479552,"vcu","three6",1
"5934",2479556,"vcu","three6",5.47722557505166
"5935",2479606,"vcu","three6",1
"5936",2479607,"vcu","three6",3.16227766016838
"5937",2479610,"vcu","three6",2.23606797749979
"5938",2484393,"vcu","two6",3.16227766016838
"5939",2484394,"vcu","three6",3.16227766016838
"5940",2484409,"vcu","three6",2.44948974278318
"5941",2484479,"vcu","three6",2.23606797749979
"5942",2484583,"vcu","two6",2
"5943",2484584,"vcu","three6",4.47213595499958
"5944",2484605,"vcu","three6",2.23606797749979
"5945",2484731,"vcu","two6",3
"5946",2484821,"vcu","three6",5.47722557505166
"5948",2486359,"vcu","three6",4.47213595499958
"5949",2486360,"vcu","two6",1.4142135623731
"5950",2486471,"vcu","two6",1
"5951",2486800,"vcu","two6",4.47213595499958
"5952",2486813,"vcu","three6",3.16227766016838
"5953",2486820,"vcu","three6",2.23606797749979
"5954",2486838,"vcu","three6",1.73205080756888
"5955",2486843,"vcu","two6",2
"5957",2490265,"vcu","two6",2.82842712474619
"5958",2490268,"vcu","three6",2.23606797749979
"5959",2490275,"vcu","two6",2.23606797749979
"5960",2490276,"vcu","two6",1.4142135623731
"5961",2490281,"vcu","two6",1.4142135623731
"5962",2490326,"vcu","three6",4.24264068711928
"5963",2490327,"vcu","two6",3.16227766016838
"5964",2490328,"vcu","two6",1.73205080756888
"5965",2490371,"vcu","two6",2.23606797749979
"5966",2490398,"vcu","three6",1
"5967",2492269,"vcu","two6",2
"5968",2492270,"vcu","three6",1.4142135623731
