"","session_id","referrer","gambfalgroup","gambfalDV"
"206",2430722,"charles","two6",1
"207",2430809,"charles","three6",1.4142135623731
"208",2430815,"charles","three6",5.91607978309962
"209",2430817,"charles","two6",0
"211",2458125,"charles","three6",3
"213",2458128,"charles","two6",1.4142135623731
"214",2458129,"charles","two6",0
"215",2458130,"charles","three6",3.16227766016838
"216",2458136,"charles","three6",2.82842712474619
"218",2458139,"charles","two6",1.73205080756888
"219",2458156,"charles","two6",1.4142135623731
"221",2458159,"charles","two6",2.23606797749979
"222",2458160,"charles","two6",12.4899959967968
"223",2458161,"charles","three6",3.16227766016838
"224",2458162,"charles","two6",11.4891252930761
"225",2458165,"charles","three6",3.16227766016838
"226",2458168,"charles","two6",1.4142135623731
"227",2458193,"charles","two6",2.23606797749979
"228",2458195,"charles","three6",3.16227766016838
"229",2458197,"charles","three6",12.4899959967968
"230",2458198,"charles","two6",0
"231",2458200,"charles","two6",5.74456264653803
"232",2458202,"charles","two6",2.23606797749979
"233",2467052,"charles","two6",0
"234",2467053,"charles","two6",2.44948974278318
"235",2467054,"charles","three6",5.19615242270663
"236",2467055,"charles","three6",22.3606797749979
"237",2467057,"charles","three6",5.47722557505166
"238",2467058,"charles","three6",3.87298334620742
"239",2467059,"charles","two6",2
"240",2469642,"charles","two6",5
"241",2469646,"charles","two6",3.46410161513775
"242",2469648,"charles","two6",2.44948974278318
"243",2469799,"charles","two6",1
"244",2469803,"charles","three6",14.6628782986152
"245",2469810,"charles","two6",1.73205080756888
"246",2469814,"charles","three6",1.73205080756888
"247",2469821,"charles","three6",12.2474487139159
"248",2469823,"charles","three6",3.46410161513775
"251",2471619,"charles","two6",3.3166247903554
"252",2471620,"charles","two6",2.44948974278318
"253",2471621,"charles","three6",3.87298334620742
"254",2471623,"charles","two6",1
"255",2471626,"charles","two6",1.4142135623731
"256",2471628,"charles","two6",1
"257",2478671,"charles","three6",1.4142135623731
"258",2478675,"charles","two6",2.23606797749979
"259",2478695,"charles","two6",2.23606797749979
"261",2478697,"charles","two6",2.64575131106459
"262",2481659,"charles","three6",3.16227766016838
"263",2481660,"charles","two6",2.23606797749979
"264",2481672,"charles","two6",0
"265",2481673,"charles","three6",14.6628782986152
"266",2481674,"charles","two6",1.73205080756888
"267",2481677,"charles","two6",0
"268",2481691,"charles","two6",1.4142135623731
"269",2481697,"charles","three6",3.46410161513775
"270",2481698,"charles","two6",0
"274",2481830,"charles","two6",1.4142135623731
"275",2481831,"charles","three6",10
"276",2481833,"charles","two6",3.16227766016838
"277",2481834,"charles","two6",0
"278",2483864,"charles","three6",2.23606797749979
"279",2483865,"charles","two6",0
"280",2483867,"charles","three6",1
"281",2483869,"charles","two6",1.73205080756888
"282",2483875,"charles","three6",1.73205080756888
"283",2483877,"charles","two6",2.64575131106459
"284",2484010,"charles","two6",1.73205080756888
"285",2484011,"charles","two6",2
"286",2484012,"charles","two6",1
"287",2484013,"charles","three6",1
