"","session_id","referrer","gambfalgroup","gambfalDV"
"2784",2462516,"oxy","three6",4.24264068711928
"2786",2467505,"oxy","two6",1.73205080756888
"2787",2468479,"oxy","three6",5
"2788",2468498,"oxy","three6",2
"2789",2468526,"oxy","two6",1.4142135623731
"2790",2468562,"oxy","two6",1.73205080756888
"2792",2472850,"oxy","three6",1.73205080756888
"2793",2472858,"oxy","two6",0
"2794",2473837,"oxy","three6",3.16227766016838
"2795",2474014,"oxy","three6",6
"2796",2474020,"oxy","three6",2.44948974278318
"2797",2474056,"oxy","three6",1
"2798",2474176,"oxy","two6",0
"2799",2474177,"oxy","two6",1.73205080756888
"2800",2474189,"oxy","two6",0
"2801",2474252,"oxy","two6",1.73205080756888
"2804",2477855,"oxy","two6",0
"2805",2477933,"oxy","two6",1
"2806",2477938,"oxy","two6",1.73205080756888
"2807",2478303,"oxy","two6",0
"2808",2478307,"oxy","two6",0
"2809",2478344,"oxy","two6",3.46410161513775
"2810",2478349,"oxy","three6",6.32455532033676
"2811",2479320,"oxy","three6",14.6969384566991
"2812",2479506,"oxy","two6",1.73205080756888
"2813",2479520,"oxy","three6",2.23606797749979
"2814",2479543,"oxy","two6",0
"2815",2479549,"oxy","two6",1.4142135623731
"2816",2479567,"oxy","three6",7.07106781186548
"2818",2480067,"oxy","three6",1
"2819",2480069,"oxy","three6",3.16227766016838
"2820",2480096,"oxy","two6",1.73205080756888
"2821",2480103,"oxy","two6",1
"2822",2480200,"oxy","three6",3.87298334620742
"2823",2480203,"oxy","three6",1
"2824",2480294,"oxy","three6",5
"2825",2480312,"oxy","two6",1
"2826",2480351,"oxy","three6",14.6969384566991
"2827",2480368,"oxy","three6",4.47213595499958
"2828",2480423,"oxy","two6",1
"2830",2482032,"oxy","two6",0
"2831",2482046,"oxy","two6",6.32455532033676
"2833",2482637,"oxy","two6",1.4142135623731
"2834",2482713,"oxy","two6",0
"2835",2482718,"oxy","two6",0
"2836",2482744,"oxy","three6",12.2474487139159
"2837",2482764,"oxy","two6",1.4142135623731
"2838",2482785,"oxy","three6",3.87298334620742
"2839",2482886,"oxy","two6",0
"2841",2482889,"oxy","three6",1.4142135623731
"2843",2483379,"oxy","three6",6
"2844",2483385,"oxy","two6",7.07106781186548
"2845",2484212,"oxy","two6",1.73205080756888
"2846",2484256,"oxy","three6",10.770329614269
"2847",2484273,"oxy","two6",2.23606797749979
"2849",2484312,"oxy","two6",2.23606797749979
"2850",2484316,"oxy","two6",1.4142135623731
"2851",2484345,"oxy","two6",2
"2852",2484429,"oxy","two6",7.74596669241483
"2853",2484440,"oxy","two6",3.16227766016838
"2854",2484486,"oxy","two6",2
"2855",2484488,"oxy","two6",2.23606797749979
"2856",2484532,"oxy","three6",3.87298334620742
"2858",2484634,"oxy","two6",7.28010988928052
"2859",2484656,"oxy","three6",1
"2860",2484661,"oxy","three6",3.16227766016838
"2861",2484737,"oxy","two6",0
"2862",2484741,"oxy","two6",3.16227766016838
"2863",2484870,"oxy","two6",0
"2865",2485179,"oxy","two6",0
"2867",2485317,"oxy","two6",1.73205080756888
"2868",2485321,"oxy","two6",0
"2870",2485335,"oxy","three6",4.47213595499958
"2872",2485352,"oxy","three6",4.47213595499958
"2873",2485378,"oxy","two6",3.46410161513775
"2874",2485381,"oxy","three6",4.24264068711928
"2875",2485408,"oxy","two6",3.16227766016838
"2876",2485423,"oxy","two6",0
"2878",2486362,"oxy","three6",5
"2879",2486467,"oxy","three6",4.47213595499958
"2881",2486681,"oxy","two6",1.4142135623731
"2882",2486686,"oxy","two6",0
"2883",2486705,"oxy","two6",5.74456264653803
"2884",2486762,"oxy","two6",1
"2885",2487006,"oxy","two6",1.4142135623731
"2887",2487040,"oxy","two6",1.4142135623731
"2888",2487042,"oxy","three6",1
"2889",2487072,"oxy","two6",1.4142135623731
"2890",2487074,"oxy","two6",1.4142135623731
"2891",2487113,"oxy","three6",2.23606797749979
"2892",2487115,"oxy","two6",0
"2893",2487152,"oxy","three6",7.07106781186548
"2894",2487187,"oxy","two6",2
"2895",2487188,"oxy","two6",0
"2897",2487196,"oxy","two6",0
"2898",2487219,"oxy","two6",1.4142135623731
"2899",2487225,"oxy","three6",10
"2901",2487255,"oxy","two6",3.16227766016838
"2902",2487257,"oxy","three6",14.6969384566991
"2903",2487268,"oxy","two6",0
"2904",2487272,"oxy","three6",4.24264068711928
"2905",2487330,"oxy","three6",1
