"","session_id","referrer","gambfalgroup","gambfalDV"
"6065",2401013,"wku","three6",7.07106781186548
"6066",2401059,"wku","two6",2.44948974278318
"6067",2401273,"wku","two6",4.47213595499958
"6069",2401277,"wku","two6",1
"6070",2401278,"wku","two6",11.7046999107196
"6071",2401294,"wku","two6",5.29150262212918
"6072",2401426,"wku","two6",1
"6073",2411348,"wku","three6",1.73205080756888
"6074",2411349,"wku","two6",1.73205080756888
"6075",2411350,"wku","two6",3.87298334620742
"6076",2411352,"wku","three6",1.4142135623731
"6077",2411472,"wku","three6",1.73205080756888
"6079",2411474,"wku","two6",0
"6080",2411475,"wku","three6",1.73205080756888
"6081",2411479,"wku","three6",7.07106781186548
"6082",2411560,"wku","three6",4.47213595499958
"6083",2411561,"wku","two6",1.73205080756888
"6084",2411562,"wku","two6",1.4142135623731
"6085",2411564,"wku","two6",3.87298334620742
"6086",2411568,"wku","two6",2.23606797749979
"6087",2411569,"wku","two6",3.46410161513775
"6088",2411724,"wku","three6",2
"6089",2411727,"wku","three6",2.44948974278318
"6090",2411854,"wku","three6",3.87298334620742
"6091",2411858,"wku","two6",3.16227766016838
"6092",2411860,"wku","two6",2.82842712474619
"6093",2411862,"wku","two6",5
"6094",2411945,"wku","two6",1
"6095",2411946,"wku","two6",3.16227766016838
"6096",2411947,"wku","two6",1.73205080756888
"6097",2411954,"wku","three6",1.4142135623731
"6098",2412031,"wku","three6",14.6969384566991
"6100",2412033,"wku","three6",2
"6101",2412035,"wku","two6",1.73205080756888
"6102",2412037,"wku","two6",2.23606797749979
"6103",2412071,"wku","three6",4.47213595499958
"6104",2412072,"wku","three6",3.16227766016838
"6105",2412075,"wku","three6",2.64575131106459
"6106",2412084,"wku","three6",2.23606797749979
"6107",2412085,"wku","two6",3.16227766016838
"6108",2426096,"wku","three6",2.82842712474619
"6109",2426218,"wku","two6",2
"6110",2426308,"wku","two6",5
"6111",2426586,"wku","two6",3.16227766016838
"6112",2442947,"wku","two6",1
"6113",2442959,"wku","two6",2
"6114",2443365,"wku","two6",3.16227766016838
"6115",2443463,"wku","two6",7.07106781186548
"6116",2443466,"wku","three6",2.44948974278318
"6117",2443468,"wku","two6",1.73205080756888
"6118",2443632,"wku","two6",1.4142135623731
"6119",2443634,"wku","three6",3.16227766016838
"6120",2456929,"wku","three6",7.07106781186548
"6121",2456974,"wku","three6",1.73205080756888
"6122",2467295,"wku","two6",2.23606797749979
"6123",2469962,"wku","two6",0
"6124",2469972,"wku","three6",4.47213595499958
"6125",2470019,"wku","three6",2.44948974278318
"6126",2470021,"wku","two6",1.4142135623731
"6127",2470108,"wku","three6",1
"6128",2470118,"wku","two6",6
"6129",2470120,"wku","three6",1.73205080756888
"6130",2470122,"wku","two6",1.4142135623731
"6131",2470195,"wku","two6",1
"6132",2470289,"wku","three6",2.44948974278318
"6133",2470353,"wku","three6",3.16227766016838
"6134",2470356,"wku","two6",3.16227766016838
"6135",2470433,"wku","two6",1.73205080756888
"6136",2470434,"wku","three6",3.16227766016838
"6137",2470510,"wku","three6",3.74165738677394
"6138",2477199,"wku","two6",0
"6139",2477200,"wku","two6",3.16227766016838
"6140",2481988,"wku","two6",1.4142135623731
"6141",2482008,"wku","three6",2.44948974278318
"6142",2482011,"wku","three6",1.73205080756888
"6144",2482013,"wku","two6",1.73205080756888
"6145",2482014,"wku","two6",0
"6147",2482103,"wku","two6",1
"6148",2482104,"wku","two6",2.82842712474619
"6149",2482117,"wku","two6",2.23606797749979
"6150",2482123,"wku","two6",1.73205080756888
"6151",2482124,"wku","two6",2.44948974278318
"6152",2482149,"wku","two6",3.16227766016838
"6153",2482150,"wku","two6",1
"6154",2482199,"wku","three6",4.47213595499958
"6155",2482203,"wku","three6",3.46410161513775
"6156",2482275,"wku","two6",0
"6157",2482278,"wku","two6",1.4142135623731
"6159",2482481,"wku","two6",1
"6160",2482485,"wku","two6",1.4142135623731
"6161",2482487,"wku","three6",1.73205080756888
"6162",2482573,"wku","two6",1.73205080756888
"6163",2482576,"wku","three6",2
"6164",2482577,"wku","two6",1
"6165",2482581,"wku","two6",1.73205080756888
"6166",2482596,"wku","two6",1.4142135623731
"6167",2482610,"wku","three6",3.46410161513775
