"","session_id","referrer","sex","d_art","iat_exclude"
"1494",2399787,"mcdaniel","f",0.994230746168928,"Include"
"1495",2399902,"mcdaniel","m",0.845950103262769,"Include"
"1496",2400037,"mcdaniel","f",1.13082209323846,"Include"
"1497",2400210,"mcdaniel","f",0.408574905305448,"Include"
"1498",2400235,"mcdaniel","f",-0.228174026033813,"Include"
"1499",2401208,"mcdaniel","f",0.343031881394777,"Include"
"1500",2401951,"mcdaniel","f",0.319045091430465,"Include"
"1501",2402044,"mcdaniel","m",-0.40381996164672,"Include"
"1502",2402928,"mcdaniel","f",0.882197258499801,"Include"
"1503",2403279,"mcdaniel","m",0.0768835696639116,"Include"
"1504",2403281,"mcdaniel","f",0.994146187686094,"Include"
"1505",2403486,"mcdaniel","f",0.760088754161214,"Include"
"1507",2404062,"mcdaniel","f",0.458084789095888,"Include"
"1509",2404963,"mcdaniel","f",0.771186945513974,"Include"
"1510",2406245,"mcdaniel","f",0.996340948278146,"Include"
"1511",2406254,"mcdaniel","f",0.85533893234553,"Include"
"1512",2406284,"mcdaniel","f",-0.319272576586418,"Include"
"1513",2406393,"mcdaniel","f",1.06661076520637,"Include"
"1514",2406430,"mcdaniel","f",1.01634194660048,"Include"
"1515",2406659,"mcdaniel","f",0.410794218870151,"Include"
"1516",2407838,"mcdaniel","f",0.734835411996611,"Include"
"1517",2407974,"mcdaniel","f",0.318277186793773,"Include"
"1518",2408350,"mcdaniel","f",-0.121930817965796,"Include"
"1519",2411236,"mcdaniel","m",0.822986535829274,"Include"
"1520",2417482,"mcdaniel","m",-0.00518811175085318,"Include"
"1521",2417521,"mcdaniel","f",0.00980446621897735,"Include"
"1522",2419187,"mcdaniel","f",-0.099183963208719,"Include"
"1523",2419449,"mcdaniel","m",-0.684423449140788,"Include"
"1524",2419466,"mcdaniel","f",0.517497250152219,"Include"
"1525",2422137,"mcdaniel","f",0.310073085441333,"Include"
"1526",2426038,"mcdaniel","m",-0.210484845518504,"Include"
"1528",2432796,"mcdaniel","f",0.0235682787043542,"Include"
"1530",2437191,"mcdaniel","f",1.26090453717654,"Include"
"1531",2443785,"mcdaniel","f",0.558576865028942,"Include"
"1532",2450946,"mcdaniel","f",1.11068759002654,"Include"
"1533",2451040,"mcdaniel","f",0.704075050372802,"Include"
