"","session_id","referrer","sex","d_art","iat_exclude"
"2677",2461191,"osu","f",0.526950903624768,"Include"
"2678",2461193,"osu","f",0.356911574878519,"Include"
"2679",2461194,"osu","f",0.713271037782482,"Include"
"2680",2461196,"osu","f",0.696982292656723,"Include"
"2683",2461201,"osu","f",-0.24790388275386,"Include"
"2684",2461202,"osu","m",-0.225116612327247,"Include"
"2685",2461204,"osu","m",-0.471121572341902,"Include"
"2686",2461207,"osu","m",0.281402441279147,"Include"
"2687",2461208,"osu","m",-0.0114729563966787,"Include"
"2688",2461212,"osu","f",0.533718579234554,"Include"
"2689",2461217,"osu","m",-0.220088730616908,"Include"
"2692",2461225,"osu","f",0.00445315864255291,"Include"
"2694",2461231,"osu","f",0.548303747357125,"Include"
"2695",2461235,"osu","f",0.82398520094096,"Include"
"2696",2461236,"osu","f",0.672508764459422,"Include"
"2697",2461292,"osu","f",0.0279799640606537,"Include"
"2698",2461298,"osu","f",-0.5536436419612,"Include"
"2699",2461299,"osu","m",-0.0442370554697958,"Include"
"2700",2461308,"osu","f",-0.12771577302777,"Include"
"2701",2461309,"osu","f",-0.305615247907352,"Include"
"2702",2461310,"osu","f",1.15527977890138,"Include"
"2703",2461311,"osu","m",0.220075097667782,"Include"
"2706",2461321,"osu","f",0.813572201231787,"Include"
"2707",2461327,"osu","f",1.05510224457892,"Include"
"2708",2461330,"osu","f",0.104057278269853,"Include"
"2709",2461333,"osu","f",1.09681081170997,"Include"
"2710",2461334,"osu","f",1.00095110831581,"Include"
"2711",2461335,"osu","f",0.300746146535955,"Include"
"2712",2461338,"osu","f",0.925132121741127,"Include"
"2713",2461340,"osu","f",0.0690682973211025,"Include"
"2715",2461342,"osu","f",0.880926190265958,"Include"
"2716",2461343,"osu","f",0.483471952597626,"Include"
"2717",2461476,"osu","f",0.621971342832267,"Include"
"2719",2461479,"osu","f",-0.264928390470706,"Include"
"2720",2461481,"osu","f",0.478399431782328,"Include"
"2721",2461487,"osu","f",0.129618115691528,"Include"
"2722",2461488,"osu","m",-0.0511598885211466,"Include"
"2723",2461489,"osu","f",0.70207252996753,"Include"
"2725",2461492,"osu","m",-0.103932259435144,"Include"
"2726",2461495,"osu","f",0.0414358495845184,"Include"
"2727",2461497,"osu","m",-0.0619588329067053,"Include"
"2728",2461499,"osu","f",0.381232247777812,"Include"
"2729",2461500,"osu","m",-0.276111653304864,"Include"
"2730",2461503,"osu","f",0.5386759922338,"Include"
"2731",2461504,"osu","f",0.424681466578498,"Include"
"2732",2461505,"osu","f",0.134225952061532,"Include"
"2733",2461510,"osu","f",-0.108340146830706,"Include"
"2734",2461512,"osu","m",0.893123544088393,"Include"
"2735",2461513,"osu","f",-0.400433297865137,"Include"
"2736",2461518,"osu","f",0.163084243262323,"Include"
"2737",2461521,"osu","m",-0.388857516430148,"Include"
"2738",2461524,"osu","f",1.24587397294895,"Include"
"2739",2461532,"osu","f",0.021323163161583,"Include"
"2740",2461645,"osu","m",-0.299902288353132,"Include"
"2741",2461650,"osu","f",0.622999504868665,"Include"
"2742",2461652,"osu","f",0.0843217664814699,"Include"
"2743",2461656,"osu","m",0.319298955983914,"Include"
"2745",2461659,"osu","m",0.545319030686848,"Include"
"2747",2461663,"osu","f",0.466286005300942,"Include"
"2748",2461664,"osu","f",0.118630390725427,"Include"
"2749",2461666,"osu","f",-0.0766901559284042,"Include"
"2750",2461668,"osu","f",0.402788660056929,"Include"
"2751",2461672,"osu","f",0.458362863694403,"Include"
"2752",2461673,"osu","f",0.109585552393611,"Include"
"2753",2461674,"osu","f",0.500298080955845,"Include"
"2754",2461676,"osu","m",-0.394924852050384,"Include"
"2755",2461685,"osu","m",0.449576392401882,"Include"
"2757",2461690,"osu","m",-0.385884391399869,"Include"
"2759",2461706,"osu","f",0.444590111473397,"Include"
"2760",2461707,"osu","m",-0.0615020850131979,"Include"
"2761",2461710,"osu","m",0.402701618855216,"Include"
"2762",2461828,"osu","f",0.199591785310982,"Include"
"2764",2461832,"osu","f",0.496517066338907,"Include"
"2765",2461834,"osu","f",0.813270913664638,"Include"
"2767",2461841,"osu","f",0.360481028293161,"Include"
"2768",2461848,"osu","m",0.596625329361875,"Include"
"2769",2461849,"osu","f",0.335187160836357,"Include"
"2770",2461852,"osu","m",0.696214108984737,"Include"
"2771",2461855,"osu","f",-0.344248467733928,"Include"
"2773",2461858,"osu","m",0.0388115344883236,"Include"
"2774",2461860,"osu","m",0.805082379976289,"Include"
"2775",2461861,"osu","m",0.201186080000246,"Include"
"2776",2461864,"osu","m",0.214402400386502,"Include"
"2777",2461865,"osu","f",-0.283986872421406,"Include"
"2778",2461867,"osu","m",1.02635451219162,"Include"
"2779",2461868,"osu","f",0.477825310624296,"Include"
"2780",2461870,"osu","f",0.42234507025296,"Include"
"2781",2461876,"osu","f",0.963066052400038,"Include"
"2782",2461880,"osu","m",-0.282968586055019,"Include"
"2783",2461925,"osu","m",0.0537325897561917,"Include"
