"","session_id","referrer","sex","d_art","iat_exclude"
"5429",2489735,"tilburg","f",0.833786733674847,"Include"
"5430",2489737,"tilburg","f",-0.64823071323063,"Include"
"5431",2489745,"tilburg","m",1.23206262834585,"Include"
"5432",2489754,"tilburg","m",0.202082450649402,"Include"
"5433",2489757,"tilburg","f",0.79534876889383,"Include"
"5434",2489759,"tilburg","f",-0.379406609076752,"Include"
"5436",2489764,"tilburg","f",1.28217545588959,"Include"
"5437",2489765,"tilburg","f",0.608385919787001,"Include"
"5438",2489766,"tilburg","f",1.2795694746113,"Include"
"5439",2489777,"tilburg","m",0.0272204204823542,"Include"
"5440",2489790,"tilburg","m",0.494753581410178,"Include"
"5441",2489797,"tilburg","f",1.2658357581948,"Include"
"5442",2489800,"tilburg","m",-0.496615715458969,"Include"
"5443",2489804,"tilburg","m",0.0959381320769269,"Include"
"5444",2489805,"tilburg","f",0.323710613858553,"Include"
"5445",2489813,"tilburg","f",0.414763780516152,"Include"
"5446",2489815,"tilburg","f",0.562460060922779,"Include"
"5447",2489819,"tilburg","f",0.343164579055289,"Include"
"5448",2489821,"tilburg","m",0.986329845868136,"Include"
"5449",2489838,"tilburg","f",0.800733334162672,"Include"
"5450",2489840,"tilburg","m",0.497674230073933,"Include"
"5451",2489841,"tilburg","f",-0.611441186587615,"Include"
"5452",2489842,"tilburg","f",0.823085836168689,"Include"
"5453",2489843,"tilburg","f",0.0918014148734268,"Include"
"5454",2489845,"tilburg","m",1.19005712066979,"Include"
"5455",2489846,"tilburg","f",0.0310253151424167,"Include"
"5456",2489847,"tilburg","f",0.982038256575228,"Include"
"5457",2491621,"tilburg","f",0.380617727657153,"Include"
"5458",2491639,"tilburg","f",0.769559209617056,"Include"
"5459",2491640,"tilburg","m",0.879206672229643,"Include"
"5460",2491659,"tilburg","f",0.3991549774815,"Include"
"5461",2491660,"tilburg","f",0.437744313860443,"Include"
"5462",2491661,"tilburg","f",0.120507995183674,"Include"
"5463",2491663,"tilburg","f",-0.313857903661395,"Include"
"5464",2491675,"tilburg","m",1.08940012107709,"Include"
"5465",2491681,"tilburg","f",1.19279463675558,"Include"
"5466",2491682,"tilburg","f",0.117786908912864,"Include"
"5467",2491691,"tilburg","f",0.878817476565014,"Include"
"5468",2491692,"tilburg","f",1.09551388756352,"Include"
"5469",2491693,"tilburg","f",0.851498653333559,"Include"
"5470",2491695,"tilburg","f",-0.268508103608287,"Include"
"5471",2491697,"tilburg","m",0.0459038212410341,"Include"
"5472",2491699,"tilburg","f",0.194833158542251,"Include"
"5473",2491701,"tilburg","f",1.32261705019877,"Include"
"5474",2493370,"tilburg","f",0.336027942032074,"Include"
"5475",2493371,"tilburg","f",0.112579387001687,"Include"
"5476",2493372,"tilburg","f",0.75084702784468,"Include"
"5477",2493374,"tilburg","f",1.03684163297515,"Include"
"5478",2493375,"tilburg","m",-0.118297269676488,"Include"
"5479",2493403,"tilburg","f",0.0502339401608695,"Include"
"5480",2493583,"tilburg","f",1.12923644233175,"Include"
"5481",2493618,"tilburg","f",0.859423650554628,"Include"
"5482",2493623,"tilburg","m",0.276828411873736,"Include"
"5483",2493627,"tilburg","f",0.223308570506037,"Include"
"5484",2493630,"tilburg","f",0.222981814217279,"Include"
"5485",2493632,"tilburg","m",-0.075297843563701,"Include"
"5487",2493639,"tilburg","m",0.440482392034087,"Include"
"5488",2493643,"tilburg","f",0.73004065049448,"Include"
"5489",2495318,"tilburg","m",0.915405420570796,"Include"
"5490",2495320,"tilburg","f",0.393460139164085,"Include"
"5491",2495321,"tilburg","f",-0.598712877115234,"Include"
"5492",2495322,"tilburg","f",0.732781151003326,"Include"
"5493",2495352,"tilburg","f",0.916745742754111,"Include"
"5494",2495425,"tilburg","f",0.684177716950698,"Include"
"5495",2495427,"tilburg","f",-0.505146171707457,"Include"
"5496",2495429,"tilburg","f",1.15936613341163,"Include"
"5497",2495430,"tilburg","f",1.00477665753584,"Include"
"5498",2495431,"tilburg","f",0.30178738767251,"Include"
"5499",2495433,"tilburg","f",-0.651009382468415,"Include"
"5500",2495435,"tilburg","m",0.518313063600005,"Include"
"5501",2495438,"tilburg","m",0.131402652824334,"Include"
"5502",2495440,"tilburg","f",-0.122816295421091,"Include"
"5503",2495458,"tilburg","m",0.240704473856243,"Include"
"5504",2495460,"tilburg","f",1.06104787492083,"Include"
"5505",2495590,"tilburg","f",0.225615150205088,"Include"
"5506",2497280,"tilburg","f",1.14715853399979,"Include"
"5507",2497308,"tilburg","f",0.195826537488337,"Include"
"5508",2497333,"tilburg","f",0.790298474453884,"Include"
