"","session_id","referrer","sex","d_art","iat_exclude"
"5969",2451755,"wisc","f",0.299675156043721,"Include"
"5970",2451756,"wisc","m",-0.193655035916074,"Include"
"5971",2451762,"wisc","f",1.08583080591344,"Include"
"5972",2451763,"wisc","f",-0.572666928129662,"Include"
"5973",2451765,"wisc","f",-0.135005811432856,"Include"
"5974",2451768,"wisc","f",-0.504589427587527,"Include"
"5975",2451769,"wisc","f",0.629456155733778,"Include"
"5976",2451773,"wisc","f",0.307320209358083,"Include"
"5977",2451775,"wisc","m",-0.639426204725135,"Include"
"5978",2451782,"wisc","f",1.03735811116915,"Include"
"5979",2451811,"wisc","m",0.335041278438525,"Include"
"5980",2451854,"wisc","m",0.426798835244093,"Include"
"5981",2451914,"wisc","m",1.24572540425478,"Include"
"5982",2451915,"wisc","f",1.00561204774586,"Include"
"5984",2451918,"wisc","f",0.517890928607369,"Include"
"5985",2451920,"wisc","f",0.501526963699559,"Include"
"5986",2451921,"wisc","f",0.526273027457578,"Include"
"5987",2451924,"wisc","f",1.13400979820296,"Include"
"5988",2451926,"wisc","m",-0.40055629923605,"Include"
"5989",2451927,"wisc","f",0.213392403659717,"Include"
"5990",2451929,"wisc","f",1.02903607437005,"Include"
"5991",2451942,"wisc","f",0.512021938451136,"Include"
"5992",2451979,"wisc","f",0.927089706580415,"Include"
"5993",2451983,"wisc","m",0.4578713142994,"Include"
"5994",2461615,"wisc","f",0.341661203443532,"Include"
"5995",2461618,"wisc","f",0.900590503721065,"Include"
"5996",2461619,"wisc","f",0.655292595723628,"Include"
"5997",2461623,"wisc","f",1.08428602389791,"Include"
"5998",2461641,"wisc","f",0.484908113095612,"Include"
"5999",2461643,"wisc","f",1.22687452385859,"Include"
"6000",2461658,"wisc","f",1.06570733807755,"Include"
"6001",2461749,"wisc","f",0.110588296200152,"Include"
"6002",2461756,"wisc","f",-0.294276623782546,"Include"
"6004",2461774,"wisc","f",0.593984447451732,"Include"
"6005",2461788,"wisc","f",0.458308284986967,"Include"
"6006",2461790,"wisc","m",0.029620320276337,"Include"
"6007",2461792,"wisc","f",0.484889388699068,"Include"
"6008",2461806,"wisc","f",1.01629538329474,"Include"
"6009",2461810,"wisc","m",1.23512720923999,"Include"
"6010",2461899,"wisc","f",0.832684941702795,"Include"
"6011",2461906,"wisc","f",1.16976632279584,"Include"
"6012",2461911,"wisc","f",0.758047680358756,"Include"
"6013",2461913,"wisc","m",0.610317626982159,"Include"
"6014",2461915,"wisc","m",0.903168603141655,"Include"
"6015",2461918,"wisc","f",0.615794497514796,"Include"
"6016",2461920,"wisc","f",0.72878966410334,"Include"
"6017",2461921,"wisc","m",-0.0247216526484982,"Include"
"6018",2461924,"wisc","f",0.673687994061766,"Include"
"6019",2461974,"wisc","f",0.864618989442387,"Include"
"6020",2461982,"wisc","f",1.02315068849728,"Include"
"6021",2461986,"wisc","f",1.10909120720704,"Include"
"6022",2461988,"wisc","f",0.236875509822109,"Include"
"6023",2461994,"wisc","f",0.0933466517058377,"Include"
"6024",2462000,"wisc","f",0.627117574318528,"Include"
"6025",2462005,"wisc","f",0.934953111016662,"Include"
"6026",2462007,"wisc","m",-0.0970469686167507,"Include"
"6027",2462009,"wisc","f",0.781770392551439,"Include"
"6028",2462013,"wisc","f",0.263915477858099,"Include"
"6029",2462014,"wisc","f",1.04626118699237,"Include"
"6030",2462063,"wisc","f",0.750154497561973,"Include"
"6031",2462080,"wisc","m",-0.240269314444961,"Include"
"6032",2462088,"wisc","f",1.07365222330008,"Include"
"6033",2462094,"wisc","f",1.02700143911941,"Include"
"6034",2462102,"wisc","f",0.25356747589044,"Include"
"6035",2462104,"wisc","f",1.0322239490826,"Include"
"6036",2462128,"wisc","f",0.132405421741436,"Include"
"6037",2462132,"wisc","f",0.368875213588582,"Include"
"6038",2462133,"wisc","f",0.895829804541374,"Include"
"6040",2462152,"wisc","f",0.402750607416071,"Include"
"6041",2462184,"wisc","f",0.976310801133485,"Include"
"6042",2462186,"wisc","f",0.75141319491866,"Include"
"6043",2462187,"wisc","f",0.774000897442646,"Include"
"6045",2462194,"wisc","f",0.269768116283237,"Include"
"6046",2465656,"wisc","f",0.351706277454173,"Include"
"6047",2465659,"wisc","f",1.01873101433256,"Include"
"6048",2465663,"wisc","f",0.513310011678028,"Include"
"6049",2465664,"wisc","f",0.205406579013413,"Include"
"6050",2465666,"wisc","f",-0.287523020382797,"Include"
"6051",2465667,"wisc","m",0.0204782470994311,"Include"
"6052",2465671,"wisc","m",0.234976685076813,"Include"
"6053",2465672,"wisc","f",0.959861769753967,"Include"
"6054",2465677,"wisc","f",0.568190869850943,"Include"
"6055",2465714,"wisc","f",1.17546502245771,"Include"
"6056",2465716,"wisc","f",0.36350648712405,"Include"
"6058",2477363,"wisc","f",0.82839560531844,"Include"
"6059",2477365,"wisc","f",0.476804773106255,"Include"
"6060",2477368,"wisc","f",0.639782292267673,"Include"
"6061",2477371,"wisc","f",1.0962249826052,"Include"
"6062",2477374,"wisc","f",0.0749691821885651,"Include"
"6063",2477375,"wisc","f",0.814704997744302,"Include"
"6064",2477418,"wisc","f",0.25841881468563,"Include"
