"","session_id","referrer","sex","d_art","iat_exclude"
"6258",2454344,"wpi","f",0.358084578609165,"Include"
"6259",2454353,"wpi","m",0.191978226412798,"Include"
"6260",2454385,"wpi","f",0.636566620911575,"Include"
"6261",2456569,"wpi","m",-0.351020553579439,"Include"
"6262",2456576,"wpi","m",-0.0466744510906031,"Include"
"6263",2458809,"wpi","m",0.149164240488074,"Include"
"6264",2458813,"wpi","m",-0.36890403411713,"Include"
"6265",2458816,"wpi","f",0.255815098086254,"Include"
"6266",2458872,"wpi","f",-0.864215164496997,"Include"
"6267",2458893,"wpi","f",0.681406301973162,"Include"
"6268",2458967,"wpi","f",0.881029279360963,"Include"
"6269",2458970,"wpi","f",-0.164797510953174,"Include"
"6270",2458987,"wpi","m",-0.208932439591097,"Include"
"6271",2459014,"wpi","f",1.03471130309691,"Include"
"6272",2461595,"wpi","f",0.899147476051146,"Include"
"6273",2467812,"wpi","f",0.314008328553513,"Include"
"6274",2472292,"wpi","m",0.808953927509429,"Include"
"6275",2472304,"wpi","f",0.0315902557763776,"Include"
"6276",2472376,"wpi","m",0.00458721365942802,"Include"
"6277",2472395,"wpi","f",0.0833404586531317,"Include"
"6278",2474017,"wpi","m",-0.0472352008125842,"Include"
"6279",2474025,"wpi","m",0.117231061487128,"Include"
"6280",2474095,"wpi","m",0.723749415963641,"Include"
"6281",2474102,"wpi","m",-0.160201325282001,"Include"
"6282",2477627,"wpi","m",-0.256030307810671,"Include"
"6283",2477634,"wpi","m",-0.534494190151867,"Include"
"6284",2477719,"wpi","f",-0.359374791707631,"Include"
"6285",2477729,"wpi","f",0.734820031654433,"Include"
"6286",2477731,"wpi","f",0.845545548443034,"Include"
"6287",2477736,"wpi","f",1.06875214429074,"Include"
"6289",2477766,"wpi","f",1.28095821801257,"Include"
"6290",2477773,"wpi","m",-0.0653579774769058,"Include"
"6291",2477776,"wpi","m",0.91414492644778,"Include"
"6292",2481938,"wpi","f",0.975749797013657,"Include"
"6293",2481944,"wpi","f",0.595509028889983,"Include"
"6294",2482004,"wpi","m",-0.562326924129481,"Include"
"6295",2482043,"wpi","f",-0.288703839112347,"Include"
"6296",2482055,"wpi","m",0.421331387041751,"Include"
"6297",2482067,"wpi","m",1.02653212578601,"Include"
"6298",2482078,"wpi","m",0.19877361105885,"Include"
"6299",2484324,"wpi","m",0.00173838781414706,"Include"
"6300",2484327,"wpi","f",0.900691678724779,"Include"
"6301",2484328,"wpi","f",0.0355976132059875,"Include"
"6302",2484570,"wpi","m",0.522754264591629,"Include"
"6303",2484574,"wpi","m",0.17986938088016,"Include"
"6304",2484654,"wpi","f",0.0107875772791185,"Include"
"6305",2484679,"wpi","f",0.942241657005104,"Include"
"6306",2484690,"wpi","m",0.303518867660639,"Include"
"6307",2484696,"wpi","f",-0.778207896539818,"Include"
"6308",2484748,"wpi","f",1.05561332943018,"Include"
"6309",2484783,"wpi","f",0.442687138503461,"Include"
"6310",2484805,"wpi","m",0.565332699402965,"Include"
"6311",2484862,"wpi","f",1.12778265127438,"Include"
"6312",2484863,"wpi","m",0.054692859569065,"Include"
"6313",2484876,"wpi","f",0.61553082336727,"Include"
"6314",2484887,"wpi","f",0.473705670142016,"Include"
"6315",2484890,"wpi","m",0.184891381013705,"Include"
"6316",2484896,"wpi","f",-0.623100787727554,"Include"
"6317",2484969,"wpi","m",-0.0617855501871063,"Include"
"6318",2484972,"wpi","f",0.767270944692374,"Include"
"6319",2484973,"wpi","m",0.396889049728054,"Include"
"6320",2486492,"wpi","m",-0.555480777057865,"Include"
"6321",2490381,"wpi","m",1.34953357102721,"Include"
"6322",2490384,"wpi","m",-0.0296640926128942,"Include"
"6323",2492391,"wpi","m",0.309678299978509,"Include"
"6324",2492394,"wpi","f",1.11447742369619,"Include"
"6325",2493944,"wpi","f",0.317961777571361,"Include"
"6326",2493955,"wpi","m",0.684743593041598,"Include"
"6327",2493959,"wpi","f",0.106245882500947,"Include"
"6328",2493964,"wpi","m",-0.163170926936819,"Include"
"6331",2494028,"wpi","m",-0.0945181004445573,"Include"
"6332",2494032,"wpi","f",0.523560011203762,"Include"
"6333",2494074,"wpi","m",0.430232572049456,"Include"
"6334",2494078,"wpi","m",-0.134036652491616,"Include"
"6335",2494402,"wpi","f",0.115272773829886,"Include"
"6336",2494404,"wpi","m",0.520303923326244,"Include"
"6337",2494405,"wpi","f",0.530830528907918,"Include"
"6338",2494407,"wpi","f",0.481968729956408,"Include"
"6339",2495930,"wpi","m",0.623240516335578,"Include"
"6340",2495934,"wpi","f",0.808737354488354,"Include"
"6341",2496017,"wpi","m",0.473982092833841,"Include"
"6342",2496023,"wpi","f",-0.110847226794454,"Include"
"6343",2496026,"wpi","m",-0.0347388315359048,"Include"
"6344",2496226,"wpi","f",0.39604813026105,"Include"
