"","session_id","referrer","sex","d_art","iat_exclude"
"85",2401243,"brasilia","m",0.148091303640694,"Include"
"86",2401244,"brasilia","m",0.628534908223034,"Include"
"87",2401246,"brasilia","f",0.497773627187534,"Include"
"88",2401249,"brasilia","f",0.399944725186624,"Include"
"89",2401250,"brasilia","f",0.831463203279499,"Include"
"90",2401251,"brasilia","m",1.14515285044576,"Include"
"91",2401252,"brasilia","f",0.905705378958374,"Include"
"92",2401255,"brasilia","m",-0.206176266953363,"Include"
"93",2401257,"brasilia","m",0.200640401472218,"Include"
"94",2401258,"brasilia","f",0.482608970164637,"Include"
"95",2401259,"brasilia","f",0.604848245571286,"Include"
"96",2401260,"brasilia","f",1.07617845272677,"Include"
"97",2401261,"brasilia","f",0.565046056716216,"Include"
"98",2401305,"brasilia","f",1.02394741535985,"Include"
"99",2401306,"brasilia","m",0.435638540764854,"Include"
"100",2401308,"brasilia","m",-0.582047737351301,"Include"
"101",2401309,"brasilia","f",0.577951132431189,"Include"
"102",2401312,"brasilia","m",0.425430835491504,"Include"
"103",2401316,"brasilia","f",0.68121844634187,"Include"
"105",2401320,"brasilia","m",0.207019754651732,"Include"
"106",2401322,"brasilia","f",0.433796108146286,"Include"
"107",2401325,"brasilia","f",0.562351122135927,"Include"
"108",2401328,"brasilia","m",0.155285174924906,"Include"
"109",2401329,"brasilia","f",0.595107900873003,"Include"
"110",2401335,"brasilia","m",-0.323558943055664,"Include"
"111",2401336,"brasilia","f",0.966658801295373,"Include"
"112",2401341,"brasilia","f",1.20431890795326,"Include"
"113",2401343,"brasilia","m",0.814887238878465,"Include"
"114",2401352,"brasilia","f",-0.0498162444793613,"Include"
"115",2401368,"brasilia","f",1.27945080648417,"Include"
"116",2401371,"brasilia","m",0.369693815330185,"Include"
"117",2401380,"brasilia","m",1.18504815876135,"Include"
"118",2401382,"brasilia","m",0.0971387584916578,"Include"
"119",2401385,"brasilia","m",0.181213039042686,"Include"
"120",2401388,"brasilia","f",0.681005460716173,"Include"
"121",2401389,"brasilia","m",1.25161334150371,"Include"
"122",2401390,"brasilia","f",0.655637402070699,"Include"
"123",2401391,"brasilia","m",0.950125117000459,"Include"
"124",2401393,"brasilia","f",-0.538215428761065,"Include"
"125",2401396,"brasilia","f",0.42336515892629,"Include"
"126",2401398,"brasilia","m",0.463642974312488,"Include"
"127",2401399,"brasilia","m",0.74425980679814,"Include"
"128",2401400,"brasilia","f",0.901996832899983,"Include"
"129",2401402,"brasilia","f",1.17570730265225,"Include"
"130",2401405,"brasilia","f",1.05140061786595,"Include"
"131",2401417,"brasilia","f",0.482567443042544,"Include"
"132",2401440,"brasilia","m",-0.118708694192993,"Include"
"133",2401462,"brasilia","m",0.0678824707816598,"Include"
"134",2401463,"brasilia","f",0.87621991030223,"Include"
"135",2401464,"brasilia","m",0.086287327666378,"Include"
"136",2401466,"brasilia","f",0.0498842762383533,"Include"
"137",2401472,"brasilia","m",0.55375479899872,"Include"
"138",2401476,"brasilia","f",0.686143357044475,"Include"
"139",2401485,"brasilia","f",1.01411814519609,"Include"
"140",2401488,"brasilia","f",0.896619069894684,"Include"
"141",2401489,"brasilia","f",-0.0482169914644856,"Include"
"143",2401494,"brasilia","f",0.957428402789574,"Include"
"144",2401495,"brasilia","f",0.772595193017638,"Include"
"145",2401497,"brasilia","m",1.48970491863831,"Include"
"146",2402832,"brasilia","m",0.489268028745202,"Include"
"148",2404006,"brasilia","f",0.749070403743092,"Include"
"150",2413394,"brasilia","f",1.14677290762104,"Include"
"151",2413458,"brasilia","f",0.742473281111524,"Include"
"152",2422247,"brasilia","f",0.164251046571043,"Include"
"153",2422422,"brasilia","f",0.632475618013787,"Include"
"154",2422639,"brasilia","m",1.01443174818394,"Include"
"155",2426482,"brasilia","m",0.122670294491923,"Include"
"156",2428845,"brasilia","m",-0.367332644582689,"Include"
"157",2428937,"brasilia","f",0.990260872343986,"Include"
"158",2429105,"brasilia","f",0.222566491956741,"Include"
"159",2429257,"brasilia","f",0.812841584782069,"Include"
"160",2439535,"brasilia","f",1.01217781351832,"Include"
"161",2442313,"brasilia","m",0.628861023298222,"Include"
"162",2442618,"brasilia","f",-0.319689337680042,"Include"
"163",2442751,"brasilia","f",0.081574565732369,"Include"
"164",2445814,"brasilia","f",0.992822616137798,"Include"
"165",2446096,"brasilia","m",0.150201975124152,"Include"
"166",2451802,"brasilia","m",0.390623117378565,"Include"
"167",2452252,"brasilia","m",0.454677103580381,"Include"
"168",2452326,"brasilia","m",-0.0637764068034371,"Include"
