"","session_id","referrer","sex","d_art","iat_exclude"
"582",2409609,"ithaca","f",1.10104224205146,"Include"
"583",2442646,"ithaca","f",0.527097531298494,"Include"
"584",2442662,"ithaca","f",0.281867014917772,"Include"
"585",2442673,"ithaca","f",0.316551560538146,"Include"
"586",2442680,"ithaca","f",1.20768520406268,"Include"
"587",2442692,"ithaca","f",0.91839319663047,"Include"
"588",2442700,"ithaca","m",-0.0527737990277843,"Include"
"589",2442711,"ithaca","f",0.741990949702972,"Include"
"590",2442718,"ithaca","m",1.17717724950108,"Include"
"591",2442903,"ithaca","f",0.153128421488281,"Include"
"592",2442906,"ithaca","f",0.559894471881372,"Include"
"593",2442910,"ithaca","f",-0.561162266124237,"Include"
"594",2443194,"ithaca","f",-0.597439530871723,"Include"
"595",2443210,"ithaca","f",0.209488920170562,"Include"
"596",2443211,"ithaca","f",0.508628787821256,"Include"
"597",2443215,"ithaca","f",1.03951441203049,"Include"
"598",2443407,"ithaca","f",1.26480264928313,"Include"
"599",2443413,"ithaca","f",0.828459617739185,"Include"
"600",2443419,"ithaca","f",-0.370920045548597,"Include"
"601",2451795,"ithaca","f",-0.0604238537648178,"Include"
"602",2451900,"ithaca","f",0.336453645285768,"Include"
"603",2451905,"ithaca","f",0.237431303267765,"Include"
"604",2451911,"ithaca","f",0.914340424965265,"Include"
"605",2451919,"ithaca","f",0.778044406904527,"Include"
"606",2451922,"ithaca","f",0.765086314341037,"Include"
"608",2451932,"ithaca","f",0.628010839519067,"Include"
"609",2453957,"ithaca","m",0.304706578511388,"Include"
"610",2453961,"ithaca","f",-0.535904886532857,"Include"
"611",2454068,"ithaca","f",0.386974079947209,"Include"
"612",2454073,"ithaca","f",0.974965451507687,"Include"
"613",2454074,"ithaca","m",-0.733969248084436,"Include"
"614",2454076,"ithaca","f",-0.577812350867397,"Include"
"615",2454080,"ithaca","m",0.718768494586106,"Include"
"616",2454084,"ithaca","f",0.84685240172491,"Include"
"618",2454088,"ithaca","m",0.325208391224386,"Include"
"619",2454089,"ithaca","f",0.272805422414299,"Include"
"620",2454090,"ithaca","f",0.350062623915714,"Include"
"621",2454460,"ithaca","f",0.330979233877748,"Include"
"622",2454461,"ithaca","f",0.658463679563909,"Include"
"623",2454494,"ithaca","m",-0.476392584962839,"Include"
"624",2454600,"ithaca","f",0.489999792323428,"Include"
"625",2456447,"ithaca","f",-0.0430947682898377,"Include"
"626",2456450,"ithaca","f",-0.34614072044186,"Include"
"627",2456456,"ithaca","f",0.212921391696291,"Include"
"628",2456459,"ithaca","f",0.0935401388076548,"Include"
"629",2456460,"ithaca","f",0.263413462041025,"Include"
"630",2456463,"ithaca","f",1.07988191436967,"Include"
"631",2456625,"ithaca","f",0.881467903911917,"Include"
"632",2456811,"ithaca","f",0.61661975023379,"Include"
"633",2456933,"ithaca","f",0.522177453614945,"Include"
"634",2456936,"ithaca","f",0.877969575864331,"Include"
"635",2465685,"ithaca","f",0.65768545411992,"Include"
"636",2465686,"ithaca","f",0.667239325323989,"Include"
"637",2465689,"ithaca","f",0.50261727820471,"Include"
"638",2465799,"ithaca","f",1.16275178887272,"Include"
"639",2465800,"ithaca","f",1.26082640633425,"Include"
"640",2465802,"ithaca","f",0.361712754692048,"Include"
"641",2465803,"ithaca","f",0.93691239381896,"Include"
"642",2465808,"ithaca","m",-0.319316109612321,"Include"
"643",2467455,"ithaca","f",0.334248879274674,"Include"
"644",2467466,"ithaca","f",0.482050322861308,"Include"
"645",2467471,"ithaca","f",0.597727276601418,"Include"
"646",2467477,"ithaca","f",1.02948606837571,"Include"
"647",2467622,"ithaca","m",0.320658449247056,"Include"
"648",2467625,"ithaca","f",0.88721622109711,"Include"
"649",2467630,"ithaca","f",0.275738545369949,"Include"
"650",2467632,"ithaca","m",0.741410496821838,"Include"
"651",2467930,"ithaca","m",0.351745124518252,"Include"
"652",2467935,"ithaca","f",0.457836542590767,"Include"
"653",2467937,"ithaca","m",0.995223670425099,"Include"
"654",2468023,"ithaca","f",1.19173793559028,"Include"
"655",2468025,"ithaca","m",0.87547615672703,"Include"
"656",2469961,"ithaca","m",-0.210565806565396,"Include"
"657",2470134,"ithaca","m",-0.358141247436876,"Include"
"658",2470138,"ithaca","f",0.611090461384376,"Include"
"659",2470304,"ithaca","f",0.999360588305646,"Include"
"660",2470307,"ithaca","m",0.6878591157423,"Include"
"661",2470311,"ithaca","f",0.682943140359254,"Include"
"662",2477383,"ithaca","f",0.865085655305187,"Include"
"663",2477497,"ithaca","f",1.02595217973774,"Include"
"664",2477498,"ithaca","f",1.05180733664868,"Include"
"665",2477501,"ithaca","f",0.615861178371032,"Include"
"666",2477502,"ithaca","f",0.684718075107516,"Include"
"667",2477504,"ithaca","m",0.321100754480548,"Include"
"668",2477506,"ithaca","f",0.544401407884592,"Include"
"669",2477509,"ithaca","f",1.12473811456664,"Include"
"670",2477515,"ithaca","f",0.949033648455619,"Include"
"671",2477516,"ithaca","f",0.710554854432981,"Include"
