"","session_id","referrer","sex","d_art","iat_exclude"
"1348",2451767,"luc","f",0.502469876687376,"Include"
"1349",2451771,"luc","f",0.756939410649187,"Include"
"1350",2451779,"luc","m",-0.166067050569023,"Include"
"1351",2451792,"luc","f",0.461437174730271,"Include"
"1352",2452088,"luc","f",0.105851227598075,"Include"
"1354",2452092,"luc","f",0.186420972809137,"Include"
"1355",2452094,"luc","f",1.05560713087981,"Include"
"1356",2452100,"luc","f",0.828106796065874,"Include"
"1357",2452275,"luc","f",0.689012277110275,"Include"
"1358",2452282,"luc","f",-0.624950939943314,"Include"
"1359",2452290,"luc","m",-0.289685997372819,"Include"
"1360",2452295,"luc","f",0.650435898431149,"Include"
"1361",2452386,"luc","f",0.134477938294691,"Include"
"1362",2452390,"luc","f",0.595696279515739,"Include"
"1363",2452391,"luc","m",0.684462654108654,"Include"
"1364",2452392,"luc","m",0.435525682441789,"Include"
"1365",2452399,"luc","f",0.996369982708785,"Include"
"1366",2452769,"luc","f",0.177685879089491,"Include"
"1367",2452772,"luc","f",0.816533025571289,"Include"
"1368",2452776,"luc","f",0.549612089855237,"Include"
"1369",2452780,"luc","f",0.879363868939433,"Include"
"1370",2452782,"luc","f",0.263507532801214,"Include"
"1371",2452877,"luc","f",0.75154521055886,"Include"
"1372",2452890,"luc","f",0.97969119773808,"Include"
"1373",2456872,"luc","f",0.22598190014131,"Include"
"1374",2456978,"luc","f",0.635545585535082,"Include"
"1375",2457300,"luc","f",0.675719264802519,"Include"
"1376",2457542,"luc","f",-0.308861093002684,"Include"
"1377",2458634,"luc","f",0.973661633657659,"Include"
"1378",2458720,"luc","f",0.904959521154844,"Include"
"1380",2459311,"luc","f",0.721293599194085,"Include"
"1381",2459317,"luc","f",0.425473621384722,"Include"
"1383",2461808,"luc","f",0.0280362186282289,"Include"
"1384",2462172,"luc","f",1.1273742153151,"Include"
"1385",2462453,"luc","f",0.788517246802325,"Include"
"1386",2462479,"luc","f",0.0807144180128024,"Include"
"1387",2465954,"luc","f",0.667455730273484,"Include"
"1388",2466179,"luc","f",0.942792360709758,"Include"
"1389",2466185,"luc","f",1.18015488805079,"Include"
"1390",2466187,"luc","f",0.947636892856989,"Include"
"1391",2466456,"luc","f",-0.120845972555069,"Include"
"1392",2466507,"luc","f",0.643024595031896,"Include"
"1393",2466516,"luc","f",0.795412616394783,"Include"
"1394",2466518,"luc","f",0.971798558588526,"Include"
"1395",2466528,"luc","f",0.486807604332002,"Include"
"1396",2466602,"luc","f",0.649580965782743,"Include"
"1397",2466617,"luc","f",-0.274732749265612,"Include"
"1398",2466618,"luc","f",0.0431363245279649,"Include"
"1399",2467661,"luc","f",0.864231482802386,"Include"
"1400",2467761,"luc","f",1.10468794126361,"Include"
"1401",2467845,"luc","f",0.304044577146574,"Include"
"1402",2467850,"luc","f",0.379544220529392,"Include"
"1403",2467851,"luc","m",-0.00451775234618134,"Include"
"1404",2467880,"luc","f",0.192427620100708,"Include"
"1405",2468035,"luc","f",-0.191254631295334,"Include"
"1406",2468400,"luc","f",0.976561156978779,"Include"
"1407",2468404,"luc","f",0.593675014373876,"Include"
"1408",2468405,"luc","m",-0.33355071901435,"Include"
"1409",2468407,"luc","f",0.259383628230486,"Include"
"1410",2468495,"luc","f",0.471322575292823,"Include"
"1411",2468500,"luc","f",0.040007910883389,"Include"
"1412",2468578,"luc","m",0.950612231402153,"Include"
"1413",2468580,"luc","f",0.109238980613382,"Include"
"1414",2469734,"luc","f",0.645940928668396,"Include"
"1416",2470219,"luc","f",-0.407134202972959,"Include"
"1417",2470513,"luc","f",0.183104461803991,"Include"
"1418",2470516,"luc","f",0.365343173059477,"Include"
"1419",2470529,"luc","f",0.57222285444486,"Include"
"1420",2470662,"luc","f",-0.136455031728708,"Include"
"1421",2470667,"luc","f",0.817108277953898,"Include"
"1422",2470690,"luc","m",0.311143169226768,"Include"
"1423",2470838,"luc","f",0.4596472556612,"Include"
"1424",2470917,"luc","m",0.370629090437561,"Include"
"1425",2471871,"luc","f",0.773591297480105,"Include"
"1426",2472160,"luc","f",0.198195775678726,"Include"
"1427",2472634,"luc","f",0.572055838597612,"Include"
"1428",2472639,"luc","f",0.520709060401788,"Include"
"1429",2472648,"luc","f",0.930033041143409,"Include"
"1430",2472651,"luc","f",0.530153292268573,"Include"
"1431",2472658,"luc","m",0.269655631572935,"Include"
"1432",2472667,"luc","f",-0.896879498146767,"Include"
"1433",2472724,"luc","f",0.691302529985334,"Include"
"1434",2472803,"luc","f",0.511912335588294,"Include"
"1435",2472847,"luc","f",0.359473195479497,"Include"
"1436",2472871,"luc","f",0.527922200989801,"Include"
"1437",2473592,"luc","f",0.702043889150566,"Include"
"1438",2473867,"luc","f",0.326766090507796,"Include"
"1439",2473958,"luc","f",0.838751868511795,"Include"
"1440",2473963,"luc","f",0.493871031763828,"Include"
"1441",2474074,"luc","f",-0.0936801016490601,"Include"
"1442",2474078,"luc","m",0.815484052919147,"Include"
"1443",2474085,"luc","f",0.872747001649697,"Include"
"1444",2474087,"luc","f",0.561057947942902,"Include"
"1445",2474142,"luc","f",1.14227374511981,"Include"
"1446",2474145,"luc","f",0.170524780822927,"Include"
"1447",2482189,"luc","f",1.1107147364354,"Include"
"1448",2482407,"luc","f",1.00696710088133,"Include"
"1449",2482414,"luc","f",-0.3945439800588,"Include"
"1450",2482597,"luc","f",0.574285435965446,"Include"
"1451",2482607,"luc","m",-0.539118215125583,"Include"
"1452",2482937,"luc","f",0.0618285509788384,"Include"
"1453",2482938,"luc","f",0.0256407825779161,"Include"
"1455",2482940,"luc","f",-0.320674335502463,"Include"
"1456",2482943,"luc","f",-0.062590508277917,"Include"
"1457",2482948,"luc","f",0.738263564111967,"Include"
"1458",2483015,"luc","f",0.15996423802765,"Include"
"1459",2483016,"luc","f",-0.621358983255094,"Include"
"1460",2483025,"luc","f",0.84873794851252,"Include"
"1461",2485100,"luc","f",0.607002861359513,"Include"
"1462",2485116,"luc","f",0.864922125908839,"Include"
"1463",2485124,"luc","f",0.981412361548309,"Include"
"1464",2485126,"luc","f",0.638695027352866,"Include"
"1465",2485131,"luc","f",0.963387250346191,"Include"
"1466",2485209,"luc","m",0.188927777669366,"Include"
"1467",2485211,"luc","f",-0.399743697702943,"Include"
"1468",2485214,"luc","f",0.311326696100358,"Include"
"1469",2485217,"luc","f",0.834289957046929,"Include"
"1470",2485220,"luc","f",0.908000431007745,"Include"
"1471",2485330,"luc","f",0.897991464069414,"Include"
"1472",2485341,"luc","m",-0.569096450873549,"Include"
"1473",2485430,"luc","m",0.198162959032073,"Include"
"1474",2486251,"luc","m",0.347501038368354,"Include"
"1475",2486475,"luc","f",0.733267538565865,"Include"
"1476",2486827,"luc","m",0.184667506333921,"Include"
