"","session_id","referrer","sunkgroup","sunkDV"
"582",2409609,"ithaca","free",9
"583",2442646,"ithaca","paid",9
"584",2442662,"ithaca","paid",9
"585",2442673,"ithaca","free",9
"586",2442680,"ithaca","free",7
"587",2442692,"ithaca","free",9
"588",2442700,"ithaca","paid",9
"589",2442711,"ithaca","free",7
"590",2442718,"ithaca","paid",9
"591",2442903,"ithaca","paid",9
"592",2442906,"ithaca","free",7
"593",2442910,"ithaca","free",8
"594",2443194,"ithaca","free",8
"595",2443210,"ithaca","free",5
"596",2443211,"ithaca","free",9
"597",2443215,"ithaca","paid",7
"598",2443407,"ithaca","paid",9
"599",2443413,"ithaca","paid",5
"600",2443419,"ithaca","free",7
"601",2451795,"ithaca","paid",9
"602",2451900,"ithaca","free",9
"603",2451905,"ithaca","paid",9
"604",2451911,"ithaca","free",9
"605",2451919,"ithaca","paid",9
"606",2451922,"ithaca","free",9
"607",2451925,"ithaca","free",9
"608",2451932,"ithaca","free",9
"609",2453957,"ithaca","free",4
"610",2453961,"ithaca","paid",9
"611",2454068,"ithaca","paid",9
"612",2454073,"ithaca","paid",3
"613",2454074,"ithaca","free",9
"614",2454076,"ithaca","free",9
"615",2454080,"ithaca","free",9
"616",2454084,"ithaca","free",9
"617",2454086,"ithaca","free",7
"618",2454088,"ithaca","paid",9
"619",2454089,"ithaca","free",9
"620",2454090,"ithaca","paid",9
"621",2454460,"ithaca","free",3
"622",2454461,"ithaca","paid",9
"623",2454494,"ithaca","free",9
"624",2454600,"ithaca","free",3
"625",2456447,"ithaca","paid",9
"626",2456450,"ithaca","free",9
"627",2456456,"ithaca","free",8
"628",2456459,"ithaca","free",7
"629",2456460,"ithaca","free",9
"630",2456463,"ithaca","paid",9
"631",2456625,"ithaca","paid",9
"632",2456811,"ithaca","free",9
"633",2456933,"ithaca","paid",9
"634",2456936,"ithaca","paid",9
"635",2465685,"ithaca","paid",9
"636",2465686,"ithaca","free",8
"637",2465689,"ithaca","free",9
"638",2465799,"ithaca","free",9
"639",2465800,"ithaca","free",5
"640",2465802,"ithaca","free",8
"641",2465803,"ithaca","free",9
"642",2465808,"ithaca","free",9
"643",2467455,"ithaca","free",9
"644",2467466,"ithaca","paid",9
"645",2467471,"ithaca","free",5
"646",2467477,"ithaca","paid",6
"647",2467622,"ithaca","free",9
"648",2467625,"ithaca","paid",9
"649",2467630,"ithaca","free",9
"650",2467632,"ithaca","free",8
"651",2467930,"ithaca","free",9
"652",2467935,"ithaca","paid",9
"653",2467937,"ithaca","free",9
"654",2468023,"ithaca","free",7
"655",2468025,"ithaca","free",8
"656",2469961,"ithaca","paid",8
"657",2470134,"ithaca","free",9
"658",2470138,"ithaca","paid",9
"659",2470304,"ithaca","paid",6
"660",2470307,"ithaca","free",9
"661",2470311,"ithaca","free",9
"662",2477383,"ithaca","free",9
"663",2477497,"ithaca","paid",7
"664",2477498,"ithaca","paid",9
"665",2477501,"ithaca","free",7
"666",2477502,"ithaca","free",5
"667",2477504,"ithaca","free",9
"668",2477506,"ithaca","paid",7
"669",2477509,"ithaca","paid",9
"670",2477515,"ithaca","free",9
"671",2477516,"ithaca","paid",9
