"","session_id","referrer","sunkgroup","sunkDV"
"959",2456203,"laurier","free",7
"960",2456205,"laurier","free",1
"961",2456207,"laurier","free",9
"962",2456209,"laurier","paid",7
"963",2456213,"laurier","paid",7
"964",2456214,"laurier","paid",9
"965",2456217,"laurier","paid",7
"966",2456219,"laurier","paid",9
"967",2456221,"laurier","free",9
"968",2456222,"laurier","paid",9
"969",2456225,"laurier","paid",9
"970",2456226,"laurier","paid",9
"971",2456229,"laurier","free",9
"972",2456230,"laurier","free",6
"973",2456232,"laurier","paid",8
"974",2456236,"laurier","free",9
"975",2456283,"laurier","paid",9
"976",2456285,"laurier","free",9
"977",2456287,"laurier","free",9
"978",2456289,"laurier","free",9
"979",2456292,"laurier","paid",9
"980",2456297,"laurier","free",8
"981",2456298,"laurier","paid",9
"982",2456299,"laurier","paid",9
"983",2456300,"laurier","paid",9
"984",2456302,"laurier","paid",9
"985",2456304,"laurier","free",9
"986",2456305,"laurier","paid",9
"987",2456308,"laurier","paid",9
"988",2456310,"laurier","paid",9
"989",2456345,"laurier","paid",6
"990",2456354,"laurier","free",7
"991",2456356,"laurier","paid",9
"992",2456357,"laurier","paid",9
"993",2456358,"laurier","free",2
"994",2456359,"laurier","paid",8
"995",2456361,"laurier","free",9
"996",2456362,"laurier","free",9
"997",2456364,"laurier","free",9
"998",2456367,"laurier","free",9
"999",2456368,"laurier","paid",9
"1000",2456369,"laurier","paid",7
"1001",2456370,"laurier","paid",9
"1002",2456372,"laurier","free",9
"1003",2456375,"laurier","free",8
"1004",2456378,"laurier","paid",9
"1005",2456383,"laurier","free",9
"1006",2456386,"laurier","free",9
"1007",2456493,"laurier","paid",9
"1008",2456495,"laurier","free",8
"1009",2456496,"laurier","free",9
"1010",2456499,"laurier","free",6
"1011",2456502,"laurier","paid",9
"1012",2456503,"laurier","paid",7
"1013",2456504,"laurier","paid",8
"1014",2456505,"laurier","free",9
"1015",2456507,"laurier","free",9
"1016",2456508,"laurier","free",9
"1017",2456509,"laurier","free",9
"1018",2456510,"laurier","paid",9
"1019",2456513,"laurier","free",9
"1020",2456514,"laurier","paid",7
"1021",2456517,"laurier","paid",7
"1022",2456518,"laurier","free",9
"1023",2456536,"laurier","free",8
"1024",2456583,"laurier","paid",9
"1025",2456586,"laurier","paid",9
"1026",2456590,"laurier","free",5
"1027",2456591,"laurier","paid",9
"1028",2456592,"laurier","free",9
"1029",2456593,"laurier","paid",9
"1030",2456594,"laurier","paid",8
"1031",2456596,"laurier","free",9
"1032",2456598,"laurier","paid",9
"1033",2456601,"laurier","free",9
"1034",2456602,"laurier","paid",7
"1035",2456603,"laurier","paid",5
"1036",2456605,"laurier","free",1
"1037",2456606,"laurier","paid",9
"1038",2456612,"laurier","paid",8
"1039",2456617,"laurier","free",7
"1040",2456639,"laurier","paid",9
"1041",2456685,"laurier","free",3
"1042",2456686,"laurier","free",6
"1043",2456687,"laurier","free",5
"1044",2456689,"laurier","paid",9
"1045",2456692,"laurier","free",6
"1046",2456697,"laurier","free",7
"1047",2456700,"laurier","free",7
"1048",2456701,"laurier","free",4
"1049",2456702,"laurier","free",9
"1050",2456703,"laurier","free",9
"1051",2456711,"laurier","paid",9
"1052",2456715,"laurier","paid",9
"1053",2456717,"laurier","paid",5
"1054",2456718,"laurier","paid",9
"1055",2456757,"laurier","free",9
"1056",2456759,"laurier","free",8
"1057",2456760,"laurier","paid",9
"1058",2456763,"laurier","paid",9
"1059",2456768,"laurier","paid",9
"1060",2456770,"laurier","free",9
"1061",2456772,"laurier","free",7
"1062",2456776,"laurier","free",7
"1063",2456779,"laurier","paid",9
"1064",2456781,"laurier","paid",6
"1065",2456783,"laurier","free",9
"1066",2456787,"laurier","paid",9
"1067",2456790,"laurier","free",2
"1068",2456797,"laurier","free",8
"1069",2456805,"laurier","free",9
"1070",2456807,"laurier","free",9
