"","session_id","referrer","sunkgroup","sunkDV"
"1071",2478783,"lse","paid",9
"1072",2478785,"lse","paid",9
"1073",2478786,"lse","paid",9
"1074",2478787,"lse","paid",9
"1075",2478789,"lse","paid",9
"1076",2478790,"lse","free",9
"1077",2478791,"lse","free",9
"1078",2478792,"lse","free",9
"1079",2478793,"lse","free",9
"1080",2478795,"lse","free",9
"1081",2478796,"lse","free",7
"1082",2478858,"lse","free",6
"1083",2478859,"lse","paid",9
"1084",2478860,"lse","paid",9
"1085",2478862,"lse","paid",8
"1086",2478867,"lse","paid",8
"1087",2478868,"lse","paid",6
"1088",2478871,"lse","paid",9
"1089",2478872,"lse","paid",9
"1090",2478873,"lse","paid",9
"1091",2478875,"lse","paid",9
"1092",2478876,"lse","free",9
"1093",2478877,"lse","paid",1
"1094",2478891,"lse","paid",7
"1095",2478893,"lse","free",5
"1096",2478894,"lse","paid",9
"1097",2478895,"lse","free",7
"1098",2478896,"lse","paid",9
"1099",2478898,"lse","free",9
"1100",2478899,"lse","free",9
"1101",2478900,"lse","paid",8
"1102",2478901,"lse","free",9
"1103",2478904,"lse","free",9
"1104",2478905,"lse","free",6
"1105",2478912,"lse","paid",9
"1106",2478913,"lse","free",9
"1107",2478914,"lse","paid",9
"1108",2478915,"lse","free",7
"1109",2478916,"lse","free",7
"1110",2478917,"lse","free",9
"1111",2478918,"lse","free",9
"1112",2478941,"lse","paid",9
"1113",2478942,"lse","paid",9
"1114",2478948,"lse","paid",9
"1115",2478950,"lse","free",9
"1116",2478951,"lse","free",3
"1117",2478953,"lse","free",8
"1118",2478954,"lse","paid",9
"1119",2478955,"lse","free",9
"1120",2478957,"lse","free",9
"1121",2478958,"lse","paid",9
"1122",2478959,"lse","free",9
"1123",2478960,"lse","paid",9
"1124",2478978,"lse","paid",9
"1125",2478979,"lse","paid",9
"1126",2478980,"lse","free",9
"1127",2478983,"lse","paid",6
"1128",2478984,"lse","paid",9
"1129",2478985,"lse","paid",8
"1130",2478986,"lse","free",6
"1131",2478990,"lse","free",9
"1132",2478991,"lse","free",9
"1133",2478996,"lse","free",9
"1134",2478997,"lse","free",9
"1135",2479012,"lse","free",9
"1136",2479015,"lse","paid",9
"1137",2479020,"lse","paid",9
"1138",2479021,"lse","paid",9
"1139",2479022,"lse","free",6
"1140",2479024,"lse","free",7
"1141",2479025,"lse","free",8
"1142",2479026,"lse","paid",6
"1143",2479029,"lse","free",9
"1144",2479030,"lse","free",8
"1145",2479032,"lse","paid",8
"1146",2479033,"lse","paid",9
"1147",2479047,"lse","free",7
"1148",2479050,"lse","paid",9
"1149",2479065,"lse","paid",1
"1150",2479074,"lse","free",1
"1151",2479075,"lse","paid",5
"1152",2479078,"lse","free",7
"1153",2479081,"lse","paid",7
"1154",2479082,"lse","paid",7
"1155",2479089,"lse","paid",9
"1156",2479090,"lse","free",9
"1157",2479091,"lse","paid",8
"1158",2479098,"lse","free",7
"1159",2479110,"lse","free",8
"1160",2479112,"lse","free",8
"1161",2479114,"lse","paid",7
"1162",2479119,"lse","paid",9
"1163",2479121,"lse","paid",9
"1164",2479126,"lse","paid",9
"1165",2479128,"lse","free",7
"1166",2479131,"lse","paid",9
"1167",2479134,"lse","paid",9
"1168",2479147,"lse","free",7
"1169",2479162,"lse","free",1
"1170",2479163,"lse","free",7
"1171",2479165,"lse","free",7
"1172",2479166,"lse","free",6
"1173",2479167,"lse","paid",7
"1174",2479171,"lse","paid",6
"1175",2479175,"lse","paid",9
"1176",2479180,"lse","free",1
"1177",2479192,"lse","free",7
"1178",2479199,"lse","paid",7
"1179",2479229,"lse","paid",9
"1180",2479240,"lse","free",6
"1181",2479254,"lse","paid",9
"1182",2479258,"lse","paid",9
"1183",2479265,"lse","paid",9
"1184",2479269,"lse","free",9
"1185",2479273,"lse","paid",9
"1186",2479275,"lse","paid",9
"1187",2479276,"lse","paid",7
"1188",2479278,"lse","paid",9
"1189",2479280,"lse","paid",5
"1190",2479283,"lse","paid",9
"1191",2479285,"lse","free",9
"1192",2479287,"lse","paid",9
"1193",2479297,"lse","free",4
"1194",2479300,"lse","paid",9
"1195",2479326,"lse","free",9
"1196",2479330,"lse","paid",8
"1197",2479331,"lse","free",4
"1198",2479334,"lse","free",7
"1199",2479336,"lse","paid",9
"1200",2479337,"lse","paid",3
"1201",2479342,"lse","paid",9
"1202",2479345,"lse","free",5
"1203",2479348,"lse","free",9
"1204",2479358,"lse","paid",9
"1205",2479368,"lse","paid",7
"1206",2481107,"lse","paid",9
"1207",2481108,"lse","paid",9
"1208",2481109,"lse","free",8
"1209",2481111,"lse","paid",9
"1210",2481113,"lse","free",7
"1211",2481115,"lse","free",9
"1212",2481118,"lse","paid",9
"1213",2481121,"lse","paid",9
"1214",2481122,"lse","free",6
"1215",2481124,"lse","free",6
"1216",2481125,"lse","free",1
"1217",2481134,"lse","paid",9
"1218",2481136,"lse","paid",9
"1219",2481137,"lse","paid",9
"1220",2481138,"lse","paid",9
"1221",2481139,"lse","paid",9
"1222",2481140,"lse","paid",7
"1223",2481151,"lse","free",9
"1224",2481152,"lse","free",3
"1225",2481154,"lse","free",8
"1226",2481156,"lse","free",3
"1227",2481157,"lse","free",9
"1228",2481164,"lse","paid",9
"1229",2481165,"lse","free",9
"1230",2481166,"lse","free",7
"1231",2481190,"lse","free",9
"1232",2481191,"lse","paid",9
"1233",2481193,"lse","free",9
"1234",2481194,"lse","paid",9
"1235",2481195,"lse","paid",8
"1236",2481199,"lse","paid",9
"1237",2481200,"lse","paid",9
"1238",2481204,"lse","paid",9
"1239",2481207,"lse","free",9
"1240",2481209,"lse","paid",8
"1241",2481210,"lse","paid",6
"1242",2481211,"lse","free",7
"1243",2481212,"lse","paid",9
"1244",2481216,"lse","free",9
"1245",2481217,"lse","paid",8
"1246",2481220,"lse","free",9
"1247",2481225,"lse","paid",9
"1248",2481227,"lse","free",7
"1249",2481229,"lse","paid",9
"1250",2481231,"lse","free",7
"1251",2481233,"lse","paid",9
"1252",2481236,"lse","free",9
"1253",2481251,"lse","paid",9
"1254",2481252,"lse","paid",9
"1255",2481255,"lse","paid",9
"1256",2481256,"lse","free",9
"1257",2481257,"lse","paid",7
"1258",2481258,"lse","paid",9
"1259",2481259,"lse","paid",9
"1260",2481262,"lse","free",8
"1261",2481263,"lse","free",8
"1262",2481264,"lse","paid",7
"1263",2481268,"lse","free",8
"1264",2481271,"lse","free",7
"1265",2481273,"lse","free",5
"1266",2481283,"lse","paid",9
"1267",2481305,"lse","paid",8
"1268",2481309,"lse","free",9
"1269",2481310,"lse","paid",9
"1270",2481311,"lse","free",3
"1271",2481312,"lse","free",5
"1272",2481316,"lse","paid",9
"1273",2481320,"lse","paid",9
"1274",2481323,"lse","paid",6
"1275",2481326,"lse","paid",9
"1276",2481328,"lse","free",9
"1277",2481330,"lse","paid",9
"1278",2481337,"lse","paid",9
"1279",2481341,"lse","paid",7
"1280",2481348,"lse","free",9
"1281",2481353,"lse","paid",7
"1282",2481354,"lse","free",9
"1283",2481356,"lse","paid",9
"1284",2481359,"lse","paid",8
"1285",2481360,"lse","paid",7
"1286",2481364,"lse","paid",7
"1287",2481369,"lse","paid",9
"1288",2481389,"lse","paid",9
"1289",2481393,"lse","paid",9
"1290",2481420,"lse","paid",9
"1291",2481422,"lse","paid",8
"1292",2481425,"lse","paid",9
"1293",2481427,"lse","free",9
"1294",2481431,"lse","paid",9
"1295",2481438,"lse","free",4
