"","session_id","referrer","sunkgroup","sunkDV"
"4236",2484525,"psu","free",1
"4237",2484526,"psu","paid",9
"4238",2484535,"psu","free",9
"4239",2484537,"psu","free",9
"4240",2484538,"psu","free",9
"4241",2484548,"psu","paid",7
"4242",2484626,"psu","free",9
"4243",2484631,"psu","paid",9
"4244",2484633,"psu","free",9
"4245",2484635,"psu","free",9
"4246",2484650,"psu","paid",9
"4247",2484652,"psu","paid",9
"4248",2484726,"psu","paid",9
"4249",2484730,"psu","paid",9
"4250",2484746,"psu","free",9
"4251",2484761,"psu","paid",6
"4252",2484762,"psu","paid",7
"4253",2484765,"psu","free",9
"4254",2484829,"psu","paid",9
"4255",2484831,"psu","free",9
"4256",2484832,"psu","paid",9
"4257",2484833,"psu","paid",9
"4258",2484835,"psu","paid",9
"4259",2484850,"psu","paid",9
"4260",2484921,"psu","free",9
"4261",2484923,"psu","free",7
"4262",2484927,"psu","paid",9
"4263",2484936,"psu","free",7
"4264",2484944,"psu","paid",9
"4265",2490490,"psu","paid",9
"4266",2490493,"psu","paid",1
"4267",2490496,"psu","paid",9
"4268",2490499,"psu","paid",9
"4269",2490501,"psu","free",8
"4270",2490558,"psu","free",8
"4271",2490564,"psu","free",9
"4272",2490571,"psu","paid",9
"4273",2490574,"psu","paid",6
"4274",2490582,"psu","paid",9
"4275",2490586,"psu","free",7
"4276",2490596,"psu","free",9
"4277",2490616,"psu","free",6
"4278",2490617,"psu","free",9
"4279",2490624,"psu","free",9
"4280",2490644,"psu","paid",9
"4281",2490651,"psu","free",9
"4282",2490658,"psu","paid",9
"4283",2490661,"psu","paid",8
"4284",2490664,"psu","paid",9
"4285",2490682,"psu","paid",6
"4286",2490703,"psu","free",9
"4287",2490714,"psu","free",2
"4288",2490730,"psu","free",7
"4289",2490736,"psu","paid",9
"4290",2490738,"psu","free",8
"4291",2490741,"psu","paid",6
"4292",2490743,"psu","free",8
"4293",2490756,"psu","free",7
"4294",2490791,"psu","paid",9
"4295",2490804,"psu","paid",9
"4296",2492277,"psu","free",8
"4297",2492280,"psu","free",9
"4298",2492283,"psu","paid",9
"4299",2492337,"psu","paid",9
"4300",2492339,"psu","free",8
"4301",2492340,"psu","paid",9
"4302",2492360,"psu","paid",9
"4303",2492363,"psu","free",9
"4304",2492365,"psu","paid",9
"4305",2492377,"psu","free",9
"4306",2492422,"psu","free",9
"4307",2492424,"psu","free",8
"4308",2492428,"psu","paid",9
"4309",2492477,"psu","free",9
"4310",2492480,"psu","free",9
"4311",2492498,"psu","free",9
"4312",2492499,"psu","paid",8
"4313",2493991,"psu","paid",9
"4314",2493995,"psu","free",8
"4315",2493998,"psu","paid",7
"4316",2493999,"psu","free",9
"4317",2494001,"psu","paid",8
"4318",2494004,"psu","paid",9
"4319",2494055,"psu","free",8
"4320",2494062,"psu","free",8
"4321",2494064,"psu","paid",9
"4322",2494069,"psu","paid",9
"4323",2494070,"psu","free",9
"4324",2494092,"psu","free",9
"4325",2494117,"psu","free",9
"4326",2494131,"psu","paid",8
"4327",2494134,"psu","paid",9
"4328",2494135,"psu","free",9
"4329",2494139,"psu","paid",6
"4330",2494171,"psu","free",3
