"","session_id","referrer","sunkgroup","sunkDV"
"4434",2451561,"qccuny2","free",7
"4435",2451696,"qccuny2","free",8
"4436",2451970,"qccuny2","paid",5
"4437",2452017,"qccuny2","free",9
"4438",2452373,"qccuny2","paid",9
"4439",2454002,"qccuny2","free",7
"4440",2454025,"qccuny2","free",9
"4441",2454108,"qccuny2","paid",9
"4442",2454143,"qccuny2","free",9
"4443",2456274,"qccuny2","paid",9
"4444",2456275,"qccuny2","free",3
"4445",2458336,"qccuny2","free",9
"4446",2458349,"qccuny2","paid",1
"4447",2458491,"qccuny2","paid",9
"4448",2458529,"qccuny2","paid",9
"4449",2458637,"qccuny2","free",9
"4450",2458648,"qccuny2","paid",1
"4451",2458725,"qccuny2","free",1
"4452",2458855,"qccuny2","paid",5
"4453",2458860,"qccuny2","paid",6
"4454",2459013,"qccuny2","paid",7
"4455",2459018,"qccuny2","paid",8
"4456",2466324,"qccuny2","free",9
"4457",2466409,"qccuny2","free",9
"4458",2466418,"qccuny2","paid",9
"4459",2467562,"qccuny2","free",9
"4460",2467654,"qccuny2","paid",9
"4461",2467659,"qccuny2","free",8
"4462",2467746,"qccuny2","paid",9
"4463",2467869,"qccuny2","free",9
"4464",2469514,"qccuny2","free",9
"4465",2469967,"qccuny2","paid",9
"4466",2470136,"qccuny2","paid",9
"4467",2471564,"qccuny2","free",8
"4468",2472069,"qccuny2","free",1
"4469",2472330,"qccuny2","paid",1
"4470",2472452,"qccuny2","paid",8
"4471",2472501,"qccuny2","paid",9
"4472",2473609,"qccuny2","free",7
"4473",2473632,"qccuny2","free",5
"4474",2477146,"qccuny2","paid",8
"4475",2477328,"qccuny2","free",9
"4476",2477372,"qccuny2","paid",9
"4477",2477487,"qccuny2","paid",2
"4478",2478030,"qccuny2","free",9
"4479",2479462,"qccuny2","free",9
"4480",2479503,"qccuny2","paid",9
"4481",2482076,"qccuny2","free",9
"4482",2482102,"qccuny2","free",1
"4483",2484342,"qccuny2","paid",9
"4484",2484478,"qccuny2","paid",9
"4485",2484663,"qccuny2","free",9
"4486",2484842,"qccuny2","paid",9
"4487",2484849,"qccuny2","paid",9
"4488",2484873,"qccuny2","paid",9
"4489",2486261,"qccuny2","free",9
"4490",2486284,"qccuny2","free",1
"4491",2486296,"qccuny2","free",3
"4492",2486966,"qccuny2","free",9
"4493",2486976,"qccuny2","paid",6
"4494",2486984,"qccuny2","paid",9
"4495",2491919,"qccuny2","paid",9
"4496",2491962,"qccuny2","free",5
"4497",2491966,"qccuny2","paid",9
"4498",2491968,"qccuny2","free",6
"4499",2492034,"qccuny2","free",9
"4500",2492042,"qccuny2","paid",9
"4501",2492080,"qccuny2","free",9
"4502",2492082,"qccuny2","paid",9
"4503",2492115,"qccuny2","free",9
"4504",2492153,"qccuny2","free",9
"4505",2492273,"qccuny2","free",9
"4506",2492344,"qccuny2","free",9
"4507",2492389,"qccuny2","free",7
"4508",2492398,"qccuny2","free",6
"4509",2492400,"qccuny2","free",9
"4510",2492408,"qccuny2","paid",9
"4511",2493524,"qccuny2","paid",8
"4512",2493652,"qccuny2","free",9
"4513",2493656,"qccuny2","paid",9
"4514",2495872,"qccuny2","paid",9
"4515",2495975,"qccuny2","paid",8
"4516",2495984,"qccuny2","free",9
"4517",2496323,"qccuny2","paid",9
"4518",2496332,"qccuny2","free",9
"4519",2497597,"qccuny2","free",5
