"","session_id","referrer","sunkgroup","sunkDV"
"4682",2476887,"swps","paid",9
"4683",2476915,"swps","paid",9
"4684",2476916,"swps","paid",9
"4685",2476919,"swps","paid",9
"4686",2476923,"swps","paid",9
"4687",2476927,"swps","free",9
"4688",2476928,"swps","paid",9
"4689",2476939,"swps","free",6
"4690",2476940,"swps","free",9
"4691",2476942,"swps","free",4
"4692",2476946,"swps","paid",8
"4693",2476962,"swps","free",9
"4694",2476971,"swps","paid",6
"4695",2476974,"swps","paid",9
"4696",2476978,"swps","paid",9
"4697",2476979,"swps","free",9
"4698",2476985,"swps","paid",9
"4699",2476986,"swps","free",9
"4700",2476996,"swps","free",9
"4701",2480988,"swps","free",9
"4702",2480992,"swps","free",9
"4703",2480993,"swps","paid",8
"4704",2480997,"swps","free",1
"4705",2481010,"swps","paid",9
"4706",2481026,"swps","paid",7
"4707",2481061,"swps","paid",9
"4708",2481067,"swps","free",9
"4709",2481068,"swps","free",9
"4710",2481072,"swps","free",9
"4711",2481073,"swps","free",9
"4712",2481082,"swps","paid",9
"4713",2481083,"swps","free",9
"4714",2481084,"swps","paid",9
"4715",2481085,"swps","free",9
"4716",2481094,"swps","free",9
"4717",2481095,"swps","paid",9
"4718",2481096,"swps","paid",9
"4719",2481100,"swps","paid",6
"4720",2481133,"swps","free",9
"4721",2481148,"swps","free",8
"4722",2481219,"swps","free",9
"4723",2481221,"swps","paid",9
"4724",2481223,"swps","free",9
"4725",2481243,"swps","paid",9
"4726",2481245,"swps","paid",9
"4727",2481246,"swps","paid",9
"4728",2481248,"swps","free",9
"4729",2481291,"swps","paid",9
"4730",2481292,"swps","free",9
"4731",2481295,"swps","paid",4
"4732",2481333,"swps","free",9
"4733",2481383,"swps","paid",8
"4734",2481435,"swps","free",9
"4735",2481437,"swps","paid",8
"4736",2481439,"swps","free",8
"4737",2481474,"swps","paid",9
"4738",2481478,"swps","paid",9
"4739",2481490,"swps","free",7
"4740",2481498,"swps","free",9
"4741",2483562,"swps","paid",4
"4742",2483564,"swps","free",8
"4743",2483580,"swps","paid",9
"4744",2483603,"swps","paid",8
"4745",2483618,"swps","free",9
"4746",2483620,"swps","free",9
"4747",2483622,"swps","free",7
"4748",2483645,"swps","paid",5
"4749",2483646,"swps","free",9
"4750",2483680,"swps","paid",9
"4751",2483697,"swps","free",8
"4752",2483709,"swps","free",9
"4753",2483716,"swps","paid",4
"4754",2483729,"swps","paid",9
"4755",2483731,"swps","paid",9
"4756",2483761,"swps","free",6
"4757",2483781,"swps","paid",7
"4758",2483787,"swps","free",8
"4759",2483788,"swps","free",8
"4760",2483815,"swps","paid",9
