"","session_id","referrer","sunkgroup","sunkDV"
"4761",2435230,"swpson","paid",9
"4762",2435236,"swpson","paid",9
"4763",2435237,"swpson","free",9
"4764",2435239,"swpson","free",6
"4765",2435240,"swpson","paid",9
"4766",2435243,"swpson","paid",9
"4767",2435245,"swpson","paid",9
"4768",2435247,"swpson","free",7
"4769",2435249,"swpson","free",5
"4770",2435256,"swpson","paid",9
"4771",2435258,"swpson","free",9
"4772",2435262,"swpson","free",9
"4773",2435274,"swpson","paid",9
"4774",2435279,"swpson","paid",8
"4775",2435283,"swpson","free",5
"4776",2435301,"swpson","paid",8
"4777",2435303,"swpson","free",6
"4778",2435307,"swpson","paid",9
"4779",2435319,"swpson","paid",9
"4780",2435320,"swpson","paid",9
"4781",2435371,"swpson","paid",9
"4782",2435417,"swpson","free",9
"4783",2435424,"swpson","paid",9
"4784",2435430,"swpson","paid",9
"4785",2435433,"swpson","free",7
"4786",2435435,"swpson","paid",9
"4787",2435464,"swpson","paid",9
"4788",2435472,"swpson","paid",1
"4789",2435540,"swpson","paid",9
"4790",2435554,"swpson","paid",9
"4791",2435619,"swpson","paid",9
"4792",2435653,"swpson","paid",8
"4793",2435695,"swpson","free",5
"4794",2435842,"swpson","paid",1
"4795",2435851,"swpson","paid",9
"4796",2435854,"swpson","free",8
"4797",2435895,"swpson","paid",1
"4798",2435947,"swpson","paid",7
"4799",2435961,"swpson","paid",9
"4800",2435964,"swpson","paid",5
"4801",2436064,"swpson","free",7
"4802",2436403,"swpson","paid",3
"4803",2436426,"swpson","free",9
"4804",2436504,"swpson","paid",9
"4805",2436551,"swpson","free",9
"4806",2438531,"swpson","paid",9
"4807",2438839,"swpson","free",7
"4808",2438844,"swpson","free",9
"4809",2438847,"swpson","free",9
"4810",2439394,"swpson","free",5
"4811",2439453,"swpson","paid",9
"4812",2439491,"swpson","paid",9
"4813",2439602,"swpson","paid",8
"4814",2439734,"swpson","free",9
"4815",2439750,"swpson","free",7
"4816",2439756,"swpson","free",9
"4817",2439810,"swpson","paid",7
"4818",2439812,"swpson","free",8
"4819",2440011,"swpson","paid",8
"4820",2440042,"swpson","paid",9
"4821",2440045,"swpson","paid",9
"4822",2440083,"swpson","paid",8
"4823",2440139,"swpson","paid",3
"4824",2440298,"swpson","free",9
"4825",2440371,"swpson","free",2
"4826",2441860,"swpson","free",9
"4827",2441985,"swpson","paid",1
"4828",2442005,"swpson","paid",9
"4829",2442014,"swpson","paid",9
"4830",2442029,"swpson","free",6
"4831",2442034,"swpson","paid",9
"4832",2442091,"swpson","paid",9
"4833",2442112,"swpson","free",9
"4834",2442170,"swpson","paid",7
"4835",2442182,"swpson","paid",9
"4836",2442192,"swpson","free",9
"4837",2442193,"swpson","free",5
"4838",2442197,"swpson","paid",9
"4839",2442205,"swpson","paid",7
"4840",2442973,"swpson","free",3
"4841",2443181,"swpson","free",9
"4842",2443337,"swpson","paid",9
"4843",2443603,"swpson","free",7
"4844",2443849,"swpson","paid",9
"4845",2445068,"swpson","paid",9
"4846",2445072,"swpson","paid",9
"4847",2445074,"swpson","paid",3
"4848",2445081,"swpson","free",7
"4849",2445082,"swpson","free",9
"4850",2445092,"swpson","free",9
"4851",2445093,"swpson","paid",9
"4852",2445094,"swpson","paid",9
"4853",2445097,"swpson","free",9
"4854",2445099,"swpson","free",9
"4855",2445104,"swpson","paid",7
"4856",2445107,"swpson","free",9
"4857",2445108,"swpson","paid",9
"4858",2445110,"swpson","free",9
"4860",2445118,"swpson","paid",7
"4861",2445125,"swpson","free",7
"4862",2445131,"swpson","paid",9
"4863",2445133,"swpson","paid",9
"4864",2445166,"swpson","paid",9
"4865",2445167,"swpson","free",8
"4866",2445174,"swpson","paid",9
"4867",2445175,"swpson","free",9
"4868",2445227,"swpson","paid",7
"4869",2445305,"swpson","paid",7
"4870",2445310,"swpson","free",9
"4871",2445430,"swpson","free",8
"4872",2445453,"swpson","paid",7
"4873",2445493,"swpson","paid",9
"4874",2445556,"swpson","paid",6
"4875",2445776,"swpson","paid",7
"4876",2445887,"swpson","free",8
"4877",2445978,"swpson","paid",8
"4878",2446055,"swpson","paid",9
"4879",2446120,"swpson","free",9
"4880",2446193,"swpson","free",7
"4881",2446227,"swpson","free",1
"4882",2446238,"swpson","free",5
"4883",2446242,"swpson","free",9
"4884",2446282,"swpson","free",3
"4885",2446391,"swpson","paid",9
"4886",2447225,"swpson","paid",9
"4887",2447283,"swpson","free",9
"4888",2447284,"swpson","free",8
"4889",2447291,"swpson","paid",9
"4890",2447294,"swpson","paid",9
"4891",2447315,"swpson","free",9
"4892",2447348,"swpson","free",9
"4893",2447552,"swpson","free",4
"4894",2447645,"swpson","free",9
"4895",2447933,"swpson","free",9
"4896",2447963,"swpson","paid",9
"4897",2448839,"swpson","free",6
"4898",2448845,"swpson","paid",8
"4899",2448846,"swpson","paid",8
"4900",2448871,"swpson","paid",8
"4901",2448877,"swpson","paid",9
"4902",2448999,"swpson","paid",9
"4903",2449129,"swpson","free",9
"4904",2449884,"swpson","free",7
"4905",2451369,"swpson","free",9
"4906",2451643,"swpson","free",7
"4907",2453735,"swpson","free",8
"4908",2453921,"swpson","free",5
"4909",2454315,"swpson","free",9
"4910",2454351,"swpson","paid",5
"4911",2454508,"swpson","free",9
"4912",2454638,"swpson","free",4
"4913",2454696,"swpson","free",9
"4914",2454700,"swpson","paid",9
"4915",2454769,"swpson","paid",9
"4916",2454790,"swpson","paid",9
"4917",2454819,"swpson","free",9
"4918",2455781,"swpson","free",9
"4919",2455855,"swpson","free",9
"4920",2455874,"swpson","free",9
"4921",2455921,"swpson","paid",8
"4922",2455929,"swpson","free",9
"4923",2456015,"swpson","paid",9
"4924",2456500,"swpson","free",9
"4925",2457057,"swpson","free",9
"4926",2461353,"swpson","paid",9
"4927",2473645,"swpson","paid",7
"4928",2475122,"swpson","paid",3
"4929",2479038,"swpson","free",9
