"","session_id","referrer","sunkgroup","sunkDV"
"5117",2399681,"tamuc","paid",9
"5118",2399926,"tamuc","free",3
"5119",2399928,"tamuc","free",9
"5120",2403003,"tamuc","paid",9
"5121",2407135,"tamuc","paid",9
"5122",2407136,"tamuc","free",1
"5123",2407234,"tamuc","paid",9
"5124",2407235,"tamuc","free",7
"5125",2407299,"tamuc","paid",8
"5126",2407300,"tamuc","paid",9
"5127",2407336,"tamuc","paid",9
"5128",2407384,"tamuc","free",7
"5129",2407385,"tamuc","free",7
"5130",2407447,"tamuc","paid",5
"5131",2407561,"tamuc","paid",7
"5132",2407741,"tamuc","paid",9
"5133",2407755,"tamuc","paid",9
"5134",2407820,"tamuc","paid",9
"5135",2413282,"tamuc","paid",5
"5136",2413487,"tamuc","free",1
"5137",2413488,"tamuc","paid",1
"5138",2413530,"tamuc","paid",9
"5139",2413538,"tamuc","paid",1
"5140",2413602,"tamuc","free",7
"5141",2418551,"tamuc","paid",8
"5142",2418639,"tamuc","paid",7
"5143",2418798,"tamuc","paid",9
"5144",2419124,"tamuc","free",9
"5145",2419734,"tamuc","free",9
"5146",2421330,"tamuc","free",9
"5147",2421334,"tamuc","paid",4
"5148",2421597,"tamuc","free",9
"5149",2421912,"tamuc","free",7
"5150",2421973,"tamuc","paid",8
"5151",2422109,"tamuc","paid",9
"5152",2422197,"tamuc","free",9
"5153",2431092,"tamuc","free",6
"5154",2431099,"tamuc","paid",9
"5155",2431108,"tamuc","paid",3
"5156",2431295,"tamuc","paid",9
"5157",2431299,"tamuc","paid",5
"5158",2435426,"tamuc","free",8
"5159",2435447,"tamuc","paid",9
"5160",2435535,"tamuc","free",7
"5161",2435536,"tamuc","free",9
"5162",2435776,"tamuc","free",6
"5163",2436000,"tamuc","free",1
"5164",2439220,"tamuc","free",4
"5165",2439240,"tamuc","paid",9
"5166",2439609,"tamuc","paid",8
"5167",2439616,"tamuc","paid",9
"5168",2439786,"tamuc","free",9
"5169",2439881,"tamuc","paid",9
"5170",2447652,"tamuc","paid",6
"5171",2447655,"tamuc","paid",9
"5172",2447659,"tamuc","paid",9
"5173",2447725,"tamuc","free",7
"5174",2447884,"tamuc","free",5
"5175",2447939,"tamuc","free",9
"5176",2451690,"tamuc","free",7
"5177",2451783,"tamuc","paid",9
"5178",2451969,"tamuc","free",6
"5179",2452210,"tamuc","free",7
"5180",2453958,"tamuc","free",9
"5181",2454051,"tamuc","free",7
"5182",2454120,"tamuc","paid",9
"5183",2454221,"tamuc","paid",6
"5184",2454507,"tamuc","free",9
"5185",2454552,"tamuc","free",6
"5186",2462073,"tamuc","free",8
"5187",2465510,"tamuc","free",4
"5188",2465566,"tamuc","paid",9
"5189",2465576,"tamuc","paid",9
"5190",2468144,"tamuc","free",9
"5191",2468148,"tamuc","paid",9
"5192",2468150,"tamuc","paid",9
"5193",2469540,"tamuc","free",5
"5194",2469559,"tamuc","paid",9
"5195",2471966,"tamuc","paid",9
"5196",2472110,"tamuc","paid",9
"5197",2472188,"tamuc","paid",9
"5198",2472191,"tamuc","paid",1
"5199",2472279,"tamuc","free",4
"5200",2472316,"tamuc","free",9
"5201",2472362,"tamuc","paid",1
"5202",2472396,"tamuc","free",4
"5203",2472517,"tamuc","free",5
