"","session_id","referrer","sunkgroup","sunkDV"
"1494",2399787,"mcdaniel","free",8
"1495",2399902,"mcdaniel","free",9
"1496",2400037,"mcdaniel","paid",9
"1497",2400210,"mcdaniel","paid",9
"1498",2400235,"mcdaniel","paid",4
"1499",2401208,"mcdaniel","paid",9
"1500",2401951,"mcdaniel","free",8
"1501",2402044,"mcdaniel","free",9
"1502",2402928,"mcdaniel","paid",7
"1503",2403279,"mcdaniel","free",9
"1504",2403281,"mcdaniel","paid",1
"1505",2403486,"mcdaniel","paid",9
"1506",2403994,"mcdaniel","free",5
"1507",2404062,"mcdaniel","paid",9
"1508",2404410,"mcdaniel","paid",9
"1509",2404963,"mcdaniel","free",9
"1510",2406245,"mcdaniel","free",8
"1511",2406254,"mcdaniel","paid",9
"1512",2406284,"mcdaniel","free",5
"1513",2406393,"mcdaniel","free",9
"1514",2406430,"mcdaniel","paid",7
"1515",2406659,"mcdaniel","paid",9
"1516",2407838,"mcdaniel","paid",7
"1517",2407974,"mcdaniel","free",9
"1518",2408350,"mcdaniel","free",9
"1519",2411236,"mcdaniel","free",1
"1520",2417482,"mcdaniel","paid",9
"1521",2417521,"mcdaniel","free",9
"1522",2419187,"mcdaniel","paid",9
"1523",2419449,"mcdaniel","paid",9
"1524",2419466,"mcdaniel","paid",9
"1525",2422137,"mcdaniel","paid",7
"1526",2426038,"mcdaniel","paid",9
"1527",2427815,"mcdaniel","paid",9
"1528",2432796,"mcdaniel","free",9
"1529",2432935,"mcdaniel","free",7
"1530",2437191,"mcdaniel","paid",9
"1531",2443785,"mcdaniel","free",9
"1532",2450946,"mcdaniel","free",9
"1533",2451040,"mcdaniel","paid",8
"1534",2451047,"mcdaniel","paid",7
"1535",2451061,"mcdaniel","paid",8
"1536",2451063,"mcdaniel","free",7
"1537",2451168,"mcdaniel","free",9
"1538",2451581,"mcdaniel","paid",7
"1539",2452524,"mcdaniel","free",9
"1540",2452700,"mcdaniel","paid",9
"1541",2452715,"mcdaniel","free",9
"1542",2453249,"mcdaniel","paid",9
"1544",2455264,"mcdaniel","paid",7
"1545",2457301,"mcdaniel","paid",9
"1546",2457522,"mcdaniel","free",9
"1547",2457617,"mcdaniel","paid",9
"1548",2463756,"mcdaniel","free",7
"1549",2465487,"mcdaniel","paid",9
"1550",2465595,"mcdaniel","paid",9
"1551",2465691,"mcdaniel","paid",8
"1552",2465895,"mcdaniel","free",9
"1553",2465948,"mcdaniel","paid",9
"1554",2465952,"mcdaniel","paid",9
"1555",2466277,"mcdaniel","paid",9
"1556",2466426,"mcdaniel","free",7
"1557",2466569,"mcdaniel","paid",7
"1558",2468447,"mcdaniel","free",9
"1559",2475770,"mcdaniel","free",5
"1560",2475870,"mcdaniel","free",9
"1561",2475950,"mcdaniel","free",9
"1562",2475968,"mcdaniel","free",9
"1563",2475985,"mcdaniel","paid",9
"1564",2476037,"mcdaniel","free",5
"1565",2476046,"mcdaniel","paid",9
"1566",2476444,"mcdaniel","free",6
"1567",2476544,"mcdaniel","paid",9
"1568",2476548,"mcdaniel","free",9
"1569",2476586,"mcdaniel","free",7
"1570",2476588,"mcdaniel","paid",5
"1571",2476678,"mcdaniel","paid",9
"1572",2477597,"mcdaniel","paid",8
"1573",2478261,"mcdaniel","paid",8
"1574",2478285,"mcdaniel","free",7
"1575",2478338,"mcdaniel","paid",9
"1576",2478384,"mcdaniel","paid",7
"1577",2478426,"mcdaniel","paid",9
"1578",2478477,"mcdaniel","paid",4
"1579",2478500,"mcdaniel","paid",9
"1580",2478592,"mcdaniel","free",8
"1581",2478634,"mcdaniel","free",9
"1582",2479532,"mcdaniel","paid",9
"1583",2479770,"mcdaniel","free",9
"1584",2479919,"mcdaniel","free",7
"1585",2480394,"mcdaniel","paid",9
"1586",2480401,"mcdaniel","free",6
"1587",2481545,"mcdaniel","free",9
"1588",2482952,"mcdaniel","free",8
"1589",2483183,"mcdaniel","free",9
"1590",2483263,"mcdaniel","free",9
"1591",2491455,"mcdaniel","free",6
