"","session_id","referrer","sunkgroup","sunkDV"
"4331",2435605,"qccuny","free",6
"4332",2435609,"qccuny","free",7
"4333",2435611,"qccuny","free",7
"4335",2435994,"qccuny","paid",8
"4336",2435995,"qccuny","free",5
"4337",2436001,"qccuny","paid",9
"4338",2436104,"qccuny","free",9
"4339",2436106,"qccuny","free",9
"4340",2436108,"qccuny","paid",8
"4341",2436109,"qccuny","paid",3
"4342",2440777,"qccuny","free",7
"4343",2442207,"qccuny","paid",8
"4344",2442594,"qccuny","paid",9
"4345",2442597,"qccuny","paid",9
"4346",2442600,"qccuny","paid",7
"4347",2442616,"qccuny","free",9
"4348",2443480,"qccuny","paid",1
"4349",2443559,"qccuny","paid",9
"4350",2445944,"qccuny","free",9
"4351",2445947,"qccuny","paid",9
"4352",2445952,"qccuny","free",9
"4353",2445955,"qccuny","free",9
"4354",2446058,"qccuny","paid",9
"4355",2446093,"qccuny","paid",7
"4356",2446098,"qccuny","paid",9
"4357",2446101,"qccuny","free",9
"4358",2446232,"qccuny","paid",9
"4359",2446279,"qccuny","paid",9
"4360",2446283,"qccuny","paid",9
"4361",2447378,"qccuny","paid",9
"4362",2447379,"qccuny","free",9
"4363",2447381,"qccuny","paid",5
"4364",2447382,"qccuny","free",6
"4365",2447428,"qccuny","free",9
"4366",2447431,"qccuny","free",9
"4367",2447432,"qccuny","free",9
"4368",2447571,"qccuny","free",9
"4369",2451780,"qccuny","paid",9
"4370",2452217,"qccuny","paid",9
"4371",2452227,"qccuny","free",9
"4372",2452232,"qccuny","free",5
"4373",2452233,"qccuny","paid",9
"4374",2452291,"qccuny","paid",8
"4375",2452351,"qccuny","free",7
"4376",2452354,"qccuny","free",9
"4377",2452358,"qccuny","paid",9
"4378",2454871,"qccuny","paid",9
"4379",2454875,"qccuny","paid",9
"4380",2454880,"qccuny","paid",7
"4381",2454887,"qccuny","free",6
"4382",2454953,"qccuny","paid",1
"4383",2458773,"qccuny","free",9
"4384",2458792,"qccuny","paid",1
"4385",2458793,"qccuny","free",9
"4386",2458871,"qccuny","free",9
"4387",2458873,"qccuny","free",1
"4388",2458876,"qccuny","free",9
"4389",2458906,"qccuny","paid",5
"4390",2458992,"qccuny","free",9
"4391",2458996,"qccuny","free",9
"4392",2459011,"qccuny","free",7
"4393",2459017,"qccuny","free",4
"4394",2460980,"qccuny","paid",9
"4395",2460982,"qccuny","paid",9
"4396",2460988,"qccuny","free",9
"4397",2461079,"qccuny","paid",9
"4398",2461192,"qccuny","free",9
"4399",2461195,"qccuny","free",9
"4400",2461359,"qccuny","free",9
"4401",2465670,"qccuny","paid",9
"4402",2465683,"qccuny","paid",9
"4403",2466121,"qccuny","free",7
"4404",2466123,"qccuny","paid",9
"4405",2466125,"qccuny","paid",6
"4406",2468372,"qccuny","paid",9
"4407",2468381,"qccuny","paid",9
"4408",2468429,"qccuny","paid",4
"4409",2468430,"qccuny","free",8
"4410",2468439,"qccuny","free",5
"4411",2468449,"qccuny","paid",9
"4412",2469494,"qccuny","paid",8
"4413",2469495,"qccuny","paid",6
"4414",2469498,"qccuny","paid",9
"4415",2469526,"qccuny","paid",8
"4416",2469837,"qccuny","free",9
"4417",2469845,"qccuny","free",3
"4418",2469848,"qccuny","free",9
"4419",2469854,"qccuny","paid",9
"4420",2470430,"qccuny","free",9
"4421",2470432,"qccuny","free",9
"4422",2472217,"qccuny","paid",9
"4423",2472226,"qccuny","paid",7
"4424",2472339,"qccuny","free",7
"4425",2472340,"qccuny","paid",3
"4426",2472380,"qccuny","paid",9
"4427",2472440,"qccuny","paid",7
"4428",2472457,"qccuny","paid",5
"4429",2473367,"qccuny","free",7
"4430",2473368,"qccuny","paid",9
"4431",2473414,"qccuny","free",7
"4432",2473484,"qccuny","free",7
"4433",2473485,"qccuny","free",9
