"","session_id","referrer","sunkgroup","sunkDV"
"5429",2489735,"tilburg","paid",9
"5430",2489737,"tilburg","free",2
"5431",2489745,"tilburg","free",8
"5432",2489754,"tilburg","free",9
"5433",2489757,"tilburg","free",9
"5434",2489759,"tilburg","free",7
"5435",2489763,"tilburg","paid",9
"5436",2489764,"tilburg","free",8
"5437",2489765,"tilburg","paid",8
"5438",2489766,"tilburg","free",9
"5439",2489777,"tilburg","paid",9
"5440",2489790,"tilburg","free",1
"5441",2489797,"tilburg","free",6
"5442",2489800,"tilburg","free",9
"5443",2489804,"tilburg","free",8
"5444",2489805,"tilburg","paid",8
"5445",2489813,"tilburg","paid",8
"5446",2489815,"tilburg","paid",9
"5447",2489819,"tilburg","free",7
"5448",2489821,"tilburg","free",9
"5449",2489838,"tilburg","free",9
"5450",2489840,"tilburg","free",6
"5451",2489841,"tilburg","free",8
"5452",2489842,"tilburg","free",8
"5453",2489843,"tilburg","paid",9
"5454",2489845,"tilburg","paid",9
"5455",2489846,"tilburg","paid",9
"5456",2489847,"tilburg","free",9
"5457",2491621,"tilburg","paid",9
"5458",2491639,"tilburg","paid",9
"5459",2491640,"tilburg","free",9
"5460",2491659,"tilburg","free",9
"5461",2491660,"tilburg","paid",6
"5462",2491661,"tilburg","free",9
"5463",2491663,"tilburg","free",7
"5464",2491675,"tilburg","paid",9
"5465",2491681,"tilburg","paid",8
"5466",2491682,"tilburg","paid",7
"5467",2491691,"tilburg","free",9
"5468",2491692,"tilburg","free",9
"5469",2491693,"tilburg","free",9
"5470",2491695,"tilburg","free",8
"5471",2491697,"tilburg","paid",9
"5472",2491699,"tilburg","free",9
"5473",2491701,"tilburg","free",9
"5474",2493370,"tilburg","paid",9
"5475",2493371,"tilburg","free",6
"5476",2493372,"tilburg","paid",9
"5477",2493374,"tilburg","paid",8
"5478",2493375,"tilburg","paid",9
"5479",2493403,"tilburg","free",8
"5480",2493583,"tilburg","paid",9
"5481",2493618,"tilburg","free",8
"5482",2493623,"tilburg","paid",9
"5483",2493627,"tilburg","paid",9
"5484",2493630,"tilburg","paid",9
"5485",2493632,"tilburg","paid",9
"5486",2493634,"tilburg","paid",8
"5487",2493639,"tilburg","free",9
"5488",2493643,"tilburg","paid",9
"5489",2495318,"tilburg","free",1
"5490",2495320,"tilburg","paid",9
"5491",2495321,"tilburg","free",8
"5492",2495322,"tilburg","paid",7
"5493",2495352,"tilburg","paid",9
"5494",2495425,"tilburg","paid",8
"5495",2495427,"tilburg","free",9
"5496",2495429,"tilburg","free",8
"5497",2495430,"tilburg","free",7
"5498",2495431,"tilburg","paid",8
"5499",2495433,"tilburg","paid",9
"5500",2495435,"tilburg","free",1
"5501",2495438,"tilburg","paid",9
"5502",2495440,"tilburg","free",9
"5503",2495458,"tilburg","free",8
"5504",2495460,"tilburg","paid",6
"5505",2495590,"tilburg","free",9
"5506",2497280,"tilburg","free",9
"5507",2497308,"tilburg","free",9
"5508",2497333,"tilburg","paid",9
