"","session_id","referrer","sunkgroup","sunkDV"
"5509",2410996,"ufl","free",9
"5510",2411208,"ufl","free",9
"5511",2411213,"ufl","free",9
"5512",2413016,"ufl","free",7
"5513",2413017,"ufl","free",9
"5514",2413018,"ufl","paid",9
"5515",2413210,"ufl","free",9
"5516",2413452,"ufl","free",9
"5517",2413453,"ufl","paid",9
"5518",2413454,"ufl","free",9
"5519",2413537,"ufl","free",9
"5520",2413539,"ufl","free",3
"5521",2413641,"ufl","paid",9
"5522",2413648,"ufl","free",9
"5523",2413652,"ufl","paid",9
"5524",2413747,"ufl","free",9
"5525",2413749,"ufl","free",9
"5526",2413752,"ufl","free",9
"5527",2413870,"ufl","paid",9
"5528",2413873,"ufl","free",6
"5529",2413874,"ufl","paid",9
"5530",2413875,"ufl","paid",9
"5531",2413936,"ufl","free",8
"5532",2413938,"ufl","free",9
"5533",2413939,"ufl","paid",9
"5534",2418384,"ufl","free",9
"5535",2418388,"ufl","paid",9
"5536",2418461,"ufl","free",1
"5537",2418506,"ufl","free",9
"5538",2419239,"ufl","free",9
"5539",2419353,"ufl","free",2
"5540",2421339,"ufl","paid",9
"5541",2421344,"ufl","paid",7
"5542",2421349,"ufl","paid",9
"5543",2421352,"ufl","paid",9
"5544",2421503,"ufl","free",9
"5545",2421843,"ufl","free",9
"5546",2422266,"ufl","paid",9
"5547",2422270,"ufl","paid",9
"5548",2422294,"ufl","paid",9
"5549",2422898,"ufl","paid",1
"5550",2422904,"ufl","paid",7
"5551",2422910,"ufl","paid",9
"5552",2422918,"ufl","free",9
"5553",2423191,"ufl","paid",3
"5554",2425333,"ufl","free",9
"5555",2425334,"ufl","free",7
"5556",2425598,"ufl","free",8
"5557",2425912,"ufl","free",9
"5558",2425928,"ufl","free",9
"5559",2428447,"ufl","paid",9
"5560",2428449,"ufl","free",5
"5561",2428541,"ufl","paid",8
"5562",2428543,"ufl","free",5
"5563",2428704,"ufl","paid",9
"5564",2428708,"ufl","free",9
"5565",2428710,"ufl","free",8
"5566",2428715,"ufl","paid",7
"5567",2428834,"ufl","paid",9
"5568",2428836,"ufl","free",9
"5569",2428840,"ufl","paid",9
"5570",2428987,"ufl","paid",9
"5571",2429136,"ufl","free",9
"5572",2429145,"ufl","paid",9
"5573",2429146,"ufl","paid",1
"5574",2429236,"ufl","paid",9
"5575",2429239,"ufl","free",6
"5576",2429247,"ufl","paid",9
"5577",2429263,"ufl","free",9
"5578",2430730,"ufl","paid",7
"5579",2430732,"ufl","paid",9
"5580",2430736,"ufl","free",6
"5581",2430737,"ufl","free",9
"5582",2430738,"ufl","free",9
"5583",2430747,"ufl","free",9
"5584",2430899,"ufl","paid",9
"5585",2430901,"ufl","free",9
"5586",2431049,"ufl","free",8
"5587",2431050,"ufl","free",9
"5588",2431155,"ufl","paid",9
"5589",2431158,"ufl","paid",7
"5590",2431163,"ufl","paid",9
"5591",2431164,"ufl","free",5
"5592",2431438,"ufl","paid",9
"5593",2431545,"ufl","free",6
"5594",2431549,"ufl","paid",9
"5595",2431635,"ufl","free",5
"5596",2431639,"ufl","free",9
"5597",2431659,"ufl","free",9
"5598",2431729,"ufl","free",4
"5599",2435972,"ufl","free",9
"5600",2442762,"ufl","paid",9
"5601",2442764,"ufl","free",6
"5602",2445943,"ufl","free",9
"5603",2445949,"ufl","paid",9
"5604",2446062,"ufl","free",9
"5605",2446209,"ufl","paid",7
"5606",2446210,"ufl","paid",9
"5607",2447576,"ufl","free",8
"5608",2447837,"ufl","paid",8
"5609",2452135,"ufl","paid",9
"5610",2454008,"ufl","paid",9
"5611",2456516,"ufl","free",3
"5612",2461360,"ufl","paid",9
"5613",2461362,"ufl","free",9
"5614",2461364,"ufl","paid",9
"5615",2461578,"ufl","paid",6
"5616",2461844,"ufl","free",8
"5617",2461847,"ufl","paid",6
"5618",2461857,"ufl","paid",8
"5619",2461933,"ufl","free",9
"5620",2465977,"ufl","paid",9
"5621",2465982,"ufl","paid",9
"5622",2466010,"ufl","paid",7
"5623",2467321,"ufl","free",9
"5624",2467493,"ufl","paid",5
"5625",2470455,"ufl","paid",9
"5626",2473477,"ufl","free",7
"5627",2473617,"ufl","free",9
"5628",2473673,"ufl","free",9
"5629",2473798,"ufl","paid",1
"5630",2479109,"ufl","paid",8
"5631",2479343,"ufl","free",1
"5632",2484771,"ufl","paid",9
"5633",2484856,"ufl","paid",9
"5634",2486607,"ufl","free",9
"5635",2486610,"ufl","paid",9
