"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"418","100","MiamiUniversity","Communal",70,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"419","101","MiamiUniversity","Agentic",69,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"420","102","MiamiUniversity","Communal",70,"20","Sophomore","Female","White, non-Hispanic or latino","Fail"
"421","103","MiamiUniversity","Communal",70,"22","Sophomore",NA,"Asian-American","Fail"
"422","104","MiamiUniversity","Communal",70,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"423","105","MiamiUniversity","Agentic",71,"20","Sophomore","Male","White, non-Hispanic or latino","Fail"
"424","11","MiamiUniversity","Communal",74,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"425","12","MiamiUniversity","Agentic",73,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"426","13","MiamiUniversity","Communal",72,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"427","14","MiamiUniversity","Agentic",72,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"428","15","MiamiUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"429","16","MiamiUniversity","Agentic",71,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"430","17","MiamiUniversity","Agentic",69,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"432","19","MiamiUniversity","Agentic",75,"19",NA,"Female","White, non-Hispanic or latino","Fail"
"433","20","MiamiUniversity","Agentic",70,"18","First-year","Female","African-American","Pass"
"434","21","MiamiUniversity","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"436","23","MiamiUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"437","24","MiamiUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"438","25","MiamiUniversity","Agentic",75,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"439","26","MiamiUniversity","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"441","28","MiamiUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"442","29","MiamiUniversity","Agentic",68,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"443","30","MiamiUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"444","31","MiamiUniversity","Communal",63,"19","Sophomore","Male","African-American","Fail"
"445","32","MiamiUniversity","Agentic",72,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"446","33","MiamiUniversity","Agentic",70,"19","Sophomore","Female","Native American and Alaska Native","Pass"
"447","34","MiamiUniversity","Communal",75,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"448","35","MiamiUniversity","Communal",66,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"449","36","MiamiUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"450","37","MiamiUniversity","Agentic",73,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"451","38","MiamiUniversity","Communal",69,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"452","39","MiamiUniversity","Agentic",75,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"453","40","MiamiUniversity","Communal",70,"18","First-year","Male","African-American","Pass"
"454","41","MiamiUniversity","Agentic",70,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"455","42","MiamiUniversity","Communal",70,"19","First-year","Female","White, non-Hispanic or latino","Fail"
