"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"523","1","MichiganStateUniversity","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"524","10","MichiganStateUniversity","Communal",68,"21","Senior","Female","White, non-Hispanic or latino","Fail"
"525","100","MichiganStateUniversity","Communal",70,"20","Junior","Male","White, non-Hispanic or latino","Fail"
"526","101","MichiganStateUniversity","Communal",75,"21","Senior","Female","Latino or Hispanic","Pass"
"527","102","MichiganStateUniversity","Communal",72,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"528","103","MichiganStateUniversity","Agentic",71,"18","Sophomore","Female","White, non-Hispanic or latino","Pass"
"529","104","MichiganStateUniversity","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"530","105","MichiganStateUniversity","Agentic",68,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"531","106","MichiganStateUniversity","Agentic",73,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"532","107","MichiganStateUniversity","Agentic",75,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"533","108","MichiganStateUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"534","109","MichiganStateUniversity","Agentic",70,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"535","11","MichiganStateUniversity","Agentic",71,"19","Junior","Male","White, non-Hispanic or latino","Pass"
"536","110","MichiganStateUniversity","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"537","111","MichiganStateUniversity","Communal",85,"20","Sophomore","Female","Other","Fail"
"538","112","MichiganStateUniversity","Agentic",68,"20","Junior","Male","White, non-Hispanic or latino","Fail"
"539","113","MichiganStateUniversity","Agentic",73,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"540","114","MichiganStateUniversity","Communal",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"541","115","MichiganStateUniversity","Communal",70,"18","Sophomore","Female","White, non-Hispanic or latino","Pass"
"542","116","MichiganStateUniversity","Agentic",67,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"543","117","MichiganStateUniversity","Communal",70,"19","Sophomore","Female","African-American","Pass"
"544","118","MichiganStateUniversity","Communal",65,"19","Sophomore","Female","Asian-American","Pass"
"545","119","MichiganStateUniversity","Agentic",71,"20","Junior","Female","African-American","Pass"
"546","12","MichiganStateUniversity","Agentic",68,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"548","121","MichiganStateUniversity","Agentic",70,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"549","122","MichiganStateUniversity","Agentic",68,"18","Sophomore","Male","White, non-Hispanic or latino","Fail"
"551","124","MichiganStateUniversity","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"552","125","MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"553","126","MichiganStateUniversity","Communal",70,"21","Senior","Female","White, non-Hispanic or latino","Fail"
"554","127","MichiganStateUniversity","Agentic",70,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"555","127","MichiganStateUniversity","Communal",72,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"556","128","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"558","13","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"559","130","MichiganStateUniversity","Communal",70,"19","Sophomore","Male","Multiracial","Pass"
"560","131","MichiganStateUniversity","Agentic",69,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"562","133","MichiganStateUniversity","Communal",75,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"563","134","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"564","135","MichiganStateUniversity","Agentic",70,"26","Senior","Female","White, non-Hispanic or latino","Pass"
"565","136","MichiganStateUniversity","Agentic",70,"18","Sophomore","Female","White, non-Hispanic or latino","Fail"
"567","138","MichiganStateUniversity","Agentic",68,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"569","14","MichiganStateUniversity","Agentic",73,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"570","140","MichiganStateUniversity","Agentic",60,"20","Sophomore","Female","Other","Pass"
"571","141","MichiganStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"572","142","MichiganStateUniversity","Communal",72,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"573","143","MichiganStateUniversity","Communal",65,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"574","144","MichiganStateUniversity","Communal",70,"20","Junior","Male","Asian-American","Pass"
"575","145","MichiganStateUniversity","Agentic",70,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"577","147","MichiganStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"578","148","MichiganStateUniversity","Communal",68,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"579","149","MichiganStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"580","15","MichiganStateUniversity","Communal",73,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"582","151","MichiganStateUniversity","Communal",65,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"583","152","MichiganStateUniversity","Agentic",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"584","153","MichiganStateUniversity","Agentic",70,"18","Sophomore","Female","White, non-Hispanic or latino","Pass"
"585","154","MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"586","155","MichiganStateUniversity","Agentic",68,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"587","156","MichiganStateUniversity","Agentic",72,"21","Senior","Male","Multiracial","Pass"
"588","157","MichiganStateUniversity","Communal",75,"19","First-year","Female","Other","Fail"
"589","158","MichiganStateUniversity","Agentic",67,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"590","159","MichiganStateUniversity","Agentic",68,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"591","16","MichiganStateUniversity","Communal",68,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"592","160","MichiganStateUniversity","Communal",70,"18","First-year","Male","Other","Pass"
"593","161","MichiganStateUniversity","Communal",70,"21","Junior","Female","White, non-Hispanic or latino","Fail"
"594","162","MichiganStateUniversity","Communal",68,"18","First-year","Female","Asian-American","Pass"
"595","163","MichiganStateUniversity","Agentic",68,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"596","164","MichiganStateUniversity","Communal",71,"21","Junior","Male","Other","Fail"
"597","165","MichiganStateUniversity","Agentic",70,"21","Senior","Female","African-American","Pass"
"598","166","MichiganStateUniversity","Communal",64,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"599","167","MichiganStateUniversity","Agentic",67,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"600","168","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"601","169","MichiganStateUniversity","Agentic",70,"18","First-year","Female","Multiracial","Pass"
"603","170","MichiganStateUniversity","Communal",70,"18","First-year","Female","Native American and Alaska Native","Pass"
"604","171","MichiganStateUniversity","Agentic",60,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"605","172","MichiganStateUniversity","Communal",65,"18","First-year","Female","Asian-American","Fail"
"607","174","MichiganStateUniversity","Agentic",65,"19","Sophomore","Female","Multiracial","Pass"
"608","175","MichiganStateUniversity","Communal",61,"20","Junior","Female","Asian-American","Fail"
"609","176","MichiganStateUniversity","Communal",68,"21","Senior","Female","Other","Fail"
"610","177","MichiganStateUniversity","Communal",67,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"611","178","MichiganStateUniversity","Agentic",75,"18","First-year","Female","Other","Fail"
"612","179","MichiganStateUniversity","Agentic",70,"19","Sophomore","Female","Asian-American","Pass"
"613","18","MichiganStateUniversity","Agentic",65,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"614","180","MichiganStateUniversity","Communal",70,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"615","181","MichiganStateUniversity","Communal",65,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"616","182","MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"617","183","MichiganStateUniversity","Agentic",70,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"618","184","MichiganStateUniversity","Communal",73,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"619","185","MichiganStateUniversity","Communal",70,"24","Senior","Female","White, non-Hispanic or latino","Pass"
"620","186","MichiganStateUniversity","Agentic",72,"18","First-year","Female","Asian-American","Pass"
"621","187","MichiganStateUniversity","Communal",68,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"622","188","MichiganStateUniversity","Communal",74,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"623","189","MichiganStateUniversity","Agentic",60,"21","Senior","Female","Multiracial","Fail"
"624","19","MichiganStateUniversity","Agentic",70,"19","Sophomore","Female","African-American","Pass"
"625","190","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"626","191","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"627","192","MichiganStateUniversity","Communal",68,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"628","193","MichiganStateUniversity","Agentic",75,"20","Junior","Female","Asian-American","Pass"
"629","194","MichiganStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"630","195","MichiganStateUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"632","197","MichiganStateUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"635","2","MichiganStateUniversity","Agentic",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"636","20","MichiganStateUniversity","Communal",68,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"640","203","MichiganStateUniversity","Communal",70,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"641","204","MichiganStateUniversity","Communal",70,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"642","205","MichiganStateUniversity","Agentic",69,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"643","206","MichiganStateUniversity","Agentic",65,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"645","208","MichiganStateUniversity","Agentic",70,"22","Other","Female","White, non-Hispanic or latino","Fail"
"646","209","MichiganStateUniversity","Agentic",70,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"647","21","MichiganStateUniversity","Agentic",70,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"648","210","MichiganStateUniversity","Communal",70,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"650","212","MichiganStateUniversity","Communal",60,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"652","214","MichiganStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"653","215","MichiganStateUniversity","Agentic",68,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"654","216","MichiganStateUniversity","Communal",60,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"658","22","MichiganStateUniversity","Communal",66,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"659","220","MichiganStateUniversity","Communal",67,"20","Junior","Female","Latino or Hispanic","Pass"
"660","221","MichiganStateUniversity","Agentic",72,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"661","222","MichiganStateUniversity","Communal",60,"22","Senior","Female","Other","Fail"
"662","223","MichiganStateUniversity","Communal",72,"21","Senior","Female","Asian-American","Pass"
"663","224","MichiganStateUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"664","225","MichiganStateUniversity","Agentic",55,"21","Senior","Female","African-American","Pass"
"665","226","MichiganStateUniversity","Communal",70,"21","Senior","Male","Asian-American","Pass"
"667","228","MichiganStateUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"668","229","MichiganStateUniversity","Agentic",70,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"669","23","MichiganStateUniversity","Agentic",68,"20","First-year","Female","Other","Pass"
"670","230","MichiganStateUniversity","Communal",60,"21","Junior","Female","Other","Fail"
"671","231","MichiganStateUniversity","Agentic",71,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"672","232","MichiganStateUniversity","Communal",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"673","233","MichiganStateUniversity","Agentic",70,"23","Other","Female","White, non-Hispanic or latino","Pass"
"674","234","MichiganStateUniversity","Agentic",63,"18","First-year","Male","White, non-Hispanic or latino","Pass"
