"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"2180","10","PennStateAbington","Communal",72,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2181","100","PennStateAbington","Agentic",65,"23","Junior","Female","White, non-Hispanic or latino","Fail"
"2182","101","PennStateAbington","Agentic",68,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2184","103","PennStateAbington","Communal",85,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"2185","104","PennStateAbington","Communal",70,"19","First-year","Female","Latino or Hispanic","Pass"
"2186","105","PennStateAbington","Communal",78,"19","Sophomore","Female","Asian-American","Fail"
"2187","106","PennStateAbington","Communal",65,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2188","107","PennStateAbington","Agentic",65,"19","Sophomore","Male","Asian-American","Pass"
"2189","108","PennStateAbington","Communal",65,"22","Junior","Female","White, non-Hispanic or latino","Fail"
"2190","109","PennStateAbington","Communal",69,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2193","111","PennStateAbington","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2194","112","PennStateAbington","Communal",67,"18","First-year","Female","Asian-American","Fail"
"2195","113","PennStateAbington","Communal",75,"18","First-year","Female","Other","Fail"
"2196","114","PennStateAbington","Communal",75,"18","First-year","Male","Asian-American","Pass"
"2197","115","PennStateAbington","Agentic",70,"22","Senior","Female","African-American","Fail"
"2198","116","PennStateAbington","Agentic",57,"21","Junior","Female","African-American","Fail"
"2199","117","PennStateAbington","Agentic",72,"54","Senior","Female","White, non-Hispanic or latino","Pass"
"2200","118","PennStateAbington","Communal",70,"19","First-year","Male","Other","Pass"
"2201","119","PennStateAbington","Agentic",66,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2204","121","PennStateAbington","Communal",72,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2207","15","PennStateAbington","Communal",65,"18","First-year","Female","African-American","Pass"
"2208","16","PennStateAbington","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2211","2","PennStateAbington","Agentic",60,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2213","21","PennStateAbington","Agentic",70,"18","First-year","Male","Multiracial","Pass"
"2215","23","PennStateAbington","Agentic",72,"18","First-year","Female","Latino or Hispanic","Fail"
"2217","25","PennStateAbington","Communal",60,"21","Junior","Female","White, non-Hispanic or latino","Fail"
"2218","26","PennStateAbington","Agentic",65,"21","Senior","Female","Multiracial","Pass"
"2219","27","PennStateAbington","Communal",73,"17","First-year","Female","White, non-Hispanic or latino","Fail"
"2220","28","PennStateAbington","Agentic",68,"21","Junior","Male","African-American","Fail"
"2221","29","PennStateAbington","Communal",60,"22","Sophomore","Male","African-American","Fail"
"2223","30","PennStateAbington","Agentic",68,"19","Sophomore","Female","African-American","Pass"
"2228","35","PennStateAbington","Communal",66,"18","First-year","Female","African-American","Pass"
"2229","36","PennStateAbington","Agentic",75,"18","First-year","Female","African-American","Pass"
"2230","37","PennStateAbington","Communal",60,"19","Sophomore","Female","Asian-American","Pass"
"2234","40","PennStateAbington","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2237","43","PennStateAbington","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2238","44","PennStateAbington","Communal",80,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2239","45","PennStateAbington","Communal",60,"20","Junior","Male","Asian-American","Fail"
"2240","46","PennStateAbington","Agentic",70,"18","First-year","Female","African-American","Fail"
"2242","48","PennStateAbington","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2243","49","PennStateAbington","Communal",65,"21","Junior","Female","Multiracial","Pass"
"2244","5","PennStateAbington","Communal",72,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2246","51","PennStateAbington","Communal",70,"22","Junior","Female","African-American","Fail"
"2247","52","PennStateAbington","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2248","53","PennStateAbington","Agentic",72,"21","Junior",NA,"African-American","Pass"
