"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"3320","10","UniversityOfToronto","Agentic",86,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3321","11","UniversityOfToronto","Communal",78,"21","Sophomore","Male","Asian-American","Pass"
"3322","12","UniversityOfToronto","Communal",73,"17","First-year","Female","Asian-American","Pass"
"3324","14","UniversityOfToronto","Agentic",73,"21","Other","Female","Asian-American","Pass"
"3325","15","UniversityOfToronto","Communal",77,"18","First-year","Male","Asian-American","Pass"
"3327","17","UniversityOfToronto","Agentic",77,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3328","18","UniversityOfToronto","Communal",73,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3329","19","UniversityOfToronto","Agentic",71,"18","First-year","Female","Asian-American","Fail"
"3331","21","UniversityOfToronto","Communal",77,"almost 18","First-year","Female","Asian-American","Fail"
"3332","22","UniversityOfToronto","Communal",77,"22 years","Junior","Male","Native Hawaiian and other Pacific Islander","Pass"
"3333","23","UniversityOfToronto","Agentic",75,"17","First-year","Female","Asian-American","Pass"
"3336","26","UniversityOfToronto","Agentic",73,"20","Sophomore","Female",NA,"Pass"
"3338","28","UniversityOfToronto","Agentic",77,"19","First-year","Male","Asian-American","Fail"
"3339","2886","UniversityOfToronto","Agentic",68,"18","First-year","Male","Asian-American","Pass"
"3340","29","UniversityOfToronto","Communal",73,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3341","30","UniversityOfToronto","Communal",77,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3343","32","UniversityOfToronto","Communal",71,"20","First-year","Male","Asian-American","Fail"
"3344","33","UniversityOfToronto","Agentic",68,"19","Sophomore","Female","Other","Fail"
"3345","34","UniversityOfToronto","Agentic",77,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"3347","36","UniversityOfToronto","Agentic",77,"18","First-year","Female","Other","Pass"
"3348","37","UniversityOfToronto","Agentic",77,"19","Sophomore","Female","Multiracial","Pass"
"3350","39","UniversityOfToronto","Communal",66,"19","First-year","Female","Asian-American","Fail"
"3352","41","UniversityOfToronto","Communal",77,"21","Junior","Female","Asian-American","Fail"
"3353","42","UniversityOfToronto","Agentic",68,"18","First-year","Female","Asian-American","Pass"
"3357","46","UniversityOfToronto","Communal",73,"19","Sophomore",NA,"Asian-American","Pass"
"3358","47","UniversityOfToronto","Communal",80,"19","Sophomore","Female","Other","Pass"
"3362","51","UniversityOfToronto","Communal",69,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"3363","52","UniversityOfToronto","Communal",77,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3368","57","UniversityOfToronto","Communal",78,"18","First-year","Female","Asian-American","Pass"
"3369","58","UniversityOfToronto","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3370","59","UniversityOfToronto","Communal",68,"20","First-year","Female","Asian-American","Pass"
"3371","60","UniversityOfToronto","Communal",68,"18","First-year","Male","Asian-American","Pass"
"3373","62","UniversityOfToronto","Communal",71,"45","Sophomore","Female","Asian-American","Fail"
"3374","63","UniversityOfToronto","Communal",62,"17","First-year","Male","White, non-Hispanic or latino","Pass"
"3375","64","UniversityOfToronto","Communal",64,"18","First-year","Female","Asian-American","Pass"
"3376","65","UniversityOfToronto","Agentic",77,"21","Sophomore","Male","Other","Fail"
"3377","66","UniversityOfToronto","Agentic",71,"20","Sophomore","Female","Multiracial","Pass"
"3379","68","UniversityOfToronto","Communal",59,"19","First-year","Female","Asian-American","Fail"
"3380","69","UniversityOfToronto","Communal",68,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3381","7","UniversityOfToronto","Communal",66,"18","First-year","Female","Other","Pass"
"3383","71","UniversityOfToronto","Communal",75,"18","First-year","Female","Asian-American","Pass"
"3384","72","UniversityOfToronto","Communal",68,"18","First-year","Female","Native Hawaiian and other Pacific Islander","Pass"
"3385","73","UniversityOfToronto","Communal",77,"26","Sophomore","Male","Other","Pass"
"3388","76","UniversityOfToronto","Agentic",69,"23","Other","Female","African-American","Pass"
"3389","77","UniversityOfToronto","Agentic",73,"18","First-year","Male","Asian-American","Pass"
"3390","78","UniversityOfToronto","Communal",62,"20","Sophomore","Male","Latino or Hispanic","Pass"
"3391","79","UniversityOfToronto","Communal",71,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3392","8","UniversityOfToronto","Communal",77,"18","First-year","Female","White, non-Hispanic or latino","Pass"
