"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck"
"3424","101","UniversityOfVirginia","Agentic",72,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3425","102","UniversityOfVirginia","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3426","103","UniversityOfVirginia","Communal",67,"18","First-year","Female","Asian-American","Pass"
"3427","104","UniversityOfVirginia","Agentic",70,"18","First-year","Male","African-American","Pass"
"3428","105","UniversityOfVirginia","Agentic",71,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3429","106","UniversityOfVirginia","Agentic",75,NA,NA,NA,NA,NA
"3430","107","UniversityOfVirginia","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3431","108","UniversityOfVirginia","Communal",77,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"3432","109","UniversityOfVirginia","Communal",76,"18","First-year","Female","Other","Pass"
"3434","110","UniversityOfVirginia","Agentic",68,"18","First-year","Male","Asian-American","Pass"
"3435","111","UniversityOfVirginia","Agentic",75,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3436","112","UniversityOfVirginia","Agentic",55,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"3437","113","UniversityOfVirginia","Agentic",73,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3438","114","UniversityOfVirginia","Communal",68,"18","First-year","Male","African-American","Pass"
"3439","115","UniversityOfVirginia","Communal",69,"18","First-year","Male","Asian-American","Pass"
"3440","116","UniversityOfVirginia","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3441","117","UniversityOfVirginia","Agentic",70,"21","Junior","Female","Other","Pass"
"3442","118","UniversityOfVirginia","Communal",73,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3443","119","UniversityOfVirginia","Agentic",75,"20","Junior","Female","Asian-American","Pass"
"3444","12","UniversityOfVirginia","Communal",68,"18","First-year","Female","African-American","Pass"
"3445","120","UniversityOfVirginia","Communal",80,"18","First-year",NA,"Asian-American","Fail"
"3446","121","UniversityOfVirginia","Communal",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3447","122","UniversityOfVirginia","Communal",75,"18","First-year","Female","Asian-American","Pass"
"3448","123","UniversityOfVirginia","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"3449","124","UniversityOfVirginia","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3450","125","UniversityOfVirginia","Communal",70,"19","First-year","Female","Asian-American","Pass"
"3451","126","UniversityOfVirginia","Agentic",75,"19","Junior","Female","White, non-Hispanic or latino","Pass"
"3452","127","UniversityOfVirginia","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3453","128","UniversityOfVirginia","Communal",74,"20","Junior","Female","Afghan","Pass"
"3454","129","UniversityOfVirginia","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3455","13","UniversityOfVirginia","Agentic",76,"19","Sophomore","Female","Asian-American","Pass"
