"","lab","NoCredentials_m","NoCredentials_s","NoCredentials_n","Credentials_m","Credentials_s","Credentials_n","mdiff","ci.low","ci.high","other_lab_capture","meta_effect","meta_analysis_capture","same_size_replication_capture","same_size_replication_count","Location","Total_N","Percent_Female","Pass_Attenction_Check","USA"
"1","AshlandUniversity",0.0476190476190476,0.730932613502775,42,0.547619047619048,0.942295612887677,42,0.5,0.133935589710447,0.866064410289553,0.285714285714286,-0.119158945004131,FALSE,0.482,500,"Ashland, OH",86,82.1,"69%","USA"
"2","BradleyUniversity",0.320754716981132,0.893859068775996,53,0.402985074626866,0.79885716652048,67,0.0822303576457336,-0.224301187557809,0.388761902849276,0.80952380952381,-0.128769976435276,TRUE,0.952,500,"Peoria, IL",120,79.7,"69%","USA"
"3","CarletonUniversity",0.136363636363636,0.990211836184299,22,0.272727272727273,0.702500173314209,22,0.136363636363636,-0.386008463003972,0.658735735731245,0.952380952380952,-0.127332949771813,TRUE,0.928,500,"Ottawa, Ontario",45,71.4,"71%","NotUSA"
"4","IthacaCollege",0.304347826086957,0.510753918455249,46,0.217391304347826,0.696436755627797,46,-0.0869565217391305,-0.339936578539126,0.166023535060865,0.714285714285714,-0.141948405408061,TRUE,0.592,500,"Ithaca, NY",93,74.2,"71%","USA"
"5","MiamiUniversity",0.423076923076923,0.775764110249457,52,0.439024390243902,0.923276244896534,41,0.0159474671669794,-0.334112493329331,0.36600742766329,0.80952380952381,-0.130662821479434,TRUE,0.908,500,"Oxford, OH",97,56.2,"37%","USA"
"6","MichiganStateUniversity",0.193548387096774,0.694101064851439,155,0.335403726708075,0.851058894692973,161,0.1418553396113,-0.0304090093877837,0.314119688610384,0.666666666666667,-0.124346679482516,FALSE,0.938,500,"East Lansing, MI",354,78.6,"81%","USA"
"7","MontanaStateUniversity",0.161290322580645,0.657704612234088,62,0.580645161290323,0.915233323235015,62,0.419354838709677,0.136005429905377,0.702704247513978,0.238095238095238,-0.117521176062864,FALSE,0.484,500,"Bozeman, MT",129,68.3,"65%","USA"
"8","mTurk",0.531976744186046,1.14495757978883,344,0.745704467353952,1.21935841041465,291,0.213727723167905,0.0292326757778139,0.398222770557997,0.619047619047619,-0.119209129998851,FALSE,0.936,500,"N/A",737,48.9,"94%",NA
"9","NovaSoutheasternUniversity",0.310344827586207,0.654455620886259,58,0.394366197183099,0.963310856806382,71,0.0840213695968917,-0.209781228743478,0.377823967937261,0.80952380952381,-0.128884877000103,TRUE,0.892,500,"Fort Lauderdale, FL",134,78.8,"61%","USA"
"10","OSUNewark",0.267441860465116,0.773447874279247,86,0.231884057971014,0.859974820702394,69,-0.0355578024941018,-0.295156146705618,0.224040541717414,0.761904761904762,-0.136665455974667,TRUE,0.744,500,"Newark, OH",158,47.1,"50%","USA"
"11","PacificLutheranUniversity",0.285714285714286,0.540061724867322,49,0.407407407407407,0.813065907851346,54,0.121693121693122,-0.15102116931114,0.394407412697384,0.80952380952381,-0.12701321222755,TRUE,0.886,500,"Tacoma, WA",106,76.2,"76%","USA"
"12","PennStateAbington",0.194029850746269,0.557016020936813,67,0.326923076923077,0.856833061878218,52,0.132893226176808,-0.124631425068105,0.390417877421722,0.80952380952381,-0.126477913652324,FALSE,0.91,500,"Abington, PA",121,74.8,"54%","USA"
"13","SanDiegoStateUniversity",0.318181818181818,0.91414678015313,66,0.388888888888889,0.912442250621854,72,0.0707070707070707,-0.237061540678789,0.378475682092931,0.80952380952381,-0.129270523684405,TRUE,0.952,500,"San Diego, CA",143,71.7,"75%","USA"
"14","TexasAandM",0.355555555555556,0.708077173333356,90,0.431818181818182,0.854944436528292,88,0.0762626262626263,-0.155730841523003,0.308256094048255,0.761904761904762,-0.129966957699974,TRUE,0.934,500,"College Station, TX",181,62.1,"52%","USA"
"15","UCDavis",0.138461538461538,0.658523990568184,65,0.230769230769231,0.546481961217982,52,0.0923076923076923,-0.133004380960578,0.317619765575962,0.761904761904762,-0.128933838185091,TRUE,0.848,500,"Davis, CA",120,74.1,"61%","USA"
"16","UCRiverside",0.166666666666667,0.555088505825621,120,0.300813008130081,0.838958755014981,123,0.134146341463415,-0.0460802421476869,0.314372925074516,0.714285714285714,-0.125231591978791,FALSE,0.912,500,"Riverside, CA",248,68.5,"58%","USA"
"17","UniversityOfFlorida",0.462686567164179,0.74525485185322,67,0.470588235294118,0.999560922042499,68,0.00790166812993853,-0.292596929397721,0.308400265657598,0.761904761904762,-0.132275629948952,TRUE,0.862,500,"Gainesville, FL",138,69.9,"71%","USA"
"18","UniversityOfSouthernMississippi",0.372093023255814,0.976467291870559,43,0.434782608695652,0.834057656228299,46,0.0626895854398382,-0.319125106213257,0.444504277092933,0.857142857142857,-0.12896074712782,TRUE,0.94,500,"Hattiesburg, MS",89,78.7,"56%","USA"
"19","UniversityOfToronto",0.633333333333333,0.927857499958849,30,0.28,1.01096034359738,50,-0.353333333333333,-0.804311655160597,0.0976449884939307,0.476190476190476,-0.137993519491453,TRUE,0.444,500,"Toronto, Ontario",85,67.1,"74%","NotUSA"
"20","UniversityOfVirginia",0.164948453608247,0.513979822300408,97,0.489130434782609,0.733717992616999,92,0.324181981174361,0.143156983683906,0.505206978664816,0.142857142857143,-0.111195132099875,FALSE,0.45,500,"Charlottesville, VA",198,62.4,"69%","USA"
"21","VirginiaCommonwealthUniversity",0.0625,0.696686687418047,48,0.173913043478261,0.739499765640019,46,0.111413043478261,-0.182795207277797,0.405621294234319,0.80952380952381,-0.127576365223814,TRUE,0.872,500,"Richmond, VA",96,65.3,"64%","USA"
