"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"1756","10","NovaSoutheasternUniversity","Credentials",0,"almost 19","First-year","Female","White, non-Hispanic or latino","Pass"
"1757","100","NovaSoutheasternUniversity","NoCredentials",3,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"1758","101","NovaSoutheasternUniversity","Credentials",0,"18","First-year","Female","Asian-American","Pass"
"1759","102","NovaSoutheasternUniversity","Credentials",0,"18","First-year","Female","African-American","Fail"
"1760","103","NovaSoutheasternUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1761","104","NovaSoutheasternUniversity","Credentials",0,"18","First-year","Female","Asian-American","Fail"
"1762","105","NovaSoutheasternUniversity","Credentials",0,"18","First-year","Female","Other","Pass"
"1763","106","NovaSoutheasternUniversity","Credentials",0,"28","First-year","Male","Latino or Hispanic","Pass"
"1764","107","NovaSoutheasternUniversity","NoCredentials",0,"33","First-year","Male","African-American","Fail"
"1765","108","NovaSoutheasternUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1766","109","NovaSoutheasternUniversity","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1769","111","NovaSoutheasternUniversity","NoCredentials",1,"21","Senior","Female","Asian-American","Fail"
"1770","112","NovaSoutheasternUniversity","Credentials",0,"18","First-year","Male","Asian-American","Pass"
"1771","113","NovaSoutheasternUniversity","Credentials",1,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"1772","114","NovaSoutheasternUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1773","115","NovaSoutheasternUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1774","116","NovaSoutheasternUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1775","117","NovaSoutheasternUniversity","Credentials",0,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"1776","118","NovaSoutheasternUniversity","Credentials",1,"20","Junior","Female","Latino or Hispanic","Pass"
"1777","119","NovaSoutheasternUniversity","Credentials",2,"18","First-year","Female","Latino or Hispanic","Fail"
"1778","12","NovaSoutheasternUniversity","Credentials",0,"18","First-year","Female","Other","Fail"
"1779","120","NovaSoutheasternUniversity","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"1780","121","NovaSoutheasternUniversity","NoCredentials",0,"19","First-year","Female","Latino or Hispanic","Pass"
"1782","123","NovaSoutheasternUniversity","NoCredentials",2,"18","First-year","Female","Latino or Hispanic","Pass"
"1783","124","NovaSoutheasternUniversity","NoCredentials",0,"25","Senior","Female","African-American","Fail"
"1784","125","NovaSoutheasternUniversity","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"1785","126","NovaSoutheasternUniversity","NoCredentials",1,"18","First-year","Female","African-American","Pass"
"1786","127","NovaSoutheasternUniversity","Credentials",0,"13","First-year","Female","Multiracial","Pass"
