"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"2067","100","PacificLutheranUniversity","Credentials",1,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2068","101","PacificLutheranUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2069","102","PacificLutheranUniversity","Credentials",1,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2070","103","PacificLutheranUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2071","104","PacificLutheranUniversity","Credentials",0,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2073","107","PacificLutheranUniversity","NoCredentials",1,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2074","108","PacificLutheranUniversity","Credentials",1,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2075","109","PacificLutheranUniversity","NoCredentials",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2076","11","PacificLutheranUniversity","NoCredentials",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2077","110","PacificLutheranUniversity","Credentials",2,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2078","111","PacificLutheranUniversity","NoCredentials",0,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2079","12","PacificLutheranUniversity","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2080","13","PacificLutheranUniversity","NoCredentials",0,"18","Other","Female","White, non-Hispanic or latino","Pass"
"2083","16","PacificLutheranUniversity","Credentials",0,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"2084","17","PacificLutheranUniversity","NoCredentials",0,"18","First-year","Female","Asian-American","Pass"
"2085","18","PacificLutheranUniversity","Credentials",0,"18","First-year","Female","Multiracial","Fail"
"2086","19","PacificLutheranUniversity","Credentials",0,"20","Other","Female","White, non-Hispanic or latino","Fail"
"2087","20","PacificLutheranUniversity","Credentials",1,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"2088","21","PacificLutheranUniversity","Credentials",0,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2089","22","PacificLutheranUniversity","NoCredentials",0,"18","Other","Female","Asian-American","Pass"
"2090","23","PacificLutheranUniversity","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2091","24","PacificLutheranUniversity","Credentials",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2092","25","PacificLutheranUniversity","Credentials",0,"18","Sophomore","Female","Asian-American","Fail"
"2093","26","PacificLutheranUniversity","NoCredentials",0,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2094","27","PacificLutheranUniversity","NoCredentials",0,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2095","28","PacificLutheranUniversity","Credentials",-1,"18","First-year","Female","Asian-American","Pass"
"2096","29","PacificLutheranUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2097","30","PacificLutheranUniversity","NoCredentials",0,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2098","31","PacificLutheranUniversity","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2099","32","PacificLutheranUniversity","Credentials",0,"19","Sophomore","Female","African-American","Pass"
