"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"2179","1","PennStateAbington","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2180","10","PennStateAbington","Credentials",-1,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2181","100","PennStateAbington","Credentials",0,"23","Junior","Female","White, non-Hispanic or latino","Fail"
"2182","101","PennStateAbington","Credentials",1,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2184","103","PennStateAbington","NoCredentials",0,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"2185","104","PennStateAbington","Credentials",0,"19","First-year","Female","Latino or Hispanic","Pass"
"2186","105","PennStateAbington","NoCredentials",-1,"19","Sophomore","Female","Asian-American","Fail"
"2187","106","PennStateAbington","Credentials",1,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2188","107","PennStateAbington","Credentials",2,"19","Sophomore","Male","Asian-American","Pass"
"2189","108","PennStateAbington","NoCredentials",0,"22","Junior","Female","White, non-Hispanic or latino","Fail"
"2190","109","PennStateAbington","NoCredentials",0,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2193","111","PennStateAbington","NoCredentials",0,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2194","112","PennStateAbington","Credentials",0,"18","First-year","Female","Asian-American","Fail"
"2195","113","PennStateAbington","NoCredentials",1,"18","First-year","Female","Other","Fail"
"2196","114","PennStateAbington","NoCredentials",0,"18","First-year","Male","Asian-American","Pass"
"2197","115","PennStateAbington","Credentials",0,"22","Senior","Female","African-American","Fail"
"2198","116","PennStateAbington","NoCredentials",2,"21","Junior","Female","African-American","Fail"
"2199","117","PennStateAbington","NoCredentials",0,"54","Senior","Female","White, non-Hispanic or latino","Pass"
"2200","118","PennStateAbington","Credentials",0,"19","First-year","Male","Other","Pass"
"2201","119","PennStateAbington","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2203","120","PennStateAbington","NoCredentials",-1,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2204","121","PennStateAbington","NoCredentials",0,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2207","15","PennStateAbington","Credentials",0,"18","First-year","Female","African-American","Pass"
"2208","16","PennStateAbington","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2211","2","PennStateAbington","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2213","21","PennStateAbington","Credentials",2,"18","First-year","Male","Multiracial","Pass"
"2215","23","PennStateAbington","NoCredentials",0,"18","First-year","Female","Latino or Hispanic","Fail"
"2217","25","PennStateAbington","Credentials",0,"21","Junior","Female","White, non-Hispanic or latino","Fail"
"2218","26","PennStateAbington","NoCredentials",0,"21","Senior","Female","Multiracial","Pass"
"2219","27","PennStateAbington","NoCredentials",1,"17","First-year","Female","White, non-Hispanic or latino","Fail"
"2220","28","PennStateAbington","NoCredentials",0,"21","Junior","Male","African-American","Fail"
"2221","29","PennStateAbington","NoCredentials",0,"22","Sophomore","Male","African-American","Fail"
"2223","30","PennStateAbington","NoCredentials",0,"19","Sophomore","Female","African-American","Pass"
"2228","35","PennStateAbington","NoCredentials",0,"18","First-year","Female","African-American","Pass"
"2229","36","PennStateAbington","Credentials",-1,"18","First-year","Female","African-American","Pass"
"2230","37","PennStateAbington","NoCredentials",0,"19","Sophomore","Female","Asian-American","Pass"
"2232","39","PennStateAbington","NoCredentials",0,"19","First-year","Female","African-American","Fail"
"2234","40","PennStateAbington","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2237","43","PennStateAbington","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2238","44","PennStateAbington","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2239","45","PennStateAbington","Credentials",1,"20","Junior","Male","Asian-American","Fail"
"2240","46","PennStateAbington","NoCredentials",0,"18","First-year","Female","African-American","Fail"
