"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"3224","1","UniversityOfSouthernMississippi","NoCredentials",0,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"3225","10","UniversityOfSouthernMississippi","NoCredentials",0,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3226","11","UniversityOfSouthernMississippi","NoCredentials",0,"20","Other","Female","African-American","Pass"
"3228","13","UniversityOfSouthernMississippi","NoCredentials",0,"34","Junior","Female","African-American","Pass"
"3229","14","UniversityOfSouthernMississippi","NoCredentials",1,"39","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3230","15","UniversityOfSouthernMississippi","NoCredentials",2,"21","Senior","Male","White, non-Hispanic or latino","Fail"
"3231","16","UniversityOfSouthernMississippi","Credentials",0,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"3232","17","UniversityOfSouthernMississippi","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3233","18","UniversityOfSouthernMississippi","NoCredentials",0,"18","First-year","Female","African-American","Fail"
"3234","19","UniversityOfSouthernMississippi","NoCredentials",0,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"3235","2","UniversityOfSouthernMississippi","Credentials",0,"18","First-year","Female","African-American","Pass"
"3237","21","UniversityOfSouthernMississippi","NoCredentials",0,"19","Sophomore","Male","African-American","Pass"
"3238","22","UniversityOfSouthernMississippi","Credentials",0,"24","Senior","Female","African-American","Fail"
"3239","23","UniversityOfSouthernMississippi","NoCredentials",1,"22","Other","Female","White, non-Hispanic or latino","Pass"
"3240","24","UniversityOfSouthernMississippi","Credentials",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3241","25","UniversityOfSouthernMississippi","NoCredentials",2,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"3242","26","UniversityOfSouthernMississippi","Credentials",0,"21","Senior","Female","African-American","Fail"
"3243","27","UniversityOfSouthernMississippi","Credentials",1,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"3244","28","UniversityOfSouthernMississippi","Credentials",0,"20","First-year","Female","African-American","Fail"
"3245","29","UniversityOfSouthernMississippi","NoCredentials",0,"21","Other","Female","African-American","Fail"
"3247","30","UniversityOfSouthernMississippi","NoCredentials",0,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"3248","32","UniversityOfSouthernMississippi","Credentials",0,"23","Senior","Female","African-American","Fail"
"3249","33","UniversityOfSouthernMississippi","NoCredentials",0,"23","Senior","Female","Asian-American","Pass"
"3250","34","UniversityOfSouthernMississippi","Credentials",1,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
