"","Participant_ID","referrer","CredCond","mcdv1","age","year","Genderfactor","ethnicity","AttentionCheck"
"3656","10","VirginiaCommonwealthUniversity","Credentials",1,"19","Sophomore","Male","Asian-American","Fail"
"3657","100","VirginiaCommonwealthUniversity","Credentials",0,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"3658","101","VirginiaCommonwealthUniversity","NoCredentials",-1,"19","Sophomore","Female","African-American","Pass"
"3659","102","VirginiaCommonwealthUniversity","Credentials",1,"18","First-year","Female","African-American","Pass"
"3660","103","VirginiaCommonwealthUniversity","NoCredentials",0,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"3661","11","VirginiaCommonwealthUniversity","Credentials",1,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"3662","12","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","Asian-American","Fail"
"3663","13","VirginiaCommonwealthUniversity","NoCredentials",1,"18","First-year","Female","Asian-American","Pass"
"3664","14","VirginiaCommonwealthUniversity","Credentials",0,"21","Sophomore","Male","Latino or Hispanic","Pass"
"3665","15","VirginiaCommonwealthUniversity","Credentials",-2,"21","Junior","Male","White, non-Hispanic or latino","Pass"
"3666","16","VirginiaCommonwealthUniversity","Credentials",1,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3667","17","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3669","19","VirginiaCommonwealthUniversity","NoCredentials",0,"18","Junior","Female","White, non-Hispanic or latino","Pass"
"3670","20","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","African-American","Pass"
"3671","21","VirginiaCommonwealthUniversity","Credentials",0,"22","Sophomore","Female","White, non-Hispanic or latino","Fail"
"3672","22","VirginiaCommonwealthUniversity","Credentials",0,"20","Sophomore","Female","Other","Pass"
"3673","23","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3674","24","VirginiaCommonwealthUniversity","NoCredentials",2,"20","Junior","Female","Asian-American","Pass"
"3675","25","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3676","26","VirginiaCommonwealthUniversity","Credentials",0,"22","Junior","Male","White, non-Hispanic or latino","Fail"
"3678","28","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Male","African-American","Fail"
"3679","29","VirginiaCommonwealthUniversity","NoCredentials",0,"21","Senior","Female","African-American","Fail"
"3680","30","VirginiaCommonwealthUniversity","NoCredentials",1,"24","First-year","Female","African-American","Fail"
"3681","31","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","African-American","Fail"
"3682","32","VirginiaCommonwealthUniversity","Credentials",1,"18","First-year","Female","Latino or Hispanic","Pass"
"3683","33","VirginiaCommonwealthUniversity","Credentials",0,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"3684","34","VirginiaCommonwealthUniversity","Credentials",2,"18","First-year","Female","Latino or Hispanic","Pass"
"3685","35","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Male","Multiracial","Fail"
"3686","36","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"3687","37","VirginiaCommonwealthUniversity","NoCredentials",0,"21","Senior","Male","Asian-American","Fail"
"3688","38","VirginiaCommonwealthUniversity","Credentials",1,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3689","39","VirginiaCommonwealthUniversity","NoCredentials",0,"18","First-year","Male","Multiracial","Pass"
"3690","40","VirginiaCommonwealthUniversity","Credentials",0,"20","Senior","Female","Multiracial","Pass"
"3691","41","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"3692","42","VirginiaCommonwealthUniversity","NoCredentials",0,"17","First-year","Female","African-American","Pass"
"3693","43","VirginiaCommonwealthUniversity","NoCredentials",1,"18","First-year","Female","African-American","Fail"
"3694","44","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"3696","46","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"3697","47","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","African-American","Pass"
"3698","48","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Female","African-American","Fail"
"3699","49","VirginiaCommonwealthUniversity","NoCredentials",0,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"3700","50","VirginiaCommonwealthUniversity","Credentials",0,"18","First-year","Male","African-American","Fail"
