"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"3","12","AshlandUniversity","HighPower",4,"19","Sophomore","Female","Multiracial","Pass"
"4","13","AshlandUniversity","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"5","14","AshlandUniversity","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"6","15","AshlandUniversity","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"7","16","AshlandUniversity","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"8","17","AshlandUniversity","HighPower",2,"24","Sophomore","Male","Other","Fail"
"10","19","AshlandUniversity","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"11","20","AshlandUniversity","HighPower",5,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"12","21","AshlandUniversity","LowPower",3,"20","Sophomore","Female","Other","Fail"
"14","23","AshlandUniversity","HighPower",5,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"15","24","AshlandUniversity","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"18","27","AshlandUniversity","HighPower",5,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"19","28","AshlandUniversity","HighPower",5,"21",NA,"Female",NA,"Pass"
"20","29","AshlandUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"21","30","AshlandUniversity","HighPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"24","33","AshlandUniversity","HighPower",4,"18","Sophomore","Female","White, non-Hispanic or latino","Fail"
"25","34","AshlandUniversity","LowPower",2,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"26","35","AshlandUniversity","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"27","36","AshlandUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"28","37","AshlandUniversity","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"29","38","AshlandUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"30","39","AshlandUniversity","HighPower",4,NA,"Sophomore",NA,"White, non-Hispanic or latino","Pass"
"31","40","AshlandUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"32","41","AshlandUniversity","LowPower",5,"18","Sophomore","Male","White, non-Hispanic or latino","Pass"
"33","42","AshlandUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"34","43","AshlandUniversity","HighPower",1,"20","Junior","Female","Other","Pass"
"35","44","AshlandUniversity","HighPower",2,"18","First-year","Female","Asian-American","Fail"
"36","45","AshlandUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"37","46","AshlandUniversity","HighPower",3,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"38","47","AshlandUniversity","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"39","48","AshlandUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"40","49","AshlandUniversity","LowPower",4,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"41","50","AshlandUniversity","LowPower",5,"20","Senior","Female","White, non-Hispanic or latino","Fail"
"42","51","AshlandUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"43","52","AshlandUniversity","LowPower",6,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"44","53","AshlandUniversity","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"45","54","AshlandUniversity","LowPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"46","55","AshlandUniversity","HighPower",6,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"47","56","AshlandUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"48","57","AshlandUniversity","LowPower",5,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"51","60","AshlandUniversity","LowPower",3,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"52","61","AshlandUniversity","HighPower",1,"18","First-year","Female","African-American","Fail"
"53","62","AshlandUniversity","LowPower",1,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"54","63","AshlandUniversity","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"55","64","AshlandUniversity","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"56","65","AshlandUniversity","HighPower",3,"19","First-year","Female","Other","Pass"
"57","66","AshlandUniversity","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"58","67","AshlandUniversity","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"59","68","AshlandUniversity","LowPower",2,"20","Junior","Female","Other","Fail"
"60","69","AshlandUniversity","LowPower",6,NA,NA,NA,NA,NA
"61","7","AshlandUniversity","HighPower",5,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"62","70","AshlandUniversity","HighPower",2,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"63","71","AshlandUniversity","HighPower",6,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"64","72","AshlandUniversity","LowPower",1,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"65","73","AshlandUniversity","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"66","74","AshlandUniversity","LowPower",1,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"67","75","AshlandUniversity","LowPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"68","76","AshlandUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"69","77","AshlandUniversity","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"70","78","AshlandUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"71","79","AshlandUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"72","8","AshlandUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"73","80","AshlandUniversity","LowPower",2,"19","Sophomore","Male","African-American","Fail"
"74","81","AshlandUniversity","HighPower",6,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"75","82","AshlandUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"76","83","AshlandUniversity","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"77","84","AshlandUniversity","LowPower",1,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"78","85","AshlandUniversity","LowPower",5,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"80","87","AshlandUniversity","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"81","88","AshlandUniversity","HighPower",1,"26","Junior","Female","White, non-Hispanic or latino","Fail"
"82","89","AshlandUniversity","LowPower",5,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"83","9","AshlandUniversity","HighPower",4,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"84","90","AshlandUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"85","91","AshlandUniversity","HighPower",5,"18","First-year","Female","African-American","Pass"
"86",NA,"AshlandUniversity","HighPower",6,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"87",NA,"AshlandUniversity","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
