"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"97","1","BradleyUniversity","LowPower",6,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"98","10","BradleyUniversity","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"99","100","BradleyUniversity","HighPower",6,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"100","101","BradleyUniversity","HighPower",2,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"101","102","BradleyUniversity","LowPower",3,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"102","103","BradleyUniversity","LowPower",5,"23","Senior","Female","White, non-Hispanic or latino","Pass"
"103","104","BradleyUniversity","HighPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"104","105","BradleyUniversity","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"105","106","BradleyUniversity","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"106","107","BradleyUniversity","HighPower",1,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"107","108","BradleyUniversity","LowPower",4,"19","First-year","Female","African-American","Pass"
"109","11","BradleyUniversity","HighPower",5,"18","First-year","Female","Asian-American","Pass"
"110","110","BradleyUniversity","HighPower",4,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"111","111","BradleyUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"112","112","BradleyUniversity","LowPower",3,"19","Sophomore","Male","Latino or Hispanic","Pass"
"113","113","BradleyUniversity","LowPower",3,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"114","114","BradleyUniversity","LowPower",1,"20","Sophomore","Female","African-American","Fail"
"115","115","BradleyUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"116","116","BradleyUniversity","LowPower",5,"18","First-year","Female",NA,"Fail"
"117","117","BradleyUniversity","LowPower",6,"18","First-year","Female","African-American","Pass"
"118","118","BradleyUniversity","HighPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"119","119","BradleyUniversity","LowPower",6,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"120","12","BradleyUniversity","LowPower",6,"18","Sophomore","Female","African-American","Pass"
"123","13","BradleyUniversity","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"124","14","BradleyUniversity","HighPower",6,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"125","15","BradleyUniversity","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"126","16","BradleyUniversity","LowPower",4,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"128","18","BradleyUniversity","HighPower",5,"19","Sophomore","Female","Asian-American","Pass"
"129","19","BradleyUniversity","LowPower",3,"18","First-year","Female","Latino or Hispanic","Pass"
"130","2","BradleyUniversity","HighPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"132","21","BradleyUniversity","LowPower",3,"18 almost 19","First-year","Female","White, non-Hispanic or latino","Pass"
"134","23","BradleyUniversity","HighPower",5,"18","First-year",NA,"White, non-Hispanic or latino","Fail"
"135","24","BradleyUniversity","HighPower",6,"18","First-year","Female","Latino or Hispanic","Pass"
"136","25","BradleyUniversity","HighPower",2,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"137","26","BradleyUniversity","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
