"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"278","10","IthacaCollege","HighPower",1,"18","First-year","Female","African-American","Pass"
"280","101","IthacaCollege","LowPower",2,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"281","102","IthacaCollege","HighPower",6,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"285","106","IthacaCollege","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"286","107","IthacaCollege","HighPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"288","109","IthacaCollege","HighPower",5,"19","Sophomore",NA,"White, non-Hispanic or latino","Fail"
"291","111","IthacaCollege","HighPower",4,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"292","112","IthacaCollege","LowPower",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"293","113","IthacaCollege","HighPower",3,"19","Sophomore","Female","Native American and Alaska Native","Pass"
"295","115","IthacaCollege","LowPower",5,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"298","118","IthacaCollege","HighPower",5,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"299","119","IthacaCollege","HighPower",5,"21","Junior","Male","White, non-Hispanic or latino","Pass"
"300","12","IthacaCollege","LowPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"302","121","IthacaCollege","LowPower",5,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"304","123","IthacaCollege","LowPower",3,"18","First-year","Female","Asian-American","Pass"
"309","128","IthacaCollege","HighPower",4,"19","Sophomore","Male","Multiracial","Pass"
"310","129","IthacaCollege","LowPower",2,"19","Sophomore","Female","Other","Fail"
"311","13","IthacaCollege","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"313","131","IthacaCollege","HighPower",6,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"314","132","IthacaCollege","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"319","16","IthacaCollege","HighPower",4,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"320","17","IthacaCollege","LowPower",4,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"321","18","IthacaCollege","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"323","20","IthacaCollege","HighPower",3,"18","First-year","Female","Asian-American","Pass"
"324","21","IthacaCollege","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"325","22","IthacaCollege","LowPower",4,"18","First-year","Female","Latino or Hispanic","Pass"
"326","23","IthacaCollege","HighPower",3,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"328","25","IthacaCollege","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"329","26","IthacaCollege","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"331","28","IthacaCollege","LowPower",5,"18","First-year","Female","Other","Fail"
"332","29","IthacaCollege","HighPower",4,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"333","30","IthacaCollege","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"334","31","IthacaCollege","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"335","32","IthacaCollege","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"336","33","IthacaCollege","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"338","35","IthacaCollege","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"339","36","IthacaCollege","LowPower",2,"20","Senior","Female","White, non-Hispanic or latino","Pass"
"340","37","IthacaCollege","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"341","38","IthacaCollege","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"342","39","IthacaCollege","HighPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"344","41","IthacaCollege","LowPower",5,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"345","42","IthacaCollege","HighPower",5,"19","Sophomore","Male","African-American","Pass"
"346","43","IthacaCollege","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"347","44","IthacaCollege","LowPower",2,NA,"First-year","Female","White, non-Hispanic or latino","Pass"
"348","45","IthacaCollege","HighPower",5,"18","First-year","Female","Asian-American","Pass"
"350","47","IthacaCollege","HighPower",5,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"352","49","IthacaCollege","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"353","50","IthacaCollege","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"354","51","IthacaCollege","LowPower",3,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"355","52","IthacaCollege","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"356","53","IthacaCollege","HighPower",6,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"357","54","IthacaCollege","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"359","56","IthacaCollege","HighPower",4,"21","Junior","Male","White, non-Hispanic or latino","Pass"
"361","58","IthacaCollege","HighPower",5,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"362","59","IthacaCollege","LowPower",3,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"364","61","IthacaCollege","HighPower",1,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"366","63","IthacaCollege","HighPower",6,"22","Sophomore","Female","White, non-Hispanic or latino","Pass"
"368","65","IthacaCollege","HighPower",5,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"371","68","IthacaCollege","LowPower",2,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"373","7","IthacaCollege","LowPower",5,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"374","70","IthacaCollege","LowPower",5,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"375","71","IthacaCollege","HighPower",6,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"376","72","IthacaCollege","HighPower",5,NA,"First-year","Male","White, non-Hispanic or latino","Fail"
"378","74","IthacaCollege","HighPower",5,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"381","77","IthacaCollege","HighPower",5,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"382","78","IthacaCollege","HighPower",3,"21","Sophomore","Male","White, non-Hispanic or latino","Fail"
"384","8","IthacaCollege","LowPower",5,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"386","81","IthacaCollege","LowPower",5,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"388","83","IthacaCollege","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"389","84","IthacaCollege","LowPower",4,"21","Senior","Male","White, non-Hispanic or latino","Pass"
"390","85","IthacaCollege","LowPower",5,"18","First-year","Male","African-American","Fail"
"391","86","IthacaCollege","HighPower",1,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"392","87","IthacaCollege","HighPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"396","90","IthacaCollege","HighPower",4,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"397","91","IthacaCollege","HighPower",4,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"398","92","IthacaCollege","HighPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"403","97","IthacaCollege","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"404","98","IthacaCollege","HighPower",2,"21","Senior","Female","Native American and Alaska Native","Pass"
"405","99","IthacaCollege","HighPower",1,"18","First-year","Female","Asian-American","Pass"
"406",NA,"IthacaCollege","LowPower",1,"18","First-year","Female","Latino or Hispanic","Pass"
"407",NA,"IthacaCollege","LowPower",5,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"408",NA,"IthacaCollege","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"409",NA,"IthacaCollege","LowPower",4,"18","First-year","Female","Other","Fail"
"410",NA,"IthacaCollege","LowPower",1,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"411",NA,"IthacaCollege","HighPower",3,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"412",NA,"IthacaCollege","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"414",NA,"IthacaCollege","LowPower",6,"20","Junior","Male","White, non-Hispanic or latino","Pass"
