"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"877","10","MontanaStateUniversity","LowPower",5,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"878","100","MontanaStateUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"879","101","MontanaStateUniversity","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"880","102","MontanaStateUniversity","LowPower",5,"23","Other","Female","White, non-Hispanic or latino","Fail"
"881","103","MontanaStateUniversity","LowPower",3,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"882","104","MontanaStateUniversity","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"883","105","MontanaStateUniversity","HighPower",6,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"884","106","MontanaStateUniversity","LowPower",5,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"885","107","MontanaStateUniversity","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"886","108","MontanaStateUniversity","HighPower",5,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"888","11","MontanaStateUniversity","HighPower",6,"18","First-year","Female","Latino or Hispanic","Pass"
"889","110","MontanaStateUniversity","LowPower",2,"18","First-year","Female","Asian-American","Fail"
"890","111","MontanaStateUniversity","LowPower",1,"18","First-year","Female","Native American and Alaska Native","Fail"
"891","112","MontanaStateUniversity","HighPower",4,"21","First-year","Male","White, non-Hispanic or latino","Fail"
"892","113","MontanaStateUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"893","114","MontanaStateUniversity","HighPower",5,"21","Sophomore","Male","White, non-Hispanic or latino","Fail"
"895","116","MontanaStateUniversity","LowPower",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"896","117","MontanaStateUniversity","LowPower",6,"22","Senior","Female","White, non-Hispanic or latino","Fail"
"897","118","MontanaStateUniversity","LowPower",5,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"898","119","MontanaStateUniversity","HighPower",2,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"899","12","MontanaStateUniversity","LowPower",6,"18","First-year","Female","African-American","Fail"
"900","120","MontanaStateUniversity","HighPower",4,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"901","121","MontanaStateUniversity","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino",NA
"902","122","MontanaStateUniversity","LowPower",6,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"904","124","MontanaStateUniversity","LowPower",2,"19","First-year","Female","Latino or Hispanic","Pass"
"905","125","MontanaStateUniversity","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"907","127","MontanaStateUniversity","LowPower",4,"18","First-year","Female","Asian-American","Fail"
"908","128","MontanaStateUniversity","LowPower",3,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"909","129","MontanaStateUniversity","LowPower",5,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"910","13","MontanaStateUniversity","HighPower",1,"22","First-year","Male","Other","Fail"
"911","130","MontanaStateUniversity","HighPower",1,"22","Junior","Male","White, non-Hispanic or latino","Pass"
"912","131","MontanaStateUniversity","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"913","132","MontanaStateUniversity","HighPower",4,"20","Sophomore","Female","Asian-American","Fail"
"917","14","MontanaStateUniversity","LowPower",1,"19","First-year","Female","Latino or Hispanic","Pass"
"918","15","MontanaStateUniversity","HighPower",2,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"919","16","MontanaStateUniversity","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"920","17","MontanaStateUniversity","LowPower",2,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"921","19","MontanaStateUniversity","HighPower",3,"18","First-year","Female","Asian-American","Pass"
"922","20","MontanaStateUniversity","HighPower",2,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"923","21","MontanaStateUniversity","LowPower",1,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"924","22","MontanaStateUniversity","LowPower",6,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"925","23","MontanaStateUniversity","HighPower",4,"19","Sophomore","Male","Other","Pass"
"926","24","MontanaStateUniversity","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"927","25","MontanaStateUniversity","HighPower",5,"18","First-year","Female","Native American and Alaska Native","Pass"
"928","26","MontanaStateUniversity","LowPower",4,"27","Other","Female",NA,"Pass"
