"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"2067","100","PacificLutheranUniversity","LowPower",4,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2068","101","PacificLutheranUniversity","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2069","102","PacificLutheranUniversity","HighPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2070","103","PacificLutheranUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2071","104","PacificLutheranUniversity","LowPower",4,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2073","107","PacificLutheranUniversity","HighPower",5,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2074","108","PacificLutheranUniversity","LowPower",2,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2075","109","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2076","11","PacificLutheranUniversity","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2077","110","PacificLutheranUniversity","LowPower",5,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2079","12","PacificLutheranUniversity","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2080","13","PacificLutheranUniversity","HighPower",6,"18","Other","Female","White, non-Hispanic or latino","Pass"
"2083","16","PacificLutheranUniversity","LowPower",3,"20","Junior","Female","White, non-Hispanic or latino","Fail"
"2084","17","PacificLutheranUniversity","LowPower",3,"18","First-year","Female","Asian-American","Pass"
"2085","18","PacificLutheranUniversity","LowPower",5,"18","First-year","Female","Multiracial","Fail"
"2086","19","PacificLutheranUniversity","HighPower",5,"20","Other","Female","White, non-Hispanic or latino","Fail"
"2087","20","PacificLutheranUniversity","HighPower",5,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"2088","21","PacificLutheranUniversity","LowPower",5,"20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2089","22","PacificLutheranUniversity","LowPower",4,"18","Other","Female","Asian-American","Pass"
"2090","23","PacificLutheranUniversity","LowPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2092","25","PacificLutheranUniversity","LowPower",4,"18","Sophomore","Female","Asian-American","Fail"
"2093","26","PacificLutheranUniversity","LowPower",2,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2094","27","PacificLutheranUniversity","LowPower",6,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2095","28","PacificLutheranUniversity","HighPower",3,"18","First-year","Female","Asian-American","Pass"
"2096","29","PacificLutheranUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2097","30","PacificLutheranUniversity","HighPower",3,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2098","31","PacificLutheranUniversity","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2099","32","PacificLutheranUniversity","HighPower",3,"19","Sophomore","Female","African-American","Pass"
"2101","34","PacificLutheranUniversity","LowPower",4,"18","First-year","Female","Multiracial","Pass"
"2102","35","PacificLutheranUniversity","HighPower",5,"18","First-year","Male","Multiracial","Pass"
"2104","37","PacificLutheranUniversity","HighPower",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2105","38","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2106","39","PacificLutheranUniversity","LowPower",4,"18","First-year","Female","African-American","Fail"
"2108","41","PacificLutheranUniversity","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2109","42","PacificLutheranUniversity","LowPower",5,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2110","43","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2111","44","PacificLutheranUniversity","HighPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2113","46","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","Asian-American","Pass"
"2114","47","PacificLutheranUniversity","HighPower",5,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2116","49","PacificLutheranUniversity","LowPower",3,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2117","50","PacificLutheranUniversity","HighPower",1,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2118","51","PacificLutheranUniversity","LowPower",5,"18","First-year","Male","Asian-American","Pass"
"2119","52","PacificLutheranUniversity","LowPower",6,"18","First-year","Female","African-American","Pass"
"2120","53","PacificLutheranUniversity","HighPower",1,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2121","54","PacificLutheranUniversity","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2122","55","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2123","56","PacificLutheranUniversity","HighPower",4,"18","First-year","Female","Asian-American","Pass"
"2124","57","PacificLutheranUniversity","LowPower",2,"18","First-year","Female","African-American","Fail"
"2125","58","PacificLutheranUniversity","LowPower",5,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2126","59","PacificLutheranUniversity","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2127","60","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","Asian-American","Pass"
"2128","61","PacificLutheranUniversity","HighPower",6,"22","Senior","Male","White, non-Hispanic or latino","Pass"
"2129","62","PacificLutheranUniversity","HighPower",5,"19","First-year","Male","White, non-Hispanic or latino","Pass"
"2130","63","PacificLutheranUniversity","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2131","64","PacificLutheranUniversity","LowPower",3,"21","Senior","Female","White, non-Hispanic or latino","Fail"
"2132","65","PacificLutheranUniversity","LowPower",3,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2133","66","PacificLutheranUniversity","LowPower",4,"19","First-year","Female","Asian-American","Fail"
"2134","67","PacificLutheranUniversity","LowPower",1,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"2135","68","PacificLutheranUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2136","69","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2137","7","PacificLutheranUniversity","LowPower",1,"17","First-year","Female","White, non-Hispanic or latino","Pass"
"2138","70","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","Native Hawaiian and other Pacific Islander","Pass"
"2139","71","PacificLutheranUniversity","HighPower",3,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2140","72","PacificLutheranUniversity","LowPower",2,"19","Sophomore","Male","White, non-Hispanic or latino","Fail"
"2141","73","PacificLutheranUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2142","74","PacificLutheranUniversity","LowPower",2,"17","First-year","Female","Latino or Hispanic","Pass"
"2143","75","PacificLutheranUniversity","LowPower",5,"19","Junior","Female","White, non-Hispanic or latino","Pass"
"2144","76","PacificLutheranUniversity","HighPower",3,"19","First-year","Male","White, non-Hispanic or latino","Fail"
"2145","77","PacificLutheranUniversity","HighPower",4,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2146","78","PacificLutheranUniversity","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2147","79","PacificLutheranUniversity","LowPower",3,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2148","8","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2149","80","PacificLutheranUniversity","LowPower",5,"18","First-year","Male","Asian-American","Pass"
"2150","81","PacificLutheranUniversity","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2151","82","PacificLutheranUniversity","LowPower",2,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2152","83","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","Multiracial","Pass"
"2153","84","PacificLutheranUniversity","HighPower",5,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2154","85","PacificLutheranUniversity","HighPower",5,"18","First-year","Female","Multiracial","Pass"
"2155","86","PacificLutheranUniversity","LowPower",4,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2156","87","PacificLutheranUniversity","LowPower",6,"18","First-year","Female","Latino or Hispanic","Fail"
"2157","88","PacificLutheranUniversity","LowPower",3,"18","First-year","Male","Latino or Hispanic","Pass"
"2158","89","PacificLutheranUniversity","HighPower",3,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2160","90","PacificLutheranUniversity","LowPower",6,"18","First-year","Male","Latino or Hispanic","Fail"
"2162","92","PacificLutheranUniversity","LowPower",4,"26","First-year","Male","Other","Fail"
"2163","93","PacificLutheranUniversity","HighPower",3,"18","First-year","Female","Asian-American","Fail"
"2164","94","PacificLutheranUniversity","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2166","96","PacificLutheranUniversity","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2167","97","PacificLutheranUniversity","LowPower",5,"20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2168","98","PacificLutheranUniversity","LowPower",1,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2169","99","PacificLutheranUniversity","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2170",NA,"PacificLutheranUniversity","LowPower",6,NA,NA,NA,NA,NA
"2172",NA,"PacificLutheranUniversity","HighPower",2,"43","Other","Male","White, non-Hispanic or latino","Pass"
"2173",NA,"PacificLutheranUniversity","LowPower",5,NA,NA,NA,NA,NA
"2174",NA,"PacificLutheranUniversity","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2175",NA,"PacificLutheranUniversity","HighPower",5,"19","Junior","Female","Asian-American","Pass"
"2178",NA,"PacificLutheranUniversity","LowPower",3,"19","First-year","Female","Native Hawaiian and other Pacific Islander","Pass"
