"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"2179","1","PennStateAbington","HighPower",5,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2180","10","PennStateAbington","LowPower",6,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2182","101","PennStateAbington","HighPower",2,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2184","103","PennStateAbington","HighPower",2,"22","Senior","Female","White, non-Hispanic or latino","Pass"
"2185","104","PennStateAbington","HighPower",3,"19","First-year","Female","Latino or Hispanic","Pass"
"2186","105","PennStateAbington","LowPower",3,"19","Sophomore","Female","Asian-American","Fail"
"2187","106","PennStateAbington","LowPower",3,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2188","107","PennStateAbington","LowPower",6,"19","Sophomore","Male","Asian-American","Pass"
"2189","108","PennStateAbington","HighPower",3,"22","Junior","Female","White, non-Hispanic or latino","Fail"
"2190","109","PennStateAbington","HighPower",6,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2193","111","PennStateAbington","LowPower",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2194","112","PennStateAbington","LowPower",1,"18","First-year","Female","Asian-American","Fail"
"2195","113","PennStateAbington","LowPower",6,"18","First-year","Female","Other","Fail"
"2200","118","PennStateAbington","LowPower",2,"19","First-year","Male","Other","Pass"
"2201","119","PennStateAbington","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2203","120","PennStateAbington","HighPower",4,"18","First-year","Male","White, non-Hispanic or latino","Fail"
"2204","121","PennStateAbington","LowPower",3,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2207","15","PennStateAbington","LowPower",1,"18","First-year","Female","African-American","Pass"
"2208","16","PennStateAbington","LowPower",4,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2211","2","PennStateAbington","HighPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2213","21","PennStateAbington","HighPower",6,"18","First-year","Male","Multiracial","Pass"
"2215","23","PennStateAbington","LowPower",2,"18","First-year","Female","Latino or Hispanic","Fail"
"2217","25","PennStateAbington","HighPower",4,"21","Junior","Female","White, non-Hispanic or latino","Fail"
"2218","26","PennStateAbington","HighPower",3,"21","Senior","Female","Multiracial","Pass"
"2219","27","PennStateAbington","HighPower",3,"17","First-year","Female","White, non-Hispanic or latino","Fail"
"2220","28","PennStateAbington","LowPower",3,"21","Junior","Male","African-American","Fail"
"2221","29","PennStateAbington","LowPower",5,"22","Sophomore","Male","African-American","Fail"
"2228","35","PennStateAbington","LowPower",4,"18","First-year","Female","African-American","Pass"
"2229","36","PennStateAbington","HighPower",2,"18","First-year","Female","African-American","Pass"
"2230","37","PennStateAbington","HighPower",3,"19","Sophomore","Female","Asian-American","Pass"
"2232","39","PennStateAbington","HighPower",1,"19","First-year","Female","African-American","Fail"
"2234","40","PennStateAbington","HighPower",2,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2237","43","PennStateAbington","LowPower",3,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2238","44","PennStateAbington","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2239","45","PennStateAbington","HighPower",3,"20","Junior","Male","Asian-American","Fail"
"2242","48","PennStateAbington","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2243","49","PennStateAbington","HighPower",6,"21","Junior","Female","Multiracial","Pass"
"2244","5","PennStateAbington","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2246","51","PennStateAbington","HighPower",1,"22","Junior","Female","African-American","Fail"
"2247","52","PennStateAbington","HighPower",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2248","53","PennStateAbington","HighPower",3,"21","Junior",NA,"African-American","Pass"
"2251","56","PennStateAbington","HighPower",2,"19","Sophomore","Female","African-American","Fail"
"2252","57","PennStateAbington","LowPower",2,"19","First-year","Female","White, non-Hispanic or latino","Pass"
"2253","58","PennStateAbington","LowPower",3,"21","Senior","Female","White, non-Hispanic or latino","Fail"
"2254","59","PennStateAbington","LowPower",5,"20","Sophomore","Female","Other","Fail"
"2255","6","PennStateAbington","LowPower",2,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2256","60","PennStateAbington","HighPower",3,"19","Sophomore","Male","African-American","Pass"
"2257","61","PennStateAbington","LowPower",1,"18","First-year","Female","Multiracial","Pass"
"2258","62","PennStateAbington","LowPower",4,"20","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2260","64","PennStateAbington","LowPower",6,"44","Other","Male","White, non-Hispanic or latino","Pass"
"2263","67","PennStateAbington","LowPower",4,"18","First-year","Female","Latino or Hispanic","Fail"
"2264","68","PennStateAbington","HighPower",2,"20","Sophomore","Female","Latino or Hispanic","Fail"
"2265","69","PennStateAbington","LowPower",4,"20","Sophomore","Female","Asian-American","Fail"
"2266","7","PennStateAbington","HighPower",3,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2267","70","PennStateAbington","HighPower",3,"21","Senior",NA,"Other","Pass"
"2269","72","PennStateAbington","LowPower",4,"46","Junior","Female","Other","Fail"
"2270","73","PennStateAbington","LowPower",5,"19","First-year","Male","African-American",NA
"2271","74","PennStateAbington","LowPower",1,"20","Sophomore","Female","Native Hawaiian and other Pacific Islander","Pass"
"2272","75","PennStateAbington","LowPower",5,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2274","77","PennStateAbington","LowPower",5,"19","Sophomore","Female","African-American","Pass"
"2275","78","PennStateAbington","LowPower",3,"19","Sophomore","Female","Asian-American","Fail"
