"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"2676","10","UCDavis","HighPower",4,"21","Senior","Male","Asian-American","Fail"
"2677","100","UCDavis","LowPower",5,"18","First-year","Female","Asian-American","Fail"
"2679","102","UCDavis","LowPower",4,"21","Senior","Female","Latino or Hispanic","Pass"
"2681","104","UCDavis","LowPower",3,"19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"2682","105","UCDavis","LowPower",3,"18","First-year","Female","Other","Pass"
"2683","106","UCDavis","HighPower",3,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2684","107","UCDavis","LowPower",1,"20","Junior","Female","Other","Fail"
"2685","108","UCDavis","HighPower",5,"25","Senior","Male","Other","Fail"
"2686","109","UCDavis","LowPower",5,"21","Senior","Female","White, non-Hispanic or latino","Pass"
"2688","110","UCDavis","LowPower",2,"19","Sophomore","Female","Asian-American","Pass"
"2689","111","UCDavis","LowPower",5,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2690","112","UCDavis","LowPower",1,"22","Junior","Male","Latino or Hispanic","Fail"
"2691","113","UCDavis","LowPower",2,"23","Senior","Male","White, non-Hispanic or latino","Fail"
"2692","114","UCDavis","HighPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2693","115","UCDavis","LowPower",5,"19","Sophomore","Male","Native American and Alaska Native","Pass"
"2694","116","UCDavis","HighPower",3,"19","Sophomore","Male","Asian-American","Pass"
"2695","117","UCDavis","LowPower",5,"19","Sophomore","Female","Asian-American","Fail"
"2696","118","UCDavis","HighPower",5,"21","Junior","Female","Native Hawaiian and other Pacific Islander","Pass"
"2697","119","UCDavis","HighPower",3,"19","Sophomore","Female","Asian-American","Pass"
"2698","12","UCDavis","LowPower",3,"50","Junior","Female","Other","Pass"
"2699","120","UCDavis","LowPower",6,"18","First-year","Female","Multiracial","Pass"
"2700","13","UCDavis","HighPower",5,"18","First-year","Female","Multiracial","Pass"
"2702","15","UCDavis","HighPower",2,"18","First-year","Female","Asian-American","Fail"
"2703","16","UCDavis","HighPower",5,"19","Sophomore","Female","Asian-American","Pass"
"2704","17","UCDavis","LowPower",1,"18","First-year","Female","Other","Fail"
"2706","19","UCDavis","HighPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2708","20","UCDavis","LowPower",6,"19","Sophomore","Female","Multiracial","Pass"
"2709","21","UCDavis","LowPower",5,"20","Junior","Female","Multiracial","Fail"
"2710","22","UCDavis","LowPower",6,"19","Sophomore","Female","Asian-American","Fail"
"2711","23","UCDavis","LowPower",5,"20","Junior","Female","Multiracial","Pass"
"2712","24","UCDavis","HighPower",3,"20","Junior","Female","Asian-American","Pass"
"2713","247712","UCDavis","LowPower",3,NA,"Senior","Male","Asian-American","Fail"
"2716","27","UCDavis","LowPower",3,"19","Sophomore","Male","Asian-American","Fail"
"2717","28","UCDavis","LowPower",5,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2718","29","UCDavis","HighPower",1,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2720","30","UCDavis","LowPower",5,"18","Junior","Female","Asian-American","Fail"
"2722","32","UCDavis","HighPower",5,"26","Junior","Male","Latino or Hispanic","Pass"
"2723","33","UCDavis","HighPower",3,"20","Junior","Female","Other","Fail"
"2724","34","UCDavis","LowPower",2,"22","Other","Female","Multiracial","Pass"
"2725","35","UCDavis","LowPower",5,"31","Senior","Female","White, non-Hispanic or latino","Pass"
"2726","36","UCDavis","LowPower",5,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"2727","37","UCDavis","HighPower",4,"18","First-year","Male","Asian-American","Fail"
"2728","38","UCDavis","LowPower",2,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2729","39","UCDavis","HighPower",2,"19","Sophomore","Male","Latino or Hispanic","Fail"
"2731","40","UCDavis","LowPower",1,"20","Sophomore","Female","Latino or Hispanic","Pass"
"2732","41","UCDavis","LowPower",4,"21","Senior","Male","Asian-American","Fail"
"2733","42","UCDavis","HighPower",1,"19","Sophomore","Female","Other","Fail"
"2734","43","UCDavis","LowPower",3,"24","Senior","Female","Other","Fail"
"2735","44","UCDavis","HighPower",3,"23","Senior","Male","Asian-American","Fail"
"2737","46","UCDavis","LowPower",1,"19","First-year","Female","Latino or Hispanic","Pass"
"2738","47","UCDavis","LowPower",5,"18","First-year","Female","Asian-American","Pass"
"2739","48","UCDavis","LowPower",3,"19","Sophomore","Male","Multiracial","Pass"
"2740","49","UCDavis","HighPower",5,"20","Senior","Male","Asian-American",NA
"2743","51","UCDavis","LowPower",6,"20","Junior","Female","White, non-Hispanic or latino","Pass"
"2744","52","UCDavis","HighPower",2,"18","First-year","Male","Asian-American","Fail"
"2745","53","UCDavis","HighPower",2,"20","Junior","Female","Other","Pass"
"2746","54","UCDavis","HighPower",1,"19","Junior","Male","Latino or Hispanic","Pass"
"2747","55","UCDavis","HighPower",2,"18","First-year","Female","Latino or Hispanic","Fail"
"2748","56","UCDavis","HighPower",3,"19","Junior","Female","Latino or Hispanic","Pass"
"2749","57","UCDavis","HighPower",5,"19","Sophomore","Female","Asian-American","Pass"
"2750","58","UCDavis","LowPower",2,"20","Junior","Male","White, non-Hispanic or latino","Pass"
"2751","59","UCDavis","LowPower",6,"19","Sophomore","Female","Asian-American","Fail"
"2753","60","UCDavis","HighPower",5,"18","First-year","Female","Multiracial","Pass"
"2754","61","UCDavis","LowPower",6,"21","Junior","Male","Asian-American","Fail"
"2755","62","UCDavis","HighPower",2,"21","Junior","Female","Asian-American","Pass"
"2756","63","UCDavis","LowPower",1,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2758","65","UCDavis","LowPower",4,"18","First-year","Female","Multiracial","Pass"
"2759","66","UCDavis","LowPower",4,"21","Senior","Female","Latino or Hispanic","Fail"
"2762","69","UCDavis","HighPower",3,"22","Senior","Female","Other","Fail"
