"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"2815","10","UCRiverside","HighPower",2,"23","Junior","Female","Asian-American","Pass"
"2816","100","UCRiverside","LowPower",5,"18","First-year","Male","Asian-American","Fail"
"2817","101","UCRiverside","HighPower",4,"21","Senior","Male","Asian-American","Fail"
"2818","102","UCRiverside","HighPower",3,"19","Sophomore","Female","Asian-American","Pass"
"2819","103","UCRiverside","LowPower",3,"18","First-year","Female","Asian-American","Fail"
"2820","104","UCRiverside","HighPower",3,"20","Junior","Female","Asian-American","Pass"
"2821","105","UCRiverside","HighPower",3,"22","Senior","Female","Asian-American","Pass"
"2822","106","UCRiverside","LowPower",2,"20","Junior","Female","Asian-American","Pass"
"2823","107","UCRiverside","HighPower",1,"18","First-year","Female","Other","Pass"
"2825","109","UCRiverside","LowPower",5,"19","Sophomore","Female","Multiracial","Fail"
"2826","11","UCRiverside","HighPower",5,"21","Junior","Female","Multiracial","Pass"
"2829","112","UCRiverside","LowPower",5,"18","First-year","Female","Asian-American","Pass"
"2830","113","UCRiverside","LowPower",1,"21","Junior","Female","Asian-American","Fail"
"2831","114","UCRiverside","LowPower",1,"19","First-year","Female","White, non-Hispanic or latino","Fail"
"2832","115","UCRiverside","HighPower",6,"19","Sophomore","Male","Asian-American","Pass"
"2834","117","UCRiverside","HighPower",3,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2835","118","UCRiverside","HighPower",4,"19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"2836","119","UCRiverside","LowPower",5,"18","Sophomore","Male","Latino or Hispanic","Pass"
"2837","12","UCRiverside","LowPower",4,"18","First-year","Female","Asian-American","Fail"
"2838","120","UCRiverside","HighPower",3,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2839","121","UCRiverside","LowPower",1,"18","First-year","Female","Latino or Hispanic","Pass"
"2840","122","UCRiverside","HighPower",3,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2841","123","UCRiverside","HighPower",3,"20","Junior","Female","Asian-American","Fail"
"2842","124","UCRiverside","LowPower",5,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2843","125","UCRiverside","LowPower",3,"18","First-year","Male","Latino or Hispanic","Pass"
"2844","126","UCRiverside","LowPower",6,"18","First-year","Female","White, non-Hispanic or latino","Pass"
"2845","127","UCRiverside","HighPower",2,"18","First-year","Female","Asian-American","Pass"
"2846","128","UCRiverside","HighPower",4,NA,"Junior","Female","White, non-Hispanic or latino","Pass"
"2847","129","UCRiverside","HighPower",5,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2848","13","UCRiverside","LowPower",5,"18","First-year","Female","Latino or Hispanic","Pass"
"2849","130","UCRiverside","HighPower",6,"20","Junior","Male","Asian-American","Pass"
"2851","132","UCRiverside","HighPower",2,"18","First-year","Female","Latino or Hispanic","Pass"
"2852","133","UCRiverside","LowPower",1,"17","First-year","Female","African-American","Pass"
"2853","134","UCRiverside","LowPower",2,"21","Junior","Female","Latino or Hispanic","Pass"
"2854","135","UCRiverside","HighPower",4,"17","First-year","Female","Latino or Hispanic","Fail"
"2855","136","UCRiverside","HighPower",3,"20","Junior","Female","Asian-American","Pass"
"2856","137","UCRiverside","HighPower",3,"20","Senior","Female","Asian-American","Pass"
"2857","138","UCRiverside","HighPower",4,"21","Senior","Female","Asian-American","Fail"
"2858","139","UCRiverside","HighPower",3,"20","Junior","Male","African-American","Pass"
"2860","140","UCRiverside","LowPower",1,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2861","141","UCRiverside","LowPower",3,"18","First-year","Female","Asian-American","Pass"
"2862","142","UCRiverside","HighPower",1,"19","First-year","Female","Other","Fail"
"2863","143","UCRiverside","LowPower",6,"22","Junior","Female","Other","Pass"
"2864","144","UCRiverside","HighPower",6,"22","Junior","Female","Latino or Hispanic","Fail"
"2865","145","UCRiverside","HighPower",4,"19","First-year","Female","African-American","Pass"
"2866","146","UCRiverside","HighPower",5,"23","Other","Male","Other","Pass"
"2867","147","UCRiverside","LowPower",2,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2868","148","UCRiverside","HighPower",3,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2869","149","UCRiverside","LowPower",2,"19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"2871","150","UCRiverside","HighPower",5,"21","Junior","Female","Latino or Hispanic","Pass"
"2872","151","UCRiverside","LowPower",5,"18","First-year","Female","African-American","Pass"
"2873","152","UCRiverside","LowPower",5,"22","Junior","Female","Other","Fail"
"2875","154","UCRiverside","HighPower",3,"18","First-year","Female","African-American","Pass"
"2876","155","UCRiverside","LowPower",3,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2877","156","UCRiverside","LowPower",5,"19","Sophomore","Female","Asian-American","Pass"
"2878","157","UCRiverside","LowPower",4,"18","First-year","Female","Asian-American","Fail"
"2879","158","UCRiverside","LowPower",5,"18","First-year","Female","Other","Pass"
"2880","159","UCRiverside","LowPower",1,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2881","16","UCRiverside","HighPower",1,"20","Junior","Female","Asian-American","Fail"
"2882","160","UCRiverside","HighPower",4,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2883","161","UCRiverside","LowPower",1,"22","Senior","Female","Latino or Hispanic","Fail"
"2884","162","UCRiverside","HighPower",5,"18","First-year","Female","Latino or Hispanic","Pass"
"2885","163","UCRiverside","HighPower",3,"22","Senior","Male","Asian-American","Fail"
"2886","164","UCRiverside","HighPower",2,"20","Sophomore","Female","Latino or Hispanic","Pass"
"2887","165","UCRiverside","HighPower",2,"24","Senior","Female","Other","Fail"
"2888","166","UCRiverside","LowPower",3,"18","First-year","Female","Asian-American","Fail"
"2889","167","UCRiverside","LowPower",5,"18","First-year","Female","Asian-American","Pass"
"2891","169","UCRiverside","LowPower",4,"19","First-year","Female","Asian-American","Pass"
"2892","17","UCRiverside","HighPower",3,"24","Junior","Female","Latino or Hispanic","Pass"
"2894","171","UCRiverside","LowPower",1,"20","Junior","Female","Other","Fail"
"2895","172","UCRiverside","HighPower",5,"21","Other","Female","Asian-American","Fail"
"2896","173","UCRiverside","LowPower",4,"18","First-year","Female","Asian-American","Pass"
"2897","174","UCRiverside","HighPower",4,"18","First-year","Female","White, non-Hispanic or latino","Fail"
"2898","175","UCRiverside","HighPower",5,"25","Junior","Female","Latino or Hispanic","Pass"
"2899","176","UCRiverside","LowPower",5,"20","Junior","Male","Asian-American","Pass"
"2900","177","UCRiverside","HighPower",2,"19","First-year","Female","Asian-American","Fail"
"2901","178","UCRiverside","HighPower",2,"21","Junior","Male","Asian-American","Pass"
"2902","179","UCRiverside","HighPower",1,"18","First-year","Female","Asian-American","Pass"
"2903","18","UCRiverside","HighPower",1,"18","First-year","Female","Asian-American","Pass"
"2904","180","UCRiverside","LowPower",2,"20","Junior","Female","Asian-American","Fail"
"2905","181","UCRiverside","LowPower",5,"19","Sophomore","Female","Asian-American","Pass"
"2906","182","UCRiverside","HighPower",2,"18","First-year","Female","African-American","Pass"
"2907","183","UCRiverside","LowPower",2,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2908","184","UCRiverside","LowPower",2,"18","First-year","Female","Asian-American","Pass"
"2909","185","UCRiverside","LowPower",6,"21","Junior","Female","Latino or Hispanic","Pass"
"2910","186","UCRiverside","HighPower",2,"19","Sophomore","Male","Asian-American","Pass"
"2911","187","UCRiverside","LowPower",3,"18","First-year","Female","Other","Fail"
"2912","188","UCRiverside","LowPower",2,"22","Senior","Male","Multiracial","Pass"
"2913","189","UCRiverside","LowPower",1,"26","Junior","Male","White, non-Hispanic or latino","Pass"
"2915","190","UCRiverside","LowPower",2,"19","Sophomore","Male","Asian-American","Fail"
"2916","191","UCRiverside","HighPower",6,"21","Junior","Male","Latino or Hispanic","Fail"
"2917","192","UCRiverside","HighPower",3,"19","Sophomore","Female","Asian-American","Fail"
"2918","193","UCRiverside","LowPower",6,"18","First-year","Female","Asian-American","Fail"
"2919","194","UCRiverside","HighPower",3,"18","First-year","Female","Asian-American","Pass"
"2920","195","UCRiverside","LowPower",1,"18","Sophomore","Female","Asian-American","Fail"
"2921","196","UCRiverside","LowPower",6,"18","First-year","Male","Multiracial","Pass"
"2923","198","UCRiverside","LowPower",4,"21","Junior","Female","White, non-Hispanic or latino","Pass"
"2925","20","UCRiverside","HighPower",2,"18","First-year","Female","Latino or Hispanic","Pass"
"2926","200","UCRiverside","LowPower",3,"19","Sophomore","Male","Asian-American","Pass"
"2927","201","UCRiverside","LowPower",2,"42","First-year","Female","White, non-Hispanic or latino",NA
"2928","202","UCRiverside","HighPower",6,"18","First-year","Female","Latino or Hispanic","Pass"
"2929","203","UCRiverside","HighPower",3,"18","First-year","Male","Other","Pass"
"2930","204","UCRiverside","LowPower",4,"19","Sophomore","Female","Latino or Hispanic","Fail"
"2931","205","UCRiverside","HighPower",4,"21","Junior","Female","Multiracial","Pass"
"2933","207","UCRiverside","LowPower",5,"19","Junior","Male","Asian-American","Pass"
"2935","209","UCRiverside","LowPower",6,"18","First-year","Male","Asian-American","Pass"
"2936","21","UCRiverside","LowPower",2,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2937","210","UCRiverside","LowPower",5,"19","Sophomore","Female","Other","Fail"
"2938","211","UCRiverside","HighPower",5,"18","First-year","Female","Latino or Hispanic","Pass"
"2939","212","UCRiverside","HighPower",3,"18","First-year","Female","Latino or Hispanic","Pass"
"2940","213","UCRiverside","LowPower",1,"22","Junior","Male","Latino or Hispanic","Fail"
"2941","214","UCRiverside","LowPower",2,"19","Sophomore","Male","Asian-American","Fail"
"2942","215","UCRiverside","LowPower",5,"19","Sophomore","Female","Asian-American","Pass"
"2943","216","UCRiverside","HighPower",5,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2944","217","UCRiverside","LowPower",6,"20","Junior","Male","Asian-American","Pass"
"2945","218","UCRiverside","HighPower",5,"19","Sophomore","Female","Asian-American","Pass"
"2946","219","UCRiverside","LowPower",5,"20","Junior","Male","Asian-American","Pass"
"2947","22","UCRiverside","LowPower",2,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2948","220","UCRiverside","LowPower",5,"24","Senior","Male","White, non-Hispanic or latino","Fail"
"2949","221","UCRiverside","HighPower",5,"18","First-year","Male","Asian-American","Pass"
"2951","223","UCRiverside","HighPower",6,"19","Sophomore","Female","Asian-American","Fail"
"2952","224","UCRiverside","HighPower",6,"19","Sophomore","Male","Latino or Hispanic","Pass"
"2953","225","UCRiverside","HighPower",1,"18","Sophomore","Male","Latino or Hispanic","Pass"
"2954","226","UCRiverside","LowPower",6,"18","First-year","Female","Asian-American","Pass"
"2955","227","UCRiverside","HighPower",3,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2957","229","UCRiverside","LowPower",3,"19","Sophomore","Male","Asian-American","Pass"
"2958","23","UCRiverside","LowPower",5,"24","Junior","Male","Asian-American","Pass"
"2959","230","UCRiverside","LowPower",1,"19","First-year","Male","Asian-American","Fail"
"2960","231","UCRiverside","HighPower",4,"21","Junior","Male","Latino or Hispanic","Pass"
"2961","232","UCRiverside","LowPower",5,"19","Sophomore","Male","Asian-American","Pass"
"2962","233","UCRiverside","HighPower",5,"18","First-year","Female","African-American","Fail"
"2963","234","UCRiverside","HighPower",3,"20","Junior","Female","Latino or Hispanic","Pass"
"2964","235","UCRiverside","LowPower",2,"21","Senior","Male","Asian-American","Pass"
"2965","236","UCRiverside","LowPower",4,"20","Junior","Female","Asian-American","Fail"
"2966","237","UCRiverside","LowPower",5,"21","Senior","Female","Latino or Hispanic","Pass"
"2968","239","UCRiverside","HighPower",3,"19","Sophomore","Female","Latino or Hispanic","Pass"
"2969","24","UCRiverside","LowPower",1,"18","First-year","Male","Asian-American","Pass"
"2970","240","UCRiverside","LowPower",6,"18","First-year","Female","Latino or Hispanic","Fail"
"2971","241","UCRiverside","LowPower",5,"20","Junior","Female","Latino or Hispanic","Pass"
"2972","242","UCRiverside","HighPower",2,"18","First-year","Male","African-American","Pass"
"2973","243","UCRiverside","LowPower",5,"18","First-year","Male","Latino or Hispanic","Fail"
"2974","244","UCRiverside","LowPower",3,"21","Senior","Male","White, non-Hispanic or latino","Fail"
"2975","245","UCRiverside","LowPower",2,"19","Sophomore","Male","Asian-American","Pass"
"2976","246","UCRiverside","HighPower",3,"18","First-year","Male","White, non-Hispanic or latino","Pass"
"2977","247","UCRiverside","HighPower",3,"18","First-year","Female","Latino or Hispanic","Fail"
"2978","248","UCRiverside","HighPower",3,"18","First-year","Female","Asian-American","Fail"
"2979","249","UCRiverside","LowPower",2,"18","First-year","Male","Asian-American","Pass"
"2980","25","UCRiverside","LowPower",3,"19","Sophomore","Male","Asian-American","Fail"
"2981","26","UCRiverside","LowPower",5,"21","Junior","Female","Latino or Hispanic","Pass"
"2982","27","UCRiverside","LowPower",5,"19","Sophomore","Female","Asian-American","Pass"
