"","Participant_ID","referrer","PowerCond","Sincerity","age","year","Genderfactor","ethnicity","AttentionCheck"
"1020","10","mTurk","HighPower",3,NA,NA,NA,NA,NA
"1021","100","mTurk","HighPower",4,"52","First-year","Male","Asian-American","Pass"
"1023","102","mTurk","LowPower",2,"27","Other","Male","White, non-Hispanic or latino","Pass"
"1025","104","mTurk","HighPower",2,"30",NA,"Female","White, non-Hispanic or latino","Pass"
"1026","105","mTurk","LowPower",2,"29","Other","Male","Asian-American","Pass"
"1027","106","mTurk","LowPower",2,"23","Senior","Male","Other","Pass"
"1028","107","mTurk","LowPower",5,"42","Other","Female","Other","Pass"
"1029","108","mTurk","LowPower",5,"50","Other","Female","White, non-Hispanic or latino","Pass"
"1030","109","mTurk","LowPower",3,"31","Other","Male","White, non-Hispanic or latino","Pass"
"1032","110","mTurk","LowPower",5,"62","Other","Female","White, non-Hispanic or latino","Pass"
"1033","111","mTurk","LowPower",3,"35","Other","Female","White, non-Hispanic or latino","Pass"
"1034","112","mTurk","LowPower",1,"24","Other","Male","White, non-Hispanic or latino","Fail"
"1035","113","mTurk","LowPower",4,"46",NA,"Female","African-American","Pass"
"1036","114","mTurk","LowPower",1,"51","Other","Female","White, non-Hispanic or latino","Pass"
"1037","115","mTurk","HighPower",1,"46","Other","Female","White, non-Hispanic or latino","Pass"
"1038","116","mTurk","HighPower",3,"53",NA,"Female","White, non-Hispanic or latino","Pass"
"1040","118","mTurk","HighPower",5,"33","Other","Male","White, non-Hispanic or latino","Fail"
"1041","119","mTurk","LowPower",5,"30",NA,"Male","White, non-Hispanic or latino","Pass"
"1043","120","mTurk","HighPower",5,"24",NA,"Female","White, non-Hispanic or latino","Pass"
"1044","121","mTurk","LowPower",6,"51","Other","Female","White, non-Hispanic or latino","Pass"
"1045","122","mTurk","HighPower",4,"27","Other","Male","White, non-Hispanic or latino","Pass"
"1046","123","mTurk","HighPower",5,"35","Other","Female","White, non-Hispanic or latino","Pass"
"1047","124","mTurk","HighPower",4,"33","Other","Male","Other","Pass"
"1048","125","mTurk","LowPower",5,"34","Other","Female","White, non-Hispanic or latino","Pass"
"1049","126","mTurk","LowPower",2,"47","Junior","Female","White, non-Hispanic or latino","Pass"
"1050","127","mTurk","LowPower",4,"26",NA,"Male","White, non-Hispanic or latino","Pass"
"1052","129","mTurk","LowPower",5,"30","Other","Female","White, non-Hispanic or latino","Pass"
"1054","130","mTurk","HighPower",5,"26",NA,"Male","Asian-American","Pass"
"1055","131","mTurk","LowPower",3,NA,NA,NA,NA,NA
"1056","132","mTurk","LowPower",2,NA,NA,NA,NA,"Fail"
"1057","133","mTurk","HighPower",2,"26","Other","Female","Asian-American","Pass"
"1058","134","mTurk","LowPower",3,"23",NA,"Female","White, non-Hispanic or latino","Pass"
"1060","136","mTurk","HighPower",2,"33","Other","Male","White, non-Hispanic or latino","Pass"
"1061","137","mTurk","HighPower",2,NA,NA,NA,NA,NA
"1062","138","mTurk","LowPower",3,"27",NA,"Female","White, non-Hispanic or latino","Pass"
"1063","139","mTurk","LowPower",4,"53","Other","Female","White, non-Hispanic or latino","Pass"
"1064","14","mTurk","LowPower",1,NA,NA,NA,NA,"Pass"
"1065","140","mTurk","LowPower",6,"58","Other","Female","White, non-Hispanic or latino","Pass"
"1066","141","mTurk","LowPower",2,"29","Other","Female","White, non-Hispanic or latino","Pass"
"1067","142","mTurk","LowPower",5,"42",NA,"Male","White, non-Hispanic or latino","Pass"
"1068","143","mTurk","LowPower",5,"36","Other","Male","White, non-Hispanic or latino","Pass"
"1069","144","mTurk","HighPower",6,"24","Junior","Male","White, non-Hispanic or latino","Pass"
"1070","145","mTurk","HighPower",4,"36","Senior","Male","African-American","Pass"
"1071","146","mTurk","LowPower",3,"44","Junior","Female","African-American","Pass"
"1072","147","mTurk","LowPower",3,"32",NA,"Female","Asian-American","Pass"
"1073","148","mTurk","LowPower",4,"31","Other","Female","White, non-Hispanic or latino","Pass"
"1076","150","mTurk","HighPower",1,"56","Other","Male","African-American","Pass"
"1079","153","mTurk","HighPower",2,"54",NA,"Female","White, non-Hispanic or latino","Fail"
"1080","154","mTurk","LowPower",3,"60","Other","Female","White, non-Hispanic or latino","Pass"
"1082","156","mTurk","HighPower",5,"27","Other","Female","White, non-Hispanic or latino","Pass"
"1083","157","mTurk","HighPower",2,"27","Other","Female","African-American","Pass"
"1084","158","mTurk","LowPower",5,"29",NA,"Female","White, non-Hispanic or latino","Pass"
"1085","159","mTurk","LowPower",2,"29","Other","Male","Latino or Hispanic","Pass"
"1086","16","mTurk","HighPower",2,"50","Other","Female","White, non-Hispanic or latino","Pass"
"1087","160","mTurk","HighPower",4,NA,NA,NA,NA,NA
"1088","161","mTurk","LowPower",5,"26","Other","Male","White, non-Hispanic or latino","Pass"
"1089","162","mTurk","HighPower",1,"34","Other","Female","African-American","Pass"
"1090","163","mTurk","LowPower",3,"50",NA,"Female","White, non-Hispanic or latino","Pass"
"1091","164","mTurk","LowPower",5,"32","Other","Female","White, non-Hispanic or latino","Pass"
"1092","165","mTurk","HighPower",4,"24","Other","Female","White, non-Hispanic or latino","Pass"
"1093","166","mTurk","HighPower",5,"35","Other","Male","White, non-Hispanic or latino","Pass"
"1095","168","mTurk","HighPower",5,NA,NA,NA,NA,NA
"1097","17","mTurk","LowPower",2,"35","Other","Male","White, non-Hispanic or latino","Pass"
"1098","170","mTurk","LowPower",4,"38","Other","Male","African-American","Pass"
"1099","171","mTurk","LowPower",1,"22","Other","Male","White, non-Hispanic or latino","Pass"
"1102","174","mTurk","LowPower",5,"30","Other","Female","White, non-Hispanic or latino","Pass"
"1104","176","mTurk","LowPower",5,"35",NA,"Female","White, non-Hispanic or latino","Pass"
"1106","178","mTurk","HighPower",2,"26","Other","Female","White, non-Hispanic or latino","Pass"
"1107","179","mTurk","HighPower",5,"53","Other","Female","White, non-Hispanic or latino","Pass"
"1108","18","mTurk","HighPower",5,"63","Other","Female","White, non-Hispanic or latino","Pass"
"1110","181","mTurk","LowPower",3,"46",NA,"Female","White, non-Hispanic or latino","Pass"
"1111","182","mTurk","LowPower",4,"27","Other","Male","White, non-Hispanic or latino","Pass"
"1112","183","mTurk","LowPower",4,"35","Other","Female","White, non-Hispanic or latino","Pass"
"1113","184","mTurk","LowPower",5,"61","Other","Female","White, non-Hispanic or latino","Pass"
"1114","185","mTurk","HighPower",4,"41","Other","Male","White, non-Hispanic or latino","Pass"
"1115","186","mTurk","HighPower",3,"33","Other","Female","White, non-Hispanic or latino","Pass"
"1116","187","mTurk","HighPower",5,"59",NA,"Male","White, non-Hispanic or latino","Pass"
"1117","188","mTurk","LowPower",3,"27","Senior","Male","African-American","Pass"
"1118","189","mTurk","LowPower",6,"31",NA,"Male","Asian-American","Pass"
"1120","190","mTurk","LowPower",6,"53",NA,"Female","African-American","Pass"
"1121","191","mTurk","HighPower",6,"28","Other","Male","White, non-Hispanic or latino","Pass"
"1123","193","mTurk","LowPower",5,"37","Other","Male","White, non-Hispanic or latino","Pass"
"1124","194","mTurk","HighPower",5,NA,NA,NA,NA,NA
"1125","195","mTurk","LowPower",1,"21","Sophomore","Male","African-American","Pass"
"1126","196","mTurk","HighPower",1,"22","Other","Female","African-American","Pass"
"1127","197","mTurk","LowPower",1,"25","Other","Male","African-American","Pass"
"1128","198","mTurk","LowPower",5,"38","Other","Male","White, non-Hispanic or latino","Pass"
"1130","2","mTurk","HighPower",5,"50","Other","Male","White, non-Hispanic or latino","Pass"
"1131","20","mTurk","LowPower",4,"22",NA,"Female","White, non-Hispanic or latino","Pass"
"1132","200","mTurk","LowPower",3,"23","Senior","Male","White, non-Hispanic or latino","Pass"
"1133","201","mTurk","HighPower",5,"22","First-year","Male","White, non-Hispanic or latino","Pass"
"1134","202","mTurk","LowPower",5,"39","Other","Female","Latino or Hispanic","Pass"
"1135","203","mTurk","HighPower",5,"27","Other","Female","African-American","Pass"
"1136","204","mTurk","LowPower",2,"36","Other","Male","White, non-Hispanic or latino","Pass"
"1137","205","mTurk","LowPower",6,"31",NA,"Female","White, non-Hispanic or latino","Pass"
"1138","206","mTurk","HighPower",3,"32","Other","Male","White, non-Hispanic or latino","Pass"
"1139","207","mTurk","LowPower",5,"36","Other","Male","White, non-Hispanic or latino","Pass"
"1140","208","mTurk","HighPower",5,"33","Other","Male","White, non-Hispanic or latino","Pass"
"1141","209","mTurk","HighPower",6,"57","Other","Female","White, non-Hispanic or latino","Pass"
"1143","210","mTurk","LowPower",4,"43","Other","Male","Asian-American","Pass"
"1144","211","mTurk","LowPower",6,"40",NA,"Male","White, non-Hispanic or latino","Pass"
"1145","212","mTurk","LowPower",6,"35","Sophomore","Female","White, non-Hispanic or latino","Pass"
