"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck","Temperatureinlab"
"4","13","AshlandUniversity","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Pass",74
"5","14","AshlandUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass",72
"6","15","AshlandUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",73
"7","16","AshlandUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",73
"10","19","AshlandUniversity","Agentic",76,"18","First-year","Female","White, non-Hispanic or latino","Pass",73
"11","20","AshlandUniversity","Communal",78,"19","First-year","Male","White, non-Hispanic or latino","Pass",74
"13","22","AshlandUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",75
"14","23","AshlandUniversity","Agentic",65,"19","First-year","Female","White, non-Hispanic or latino","Pass",75
"15","24","AshlandUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass",75
"18","27","AshlandUniversity","Agentic",68,"20","Sophomore","Female","White, non-Hispanic or latino","Pass",71
"19","28","AshlandUniversity","Communal",74,"21",NA,"Female",NA,"Pass",72
"20","29","AshlandUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",72
"21","30","AshlandUniversity","Agentic",72,"18","First-year","Male","White, non-Hispanic or latino","Pass",72
"24","33","AshlandUniversity","Agentic",60,"18","Sophomore","Female","White, non-Hispanic or latino","Fail",70
"25","34","AshlandUniversity","Communal",75,"19","First-year","Female","White, non-Hispanic or latino","Pass",71
"26","35","AshlandUniversity","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Fail",72
"27","36","AshlandUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",69
"28","37","AshlandUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Fail",69
"29","38","AshlandUniversity","Agentic",69,"18","First-year","Female","White, non-Hispanic or latino","Pass",69
"30","39","AshlandUniversity","Communal",70,NA,"Sophomore",NA,"White, non-Hispanic or latino","Pass",69
"31","40","AshlandUniversity","Agentic",75,"18","First-year","Female","White, non-Hispanic or latino","Pass",69
"32","41","AshlandUniversity","Agentic",70,"18","Sophomore","Male","White, non-Hispanic or latino","Pass",69
"33","42","AshlandUniversity","Communal",69,"18","First-year","Female","White, non-Hispanic or latino","Pass",69
"34","43","AshlandUniversity","Agentic",70,"20","Junior","Female","Other","Pass",70
"35","44","AshlandUniversity","Communal",73,"18","First-year","Female","Asian-American","Fail",70
"36","45","AshlandUniversity","Communal",60,"18","First-year","Female","White, non-Hispanic or latino","Pass",70
"37","46","AshlandUniversity","Communal",73,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",70
"38","47","AshlandUniversity","Communal",68,"18","First-year","Female","White, non-Hispanic or latino","Fail",70
"39","48","AshlandUniversity","Agentic",65,"18","First-year","Female","White, non-Hispanic or latino","Pass",67
"40","49","AshlandUniversity","Communal",63,"18","First-year","Male","White, non-Hispanic or latino","Pass",67
"41","50","AshlandUniversity","Communal",67,"20","Senior","Female","White, non-Hispanic or latino","Fail",67
"42","51","AshlandUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",67
"43","52","AshlandUniversity","Communal",72,"18","First-year","Male","White, non-Hispanic or latino","Fail",67
"44","53","AshlandUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",67
