"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck","Temperatureinlab"
"2067","100","PacificLutheranUniversity","Agentic",60,"19","First-year","Female","White, non-Hispanic or latino","Pass",72
"2068","101","PacificLutheranUniversity","Communal",62,"18","First-year","Female","White, non-Hispanic or latino","Fail",76
"2069","102","PacificLutheranUniversity","Communal",69,"18","First-year","Male","White, non-Hispanic or latino","Pass",78
"2070","103","PacificLutheranUniversity","Communal",60,"18","First-year","Female","White, non-Hispanic or latino","Fail",79
"2071","104","PacificLutheranUniversity","Communal",70,"20","Sophomore","Female","White, non-Hispanic or latino","Pass",74
"2073","107","PacificLutheranUniversity","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass",80
"2074","108","PacificLutheranUniversity","Agentic",75,"19","First-year","Male","White, non-Hispanic or latino","Pass",80
"2075","109","PacificLutheranUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",79
"2076","11","PacificLutheranUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",72
"2077","110","PacificLutheranUniversity","Communal",80,"19","First-year","Male","White, non-Hispanic or latino","Pass",79
"2078","111","PacificLutheranUniversity","Communal",70,"19","First-year","Male","White, non-Hispanic or latino","Fail",78
"2079","12","PacificLutheranUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass",75
"2080","13","PacificLutheranUniversity","Agentic",65,"18","Other","Female","White, non-Hispanic or latino","Pass",75
"2084","17","PacificLutheranUniversity","Agentic",70,"18","First-year","Female","Asian-American","Pass",75
"2086","19","PacificLutheranUniversity","Agentic",75,"20","Other","Female","White, non-Hispanic or latino","Fail",75
"2087","20","PacificLutheranUniversity","Communal",72,"17","First-year","Female","White, non-Hispanic or latino","Pass",76
"2088","21","PacificLutheranUniversity","Communal",65,"20","Sophomore","Male","White, non-Hispanic or latino","Pass",76
"2089","22","PacificLutheranUniversity","Communal",73,"18","Other","Female","Asian-American","Pass",76
"2090","23","PacificLutheranUniversity","Agentic",70,"19","Sophomore","Female","White, non-Hispanic or latino","Pass",74
"2091","24","PacificLutheranUniversity","Agentic",70,"18","First-year","Male","White, non-Hispanic or latino","Pass",75
"2092","25","PacificLutheranUniversity","Agentic",55,"18","Sophomore","Female","Asian-American","Fail",76
"2093","26","PacificLutheranUniversity","Agentic",65,"19","First-year","Female","White, non-Hispanic or latino","Pass",75
"2094","27","PacificLutheranUniversity","Agentic",72,"19","First-year","Female","White, non-Hispanic or latino","Pass",74
"2095","28","PacificLutheranUniversity","Communal",60,"18","First-year","Female","Asian-American","Pass",74
"2097","30","PacificLutheranUniversity","Agentic",75,"20","Sophomore","Female","White, non-Hispanic or latino","Pass",76
"2098","31","PacificLutheranUniversity","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",76
"2101","34","PacificLutheranUniversity","Communal",70,"18","First-year","Female","Multiracial","Pass",77
"2102","35","PacificLutheranUniversity","Agentic",65,"18","First-year","Male","Multiracial","Pass",77
"2103","36","PacificLutheranUniversity","Agentic",65,"19","First-year","Female","White, non-Hispanic or latino","Pass",77
"2104","37","PacificLutheranUniversity","Communal",68,"18","First-year","Male","White, non-Hispanic or latino","Pass",74
"2105","38","PacificLutheranUniversity","Agentic",72,"18","First-year","Female","White, non-Hispanic or latino","Pass",76
"2106","39","PacificLutheranUniversity","Agentic",65,"18","First-year","Female","African-American","Fail",76
"2107","40","PacificLutheranUniversity","Communal",68,"18","First-year","Female","White, non-Hispanic or latino","Pass",76
"2108","41","PacificLutheranUniversity","Communal",73,"18","First-year","Female","White, non-Hispanic or latino","Pass",76
"2109","42","PacificLutheranUniversity","Communal",76,"19","First-year","Female","White, non-Hispanic or latino","Pass",75
"2110","43","PacificLutheranUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",75
"2111","44","PacificLutheranUniversity","Agentic",68,"18","First-year","Female","White, non-Hispanic or latino","Pass",74
"2113","46","PacificLutheranUniversity","Agentic",65,"18","First-year","Female","Asian-American","Pass",75
"2114","47","PacificLutheranUniversity","Communal",70,"19","First-year","Female","White, non-Hispanic or latino","Pass",75
"2116","49","PacificLutheranUniversity","Communal",72,"19","First-year","Male","White, non-Hispanic or latino","Pass",74
"2117","50","PacificLutheranUniversity","Communal",65,"19","First-year","Female","White, non-Hispanic or latino","Pass",74
"2118","51","PacificLutheranUniversity","Agentic",70,"18","First-year","Male","Asian-American","Pass",72
"2119","52","PacificLutheranUniversity","Communal",68,"18","First-year","Female","African-American","Pass",72
"2120","53","PacificLutheranUniversity","Communal",68,"19","First-year","Female","White, non-Hispanic or latino","Pass",72
"2121","54","PacificLutheranUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",74
"2122","55","PacificLutheranUniversity","Agentic",70,"18","First-year","Female","White, non-Hispanic or latino","Pass",75
"2123","56","PacificLutheranUniversity","Agentic",68,"18","First-year","Female","Asian-American","Pass",72
"2124","57","PacificLutheranUniversity","Communal",75,"18","First-year","Female","African-American","Fail",78
