"","Participant_ID","referrer","TempCond","tempestclean","age","year","Genderfactor","ethnicity","AttentionCheck","Temperatureinlab"
"2482","","TexasAandM","Agentic",76,"19","Sophomore","Female","White, non-Hispanic or latino","Fail",NA
"2483","","TexasAandM","Communal",80,"19","First-year","Male","White, non-Hispanic or latino","Fail",NA
"2484","","TexasAandM","Communal",75,"18","First-year","Female","White, non-Hispanic or latino","Fail",NA
"2485","","TexasAandM","Agentic",76,"22","Senior","Male","White, non-Hispanic or latino","Pass",NA
"2486","10","TexasAandM","Agentic",75,"19","Sophomore","Female","Multiracial","Fail",73
"2487","100","TexasAandM","Communal",72,"19","First-year","Male","White, non-Hispanic or latino","Fail",73
"2488","101","TexasAandM","Agentic",75,"18","First-year",NA,NA,"Fail",73
"2489","102","TexasAandM","Communal",70,"18","First-year","Male","White, non-Hispanic or latino","Pass",73
"2490","103","TexasAandM","Agentic",78,"22","Senior","Female","White, non-Hispanic or latino","Pass",73
"2491","104","TexasAandM","Agentic",74,"19","Sophomore","Male","White, non-Hispanic or latino","Pass",73
"2492","105","TexasAandM","Communal",80,"18","First-year","Female","Multiracial","Fail",73
"2493","106","TexasAandM","Communal",80,"19","Sophomore","Male","African-American","Pass",73
"2494","107","TexasAandM","Communal",72,"20","Sophomore","Female","White, non-Hispanic or latino","Fail",73
"2495","108","TexasAandM","Communal",70,"19","Sophomore","Female","Latino or Hispanic","Fail",73
"2496","109","TexasAandM","Agentic",74,"18","First-year","Female","White, non-Hispanic or latino","Pass",73
"2497","11","TexasAandM","Agentic",75,"21","Junior","Female","White, non-Hispanic or latino","Pass",73
"2498","110","TexasAandM","Agentic",75,"19","Sophomore","Female","White, non-Hispanic or latino","Fail",73
"2499","111","TexasAandM","Agentic",70,"20","Sophomore","Female","African-American","Fail",73
"2500","112","TexasAandM","Agentic",72,"18","First-year","Male","Asian-American","Pass",73
"2501","113","TexasAandM","Communal",75,"19","Sophomore","Female","Latino or Hispanic","Fail",73
"2502","114","TexasAandM","Communal",70,"18","First-year","Female","White, non-Hispanic or latino","Fail",73
"2503","115","TexasAandM","Communal",73,"19","First-year","Male","White, non-Hispanic or latino","Fail",73
"2504","116","TexasAandM","Agentic",70,"19","First-year","Male","White, non-Hispanic or latino","Pass",73
