"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"1","10","AshlandUniversity","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"2","11","AshlandUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"3","12","AshlandUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","Multiracial","Pass"
"4","13","AshlandUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"5","14","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"6","15","AshlandUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"7","16","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"8","17","AshlandUniversity","Light Clipboard",2,"Include","24","Sophomore","Male","Other","Fail"
"9","18","AshlandUniversity","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"10","19","AshlandUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"11","20","AshlandUniversity","Heavy Clipboard",6,"Include","19","First-year","Male","White, non-Hispanic or latino","Pass"
"13","22","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"14","23","AshlandUniversity","Light Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"15","24","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"16","25","AshlandUniversity","Light Clipboard",4,"Include",NA,NA,NA,NA,NA
"17","26","AshlandUniversity","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"18","27","AshlandUniversity","Light Clipboard",7,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"19","28","AshlandUniversity","Heavy Clipboard",7,"Include","21",NA,"Female",NA,"Pass"
"20","29","AshlandUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"21","30","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"22","31","AshlandUniversity","Light Clipboard",5,"Include",NA,NA,NA,NA,NA
"24","33","AshlandUniversity","Light Clipboard",6,"Include","18","Sophomore","Female","White, non-Hispanic or latino","Fail"
"25","34","AshlandUniversity","Heavy Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"26","35","AshlandUniversity","Light Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"27","36","AshlandUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"28","37","AshlandUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"29","38","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"30","39","AshlandUniversity","Light Clipboard",7,"Include",NA,"Sophomore",NA,"White, non-Hispanic or latino","Pass"
"31","40","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"32","41","AshlandUniversity","Light Clipboard",7,"Include","18","Sophomore","Male","White, non-Hispanic or latino","Pass"
"33","42","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"34","43","AshlandUniversity","Light Clipboard",4,"Include","20","Junior","Female","Other","Pass"
"35","44","AshlandUniversity","Heavy Clipboard",5,"Include","18","First-year","Female","Asian-American","Fail"
"36","45","AshlandUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"37","46","AshlandUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"38","47","AshlandUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"39","48","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"40","49","AshlandUniversity","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"41","50","AshlandUniversity","Heavy Clipboard",6,"Include","20","Senior","Female","White, non-Hispanic or latino","Fail"
"42","51","AshlandUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"43","52","AshlandUniversity","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
