"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"97","1","BradleyUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"99","100","BradleyUniversity","Heavy Clipboard",6,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"100","101","BradleyUniversity","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"101","102","BradleyUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"102","103","BradleyUniversity","Light Clipboard",7,"Include","23","Senior","Female","White, non-Hispanic or latino","Pass"
"103","104","BradleyUniversity","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"104","105","BradleyUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"105","106","BradleyUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"106","107","BradleyUniversity","Light Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"107","108","BradleyUniversity","Heavy Clipboard",6,"Include","19","First-year","Female","African-American","Pass"
"108","109","BradleyUniversity","Light Clipboard",7,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"109","11","BradleyUniversity","Light Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"110","110","BradleyUniversity","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"111","111","BradleyUniversity","Light Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"112","112","BradleyUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Male","Latino or Hispanic","Pass"
"113","113","BradleyUniversity","Light Clipboard",4,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"114","114","BradleyUniversity","Heavy Clipboard",7,"Include","20","Sophomore","Female","African-American","Fail"
"115","115","BradleyUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
