"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"278","10","IthacaCollege","Heavy Clipboard",7,"Include","18","First-year","Female","African-American","Pass"
"281","102","IthacaCollege","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"282","103","IthacaCollege","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"286","107","IthacaCollege","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"288","109","IthacaCollege","Light Clipboard",6,"Include","19","Sophomore",NA,"White, non-Hispanic or latino","Fail"
"291","111","IthacaCollege","Light Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"292","112","IthacaCollege","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"300","12","IthacaCollege","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"302","121","IthacaCollege","Light Clipboard",3,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"304","123","IthacaCollege","Light Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"311","13","IthacaCollege","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"313","131","IthacaCollege","Light Clipboard",5,"Include","21","Senior","Male","White, non-Hispanic or latino","Pass"
"314","132","IthacaCollege","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"317","14","IthacaCollege","Heavy Clipboard",7,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"319","16","IthacaCollege","Heavy Clipboard",6,"Include","21","Senior","Female","White, non-Hispanic or latino","Pass"
"321","18","IthacaCollege","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"323","20","IthacaCollege","Heavy Clipboard",7,"Include","18","First-year","Female","Asian-American","Pass"
"324","21","IthacaCollege","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"325","22","IthacaCollege","Heavy Clipboard",6,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"326","23","IthacaCollege","Light Clipboard",7,"Include","20","Junior","Male","White, non-Hispanic or latino","Pass"
"327","24","IthacaCollege","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"328","25","IthacaCollege","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"329","26","IthacaCollege","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"330","27","IthacaCollege","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"331","28","IthacaCollege","Heavy Clipboard",7,"Include","18","First-year","Female","Other","Fail"
"332","29","IthacaCollege","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"333","30","IthacaCollege","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"334","31","IthacaCollege","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"335","32","IthacaCollege","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"336","33","IthacaCollege","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"338","35","IthacaCollege","Light Clipboard",1,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"339","36","IthacaCollege","Heavy Clipboard",6,"Include","20","Senior","Female","White, non-Hispanic or latino","Pass"
"341","38","IthacaCollege","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"342","39","IthacaCollege","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"344","41","IthacaCollege","Light Clipboard",7,"Include","20","Sophomore","Female","White, non-Hispanic or latino","Pass"
"345","42","IthacaCollege","Heavy Clipboard",7,"Include","19","Sophomore","Male","African-American","Pass"
"346","43","IthacaCollege","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"347","44","IthacaCollege","Heavy Clipboard",6,"Include",NA,"First-year","Female","White, non-Hispanic or latino","Pass"
"348","45","IthacaCollege","Light Clipboard",7,"Include","18","First-year","Female","Asian-American","Pass"
"350","47","IthacaCollege","Light Clipboard",6,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"351","48","IthacaCollege","Heavy Clipboard",6,"Include",NA,NA,NA,NA,NA
"353","50","IthacaCollege","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"357","54","IthacaCollege","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"359","56","IthacaCollege","Heavy Clipboard",3,"Include","21","Junior","Male","White, non-Hispanic or latino","Pass"
"363","60","IthacaCollege","Heavy Clipboard",7,"Include",NA,NA,NA,NA,NA
"364","61","IthacaCollege","Light Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"366","63","IthacaCollege","Light Clipboard",6,"Include","22","Sophomore","Female","White, non-Hispanic or latino","Pass"
"368","65","IthacaCollege","Light Clipboard",6,"Include","20","Junior","Male","White, non-Hispanic or latino","Pass"
"374","70","IthacaCollege","Heavy Clipboard",7,"Include","21","Junior","Female","White, non-Hispanic or latino","Pass"
