"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"523","1","MichiganStateUniversity","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"524","10","MichiganStateUniversity","Heavy Clipboard",7,"Include","21","Senior","Female","White, non-Hispanic or latino","Fail"
"526","101","MichiganStateUniversity","Light Clipboard",7,"Include","21","Senior","Female","Latino or Hispanic","Pass"
"527","102","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"528","103","MichiganStateUniversity","Light Clipboard",7,"Include","18","Sophomore","Female","White, non-Hispanic or latino","Pass"
"529","104","MichiganStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"530","105","MichiganStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"531","106","MichiganStateUniversity","Heavy Clipboard",7,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"532","107","MichiganStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"533","108","MichiganStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"534","109","MichiganStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Male","White, non-Hispanic or latino","Pass"
"535","11","MichiganStateUniversity","Light Clipboard",6,"Include","19","Junior","Male","White, non-Hispanic or latino","Pass"
"536","110","MichiganStateUniversity","Heavy Clipboard",5,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"537","111","MichiganStateUniversity","Light Clipboard",5,"Include","20","Sophomore","Female","Other","Fail"
"538","112","MichiganStateUniversity","Heavy Clipboard",7,"Include","20","Junior","Male","White, non-Hispanic or latino","Fail"
"539","113","MichiganStateUniversity","Light Clipboard",6,"Include","20","Junior","Female","White, non-Hispanic or latino","Fail"
"540","114","MichiganStateUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"541","115","MichiganStateUniversity","Light Clipboard",7,"Include","18","Sophomore","Female","White, non-Hispanic or latino","Pass"
"542","116","MichiganStateUniversity","Heavy Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
