"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"877","10","MontanaStateUniversity","Heavy Clipboard",6,"Include","21","Junior","Female","White, non-Hispanic or latino","Pass"
"878","100","MontanaStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"879","101","MontanaStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"880","102","MontanaStateUniversity","Heavy Clipboard",6,"Include","23","Other","Female","White, non-Hispanic or latino","Fail"
"881","103","MontanaStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"882","104","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"884","106","MontanaStateUniversity","Heavy Clipboard",6,"Include","20","Junior","Female","White, non-Hispanic or latino","Pass"
"885","107","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"886","108","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"887","109","MontanaStateUniversity","Light Clipboard",5,"Include",NA,NA,NA,NA,NA
"888","11","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"889","110","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","Asian-American","Fail"
"890","111","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","Native American and Alaska Native","Fail"
"891","112","MontanaStateUniversity","Heavy Clipboard",6,"Include","21","First-year","Male","White, non-Hispanic or latino","Fail"
"892","113","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"893","114","MontanaStateUniversity","Heavy Clipboard",7,"Include","21","Sophomore","Male","White, non-Hispanic or latino","Fail"
"894","115","MontanaStateUniversity","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"895","116","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"896","117","MontanaStateUniversity","Light Clipboard",7,"Include","22","Senior","Female","White, non-Hispanic or latino","Fail"
"898","119","MontanaStateUniversity","Light Clipboard",6,"Include","19","First-year","Female","White, non-Hispanic or latino","Pass"
"899","12","MontanaStateUniversity","Heavy Clipboard",3,"Include","18","First-year","Female","African-American","Fail"
"900","120","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"901","121","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino",NA
"902","122","MontanaStateUniversity","Heavy Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
