"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"3078","1","UniversityOfFlorida","Light Clipboard",6,"Include","19","Sophomore","Female","Asian-American","Pass"
"3079","10","UniversityOfFlorida","Heavy Clipboard",7,"Include","18","First-year","Female","Asian-American","Pass"
"3080","100","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"3081","101","UniversityOfFlorida","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3082","102","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","First-year","Female","Asian-American","Pass"
"3083","103","UniversityOfFlorida","Light Clipboard",6,"Include","19","First-year","Male","Asian-American","Fail"
"3084","104","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"3085","105","UniversityOfFlorida","Light Clipboard",6,"Include","18","First-year","Male","Asian-American","Pass"
"3086","106","UniversityOfFlorida","Heavy Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"3087","107","UniversityOfFlorida","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3089","109","UniversityOfFlorida","Light Clipboard",7,"Include","20","Sophomore","Male","White, non-Hispanic or latino","Pass"
"3090","11","UniversityOfFlorida","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"3091","110","UniversityOfFlorida","Heavy Clipboard",5,"Include","19","First-year","Female","White, non-Hispanic or latino","Fail"
"3092","111","UniversityOfFlorida","Light Clipboard",6,"Include","20","Junior","Male","African-American","Fail"
"3093","112","UniversityOfFlorida","Heavy Clipboard",6,"Include","19","Sophomore","Male","Latino or Hispanic","Pass"
"3094","113","UniversityOfFlorida","Light Clipboard",7,"Include","18","First-year","Female","Latino or Hispanic","Pass"
"3095","114","UniversityOfFlorida","Heavy Clipboard",7,"Include","20","Sophomore","Female","African-American","Fail"
"3096","115","UniversityOfFlorida","Light Clipboard",5,"Include","19","Sophomore","Female","Multiracial","Pass"
"3097","116","UniversityOfFlorida","Heavy Clipboard",6,"Include","18","First-year","Female","Latino or Hispanic","Pass"
