"","participantnum","referrer","ms_condition","pro_minus_anti","race","countryofbirth"
"1054","1","illinois","ms",0.666666666666666,NA,NA
"1055","2","illinois","tv",0,NA,NA
"1056","3","illinois","tv",-0.333333333333334,NA,NA
"1057","4","illinois","ms",2.33333333333333,NA,NA
"1058","5","illinois","tv",1,NA,NA
"1059","6","illinois","ms",2.33333333333333,NA,NA
"1060","7","illinois","ms",-4,NA,NA
"1061","8","illinois","tv",0,NA,NA
"1062","9","illinois","tv",-4.33333333333333,NA,NA
"1063","10","illinois","ms",-1,NA,NA
"1064","11","illinois","ms",1.33333333333333,NA,NA
"1065","12","illinois","tv",0.333333333333334,NA,NA
"1066","13","illinois","tv",-1,NA,NA
"1067","14","illinois","ms",0,NA,NA
"1068","15","illinois","ms",1,NA,NA
"1069","16","illinois","tv",-0.333333333333332,NA,NA
"1070","17","illinois","tv",-0.666666666666667,NA,NA
"1071","18","illinois","tv",-4,NA,NA
"1072","19","illinois","ms",1,NA,NA
"1073","20","illinois","ms",1.33333333333333,NA,NA
"1074","21","illinois","ms",1.33333333333333,NA,NA
"1075","22","illinois","tv",-1,NA,NA
"1076","23","illinois","tv",-1.33333333333333,NA,NA
"1077","24","illinois","ms",2,NA,NA
"1078","25","illinois","tv",-0.333333333333334,NA,NA
"1079","26","illinois","ms",-0.666666666666667,NA,NA
"1080","27","illinois","ms",2.33333333333333,NA,NA
"1081","28","illinois","tv",-1.66666666666667,NA,NA
"1082","29","illinois","tv",-1.66666666666667,NA,NA
"1083","30","illinois","ms",-3,NA,NA
"1084","31","illinois","ms",4.33333333333333,NA,NA
"1085","32","illinois","tv",-1.66666666666667,NA,NA
"1086","33","illinois","ms",-0.666666666666667,NA,NA
"1087","34","illinois","tv",0,NA,NA
"1088","35","illinois","ms",3.66666666666667,NA,NA
"1089","36","illinois","tv",-1.66666666666667,NA,NA
"1090","37","illinois","tv",-2,NA,NA
"1091","38","illinois","ms",1.66666666666667,NA,NA
"1092","39","illinois","ms",0,NA,NA
"1093","40","illinois","tv",-0.333333333333333,NA,NA
"1094","41","illinois","tv",-0.666666666666667,NA,NA
"1095","42","illinois","ms",-1,NA,NA
"1096","43","illinois","ms",-2,NA,NA
"1097","44","illinois","tv",1,NA,NA
"1098","45","illinois","ms",4.33333333333333,NA,NA
"1099","46","illinois","tv",2.66666666666667,NA,NA
"1100","47","illinois","ms",2,NA,NA
"1101","48","illinois","tv",-6,NA,NA
"1102","49","illinois","tv",-1,NA,NA
"1103","50","illinois","ms",2.66666666666667,NA,NA
"1104","51","illinois","ms",-1.33333333333333,NA,NA
"1105","52","illinois","tv",-3.66666666666667,NA,NA
"1106","53","illinois","tv",1.66666666666667,NA,NA
"1107","54","illinois","ms",2.66666666666667,NA,NA
"1108","55","illinois","ms",0,NA,NA
"1109","56","illinois","ms",0,NA,NA
"1110","57","illinois","tv",-1.66666666666667,NA,NA
"1111","58","illinois","tv",-1.33333333333333,NA,NA
"1112","59","illinois","ms",0.666666666666667,NA,NA
"1113","60","illinois","tv",2.33333333333333,NA,NA
"1114","61","illinois","ms",1,NA,NA
"1115","62","illinois","ms",3,NA,NA
"1116","63","illinois","ms",0.333333333333334,NA,NA
"1117","64","illinois","ms",0.333333333333334,NA,NA
"1118","65","illinois","tv",-0.666666666666667,NA,NA
"1119","66","illinois","tv",0.666666666666666,NA,NA
"1120","67","illinois","ms",-2,NA,NA
"1121","68","illinois","tv",-2.33333333333333,NA,NA
"1122","69","illinois","tv",-1.33333333333333,NA,NA
"1123","70","illinois","ms",-2.66666666666667,NA,NA
"1124","71","illinois","tv",1.33333333333333,NA,NA
"1125","72","illinois","ms",2,NA,NA
"1126","73","illinois","tv",1.66666666666667,NA,NA
"1127","74","illinois","tv",0.333333333333333,NA,NA
"1128","75","illinois","ms",1.33333333333333,NA,NA
"1129","76","illinois","tv",-1.66666666666667,NA,NA
"1130","77","illinois","tv",-3.66666666666667,NA,NA
"1131","78","illinois","ms",1.66666666666667,NA,NA
"1132","79","illinois","tv",1.33333333333333,NA,NA
"1133","80","illinois","ms",2.66666666666667,NA,NA
"1134","81","illinois","tv",-1,NA,NA
"1135","82","illinois","ms",-0.666666666666667,NA,NA
"1136","83","illinois","tv",-0.666666666666666,NA,NA
"1137","84","illinois","ms",0,NA,NA
"1138","85","illinois","ms",-0.333333333333333,NA,NA
"1139","86","illinois","tv",-2.66666666666667,NA,NA
"1140","87","illinois","tv",0,NA,NA
"1141","88","illinois","ms",-4,NA,NA
"1142","89","illinois","tv",1,NA,NA
