"","participantnum","referrer","ms_condition","pro_minus_anti","race","countryofbirth"
"445","1","ithaca","tv",-2.66666666666667,1,1
"446","2","ithaca","tv",1.33333333333333,1,1
"447","3","ithaca","ms",-5.66666666666667,1,1
"448","4","ithaca","tv",0,1,1
"449","5","ithaca","ms",4.66666666666667,4,1
"450","6","ithaca","ms",1,1,1
"451","7","ithaca","tv",-4,1,1
"452","8","ithaca","tv",2.33333333333333,1,1
"453","9","ithaca","ms",-3.66666666666667,2,1
"454","10","ithaca","tv",1.66666666666667,1,1
"455","11","ithaca","tv",3.33333333333333,1,1
"456","12","ithaca","ms",0.333333333333333,1,1
"457","13","ithaca","ms",1,1,1
"458","14","ithaca","ms",0,1,1
"459","15","ithaca","tv",-0.666666666666666,4,1
"460","16","ithaca","tv",-2,1,1
"461","17","ithaca","tv",-4.33333333333333,2,1
"462","18","ithaca","ms",-1.33333333333333,1,1
"463","19","ithaca","ms",-3.33333333333333,1,1
"464","20","ithaca","tv",-1,5,1
"465","21","ithaca","ms",0.666666666666666,1,1
"466","22","ithaca","ms",-3.33333333333333,2,1
"467","23","ithaca","tv",-0.333333333333333,1,1
"468","24","ithaca","tv",-2.33333333333333,1,1
"469","25","ithaca","ms",0,1,1
"470","26","ithaca","tv",-1,4,1
"471","27","ithaca","ms",-2.66666666666667,1,1
"472","28","ithaca","ms",-4.66666666666667,1,1
"473","29","ithaca","tv",-1.66666666666667,1,1
"474","30","ithaca","ms",-0.666666666666666,1,1
"475","31","ithaca","tv",0,6,1
"476","32","ithaca","tv",0.333333333333333,1,1
"477","33","ithaca","ms",-7,2,1
"478","34","ithaca","tv",0,1,1
"479","35","ithaca","ms",-2,4,2
"480","36","ithaca","tv",-7.66666666666667,6,1
"481","37","ithaca","ms",-4.33333333333333,6,2
"482","38","ithaca","ms",-0.666666666666667,1,1
"483","39","ithaca","tv",1.66666666666667,1,1
"484","40","ithaca","ms",-1.33333333333333,1,2
"485","41","ithaca","tv",-3.66666666666667,1,1
"486","42","ithaca","tv",0,1,1
"487","43","ithaca","ms",-3.33333333333333,1,1
"488","44","ithaca","ms",1,1,1
"489","45","ithaca","tv",-0.666666666666666,2,1
"490","46","ithaca","tv",-0.666666666666667,1,1
"491","47","ithaca","ms",0,1,1
"492","48","ithaca","tv",-3,6,1
"493","49","ithaca","ms",2,1,1
"494","50","ithaca","tv",0.666666666666667,1,1
"495","51","ithaca","ms",4,1,2
"496","52","ithaca","tv",1.33333333333333,1,1
"497","53","ithaca","ms",-5,1,1
"498","54","ithaca","ms",0.333333333333334,4,1
"499","55","ithaca","tv",-3.66666666666667,2,1
"500","56","ithaca","ms",2,1,1
