"","participantnum","referrer","ms_condition","pro_minus_anti","race","countryofbirth"
"326","A1","occid","ms",-0.666666666666667,4,2
"327","A2","occid","ms",0.666666666666667,4,1
"328","A3","occid","tv",0.666666666666667,1,1
"329","A4","occid","tv",0,1,1
"330","A5","occid","ms",1.33333333333333,1,1
"331","M1","occid","ms",0.333333333333334,1,1
"332","A6","occid","ms",1.33333333333333,4,1
"333","M2","occid","ms",1,6,1
"334","M3","occid","ms",0.333333333333333,1,1
"335","A7","occid","ms",0.333333333333333,NA,1
"336","M4","occid","ms",-0.333333333333334,4,2
"337","M6","occid","ms",-1,4,2
"338","M6B","occid","ms",-0.666666666666667,1,1
"339","M7","occid","ms",-1.5,4,1
"340","A10","occid","tv",0.333333333333334,4,1
"341","A11","occid","ms",0,NA,1
"342","A8","occid","ms",1.33333333333333,1,1
"343","A9","occid","tv",-2,1,1
"344","J1","occid","ms",0.5,4,2
"345","V1","occid","tv",0.333333333333332,1,1
"346","J2","occid","ms",1,NA,1
"347","M8","occid","ms",-0.333333333333333,4,1
"348","A12","occid","ms",1,1,1
"349","M9","occid","tv",0,6,1
"350","M10","occid","tv",-0.333333333333333,4,2
"351","M12","occid","tv",-0.333333333333333,NA,2
"352","M13","occid","tv",1,6,1
"353","M11","occid","tv",2,2,1
"354","m14","occid","ms",-0.666666666666667,1,1
"355","M15","occid","tv",2.33333333333333,1,1
"356","M16","occid","ms",-1.33333333333333,4,1
"357","M17","occid","ms",0,1,1
"358","M18","occid","tv",-3.66666666666667,1,1
"359","A19","occid","ms",1,1,1
"360","A 20","occid","ms",-1.33333333333333,NA,1
"361","A22","occid","ms",3.33333333333333,1,1
"362","A21","occid","tv",0.333333333333333,4,NA
"363","A23","occid","ms",0,NA,1
"364","A23b","occid","ms",-0.333333333333334,6,1
"365","A 24","occid","ms",0,2,1
"366","V5","occid","tv",0.666666666666667,2,1
"367","v6","occid","tv",0.666666666666667,NA,1
"368","A21B","occid","ms",-3.33333333333333,1,1
"369","V3","occid","tv",-1.66666666666667,6,1
"370","v2","occid","ms",0,4,2
"371","v4","occid","tv",1,4,2
"372","v9","occid","tv",2,6,1
"373","M21","occid","ms",7.33333333333333,1,1
"374","V10","occid","tv",-4.5,4,1
"375","M20","occid","tv",1,1,1
"376","v7","occid","tv",-0.333333333333332,6,1
"377","V8","occid","tv",-3,2,1
"378","MP19","occid","ms",-0.333333333333333,1,1
"379","A15","occid","ms",1,NA,1
"380","A16","occid","ms",-2.66666666666667,1,1
"381","A13","occid","tv",0,1,1
"382","A17","occid","tv",-1.33333333333333,1,1
"383","A14","occid","ms",-1.33333333333333,1,1
"384","A18","occid","tv",2.33333333333333,1,2
"385","M22","occid","tv",0.666666666666667,4,1
"386","M23","occid","tv",1.33333333333333,4,1
"387","A32","occid","tv",2.66666666666667,1,1
"388","CL1","occid","ms",-1.66666666666667,1,1
"389","MP25","occid","tv",-1,4,2
"390","CL2","occid","tv",1.66666666666667,1,1
"391","MP24","occid","tv",1.33333333333333,2,1
"392","A33","occid","ms",8,1,1
"393","M26","occid","ms",0,1,1
"394","A31","occid","tv",0.333333333333333,1,1
"395","A30","occid","tv",0,1,1
"396","M27","occid","tv",-1,4,1
"397","V11","occid","ms",0,NA,2
"398","V12","occid","ms",0,2,1
"399","V13","occid","tv",0.666666666666666,1,1
"400","V14","occid","tv",1.66666666666667,1,1
"401","V15","occid","ms",2.66666666666667,1,1
"402","V16","occid","ms",-4.33333333333333,2,1
"403","V17","occid","tv",3,4,1
"404","V18","occid","tv",-0.333333333333334,5,1
"405","V19","occid","tv",2.66666666666667,1,1
"406","V20","occid","ms",3.33333333333333,6,1
"407","V21","occid","ms",2.33333333333333,4,2
"408","A25","occid","ms",0.666666666666666,1,1
"409","V22","occid","tv",-0.333333333333333,2,1
"410","V24","occid","ms",0,1,1
"411","V23","occid","ms",4.66666666666667,NA,1
"412","V25","occid","tv",2.66666666666667,1,1
"413","V26","occid","tv",0.333333333333333,2,1
"414","V27","occid","ms",2.66666666666667,4,2
