"","participantnum","referrer","ms_condition","pro_minus_anti","race","countryofbirth"
"1","1","riverside","ms",3,4,1
"2","2","riverside","ms",0.333333333333334,4,2
"3","3","riverside","ms",-1,NA,2
"4","4","riverside","tv",1.66666666666667,2,1
"5","5","riverside","ms",1.66666666666667,4,1
"6","6","riverside","tv",-1,5,1
"7","7","riverside","ms",4,4,1
"8","8","riverside","tv",1,4,1
"9","9","riverside","ms",0.666666666666667,4,1
"10","10","riverside","ms",-0.666666666666667,2,2
"11","11","riverside","tv",1,4,1
"12","12","riverside","ms",-0.333333333333334,4,1
"13","13","riverside","tv",1.33333333333333,4,2
"14","14","riverside","tv",0,NA,1
"15","15","riverside","tv",0,4,1
"16","16","riverside","ms",-2,4,1
"17","17","riverside","tv",1,NA,1
"18","18","riverside","ms",1,2,1
"19","19","riverside","ms",-0.333333333333333,4,1
"20","20","riverside","ms",-0.333333333333334,4,1
"21","21","riverside","ms",2.33333333333333,4,1
"22","22","riverside","ms",0,6,2
"23","23","riverside","tv",-1.33333333333333,6,1
"24","24","riverside","ms",-4,NA,1
"25","25","riverside","ms",0,4,1
"26","26","riverside","ms",-1,4,1
"27","27","riverside","ms",-1,4,1
"28","28","riverside","ms",1.66666666666667,4,1
"29","29","riverside","ms",5.66666666666667,4,1
"30","30","riverside","ms",1.33333333333333,6,1
"31","31","riverside","ms",0,NA,1
"32","32","riverside","ms",0,4,1
"33","33","riverside","ms",0,4,1
"34","34","riverside","ms",0,NA,1
"35","35","riverside","ms",1.66666666666667,6,1
"36","36","riverside","tv",0.333333333333334,6,1
"37","37","riverside","tv",0.333333333333333,6,1
"38","38","riverside","tv",1.66666666666667,4,1
"39","39","riverside","tv",0.666666666666667,NA,NA
"40","40","riverside","tv",2.33333333333333,4,1
"41","41","riverside","tv",3.33333333333333,4,1
"42","42","riverside","tv",0.333333333333334,1,1
"43","43","riverside","tv",-2.66666666666667,4,1
"44","44","riverside","tv",0,NA,1
"45","45","riverside","tv",-0.666666666666666,1,1
"46","46","riverside","tv",0.666666666666666,4,1
"47","47","riverside","tv",-1.33333333333333,6,2
"48","48","riverside","tv",1.33333333333333,2,1
"49","49","riverside","tv",0,NA,1
"50","50","riverside","tv",0,4,2
"51","51","riverside","tv",1.33333333333333,4,2
"52","52","riverside","tv",0.666666666666667,6,1
"53","53","riverside","tv",0,1,1
"54","54","riverside","tv",1.66666666666667,1,1
"55","55","riverside","tv",0.666666666666666,6,1
"56","56","riverside","ms",1.66666666666667,4,2
"57","57","riverside","ms",1.33333333333333,4,1
"58","58","riverside","ms",-1.66666666666667,4,1
"59","59","riverside","tv",0,1,1
"60","60","riverside","ms",1,NA,1
"61","61","riverside","ms",2.33333333333333,1,1
"62","62","riverside","tv",-1,4,1
"63","63","riverside","ms",-0.333333333333333,4,1
"64","64","riverside","tv",2,5,1
"65","65","riverside","tv",2,4,1
"66","66","riverside","ms",0,4,2
"67","67","riverside","tv",-0.333333333333334,NA,1
"68","68","riverside","ms",-2.66666666666667,4,2
"69","70","riverside","tv",5.66666666666667,6,1
"70","71","riverside","ms",1,4,1
"71","72","riverside","tv",-1.66666666666667,4,1
"72","73","riverside","tv",0.666666666666666,6,1
"73","74","riverside","tv",1,4,1
"74","75","riverside","ms",-0.666666666666667,6,1
"75","76","riverside","ms",0.333333333333333,4,1
"76","77","riverside","tv",0.333333333333333,4,1
"77","78","riverside","ms",1.16666666666667,6,1
"78","79","riverside","ms",4,1,1
"79","80","riverside","ms",2.33333333333333,NA,1
"80","81","riverside","tv",1.33333333333333,4,1
"81","82","riverside","ms",0.333333333333334,6,2
"82","83","riverside","tv",-1.66666666666667,NA,1
"83","84","riverside","ms",1.33333333333333,4,1
"84","85","riverside","ms",1,1,1
"85","86","riverside","tv",0.333333333333333,6,2
"86","89","riverside","ms",0.333333333333333,NA,1
"87","90","riverside","ms",0.666666666666666,6,1
"88","91","riverside","ms",3.33333333333333,NA,1
"89","92","riverside","ms",0.333333333333334,6,2
"90","93","riverside","tv",2.33333333333333,1,2
"91","94","riverside","ms",-0.333333333333334,4,4
"92","95","riverside","ms",2,1,1
"93","96","riverside","ms",-1,NA,1
"94","97","riverside","tv",1.33333333333333,2,1
"95","98","riverside","tv",2,2,1
"96","99","riverside","ms",3,4,1
"97","100","riverside","tv",1.33333333333333,1,1
"98","101","riverside","ms",-0.333333333333334,4,1
"99","102","riverside","tv",2.33333333333333,4,1
"100","103","riverside","tv",1.33333333333333,6,1
"101","104","riverside","ms",2.66666666666667,6,1
"102","105","riverside","tv",-1.33333333333333,6,1
"103","106","riverside","ms",2,4,1
"104","107","riverside","tv",-1,2,2
"105","108","riverside","tv",6.66666666666667,4,2
"106","109","riverside","tv",3.33333333333333,6,1
"107","110","riverside","ms",2.33333333333333,NA,1
