"","session_id","referrer","quoteGroup","quote"
"289",2457210,"conncoll","liked source",1
"290",2457211,"conncoll","disliked source",9
"291",2457212,"conncoll","disliked source",9
"292",2457217,"conncoll","liked source",8
"293",2457219,"conncoll","disliked source",7
"294",2457222,"conncoll","disliked source",4
"295",2457223,"conncoll","disliked source",6
"296",2457225,"conncoll","liked source",8
"297",2457226,"conncoll","liked source",5
"298",2457230,"conncoll","liked source",9
"299",2457231,"conncoll","disliked source",5
"300",2457233,"conncoll","disliked source",1
"301",2457237,"conncoll","liked source",3
"302",2457239,"conncoll","disliked source",3
"303",2457241,"conncoll","disliked source",9
"304",2457242,"conncoll","disliked source",9
"305",2457247,"conncoll","disliked source",5
"306",2457266,"conncoll","disliked source",5
"307",2457376,"conncoll","disliked source",7
"308",2457377,"conncoll","liked source",4
"309",2457395,"conncoll","liked source",2
"310",2457410,"conncoll","liked source",5
"311",2457483,"conncoll","disliked source",5
"312",2457484,"conncoll","liked source",4
"313",2457485,"conncoll","disliked source",4
"314",2457486,"conncoll","disliked source",3
"315",2457487,"conncoll","liked source",5
"316",2457489,"conncoll","liked source",9
"317",2457490,"conncoll","disliked source",6
"318",2457492,"conncoll","disliked source",3
"319",2457497,"conncoll","liked source",9
"320",2457498,"conncoll","disliked source",5
"321",2457706,"conncoll","liked source",9
"323",2457722,"conncoll","disliked source",8
"324",2457723,"conncoll","liked source",3
"325",2457724,"conncoll","liked source",4
"326",2457725,"conncoll","liked source",9
"327",2457726,"conncoll","disliked source",4
"328",2457727,"conncoll","liked source",6
"329",2457728,"conncoll","disliked source",5
"330",2457730,"conncoll","disliked source",5
"331",2457731,"conncoll","disliked source",3
"332",2457732,"conncoll","disliked source",6
"333",2457733,"conncoll","disliked source",4
"334",2457734,"conncoll","liked source",6
"335",2457735,"conncoll","disliked source",7
"336",2457736,"conncoll","liked source",9
"337",2457737,"conncoll","disliked source",6
"338",2457738,"conncoll","liked source",6
"339",2459368,"conncoll","disliked source",9
"340",2459414,"conncoll","disliked source",3
"341",2459417,"conncoll","liked source",6
"342",2459418,"conncoll","disliked source",4
"343",2459420,"conncoll","liked source",8
"344",2459421,"conncoll","liked source",2
"345",2459422,"conncoll","liked source",5
"346",2459423,"conncoll","liked source",4
"347",2459425,"conncoll","liked source",9
"348",2459427,"conncoll","disliked source",6
"349",2459429,"conncoll","disliked source",9
"350",2459430,"conncoll","liked source",7
"351",2459434,"conncoll","disliked source",5
"352",2459436,"conncoll","disliked source",2
"353",2459439,"conncoll","liked source",3
"354",2459458,"conncoll","liked source",3
"355",2459547,"conncoll","disliked source",3
"356",2459550,"conncoll","disliked source",5
"357",2459551,"conncoll","disliked source",3
"358",2459553,"conncoll","liked source",5
"359",2459554,"conncoll","liked source",4
"360",2459555,"conncoll","liked source",6
"361",2459556,"conncoll","disliked source",4
"362",2459557,"conncoll","liked source",7
"363",2459558,"conncoll","liked source",6
"364",2459560,"conncoll","liked source",6
"365",2459562,"conncoll","liked source",7
"366",2459567,"conncoll","liked source",7
"367",2459568,"conncoll","liked source",7
"368",2459575,"conncoll","disliked source",9
"369",2459709,"conncoll","liked source",8
"370",2459710,"conncoll","disliked source",3
"371",2459711,"conncoll","disliked source",5
"372",2459712,"conncoll","disliked source",8
"373",2459714,"conncoll","liked source",7
"374",2459715,"conncoll","disliked source",5
"375",2459716,"conncoll","disliked source",7
"376",2459718,"conncoll","disliked source",7
"377",2459720,"conncoll","liked source",3
"378",2459721,"conncoll","liked source",3
"379",2459722,"conncoll","liked source",1
"380",2459723,"conncoll","disliked source",4
"381",2459724,"conncoll","disliked source",5
"382",2459727,"conncoll","liked source",7
"383",2459730,"conncoll","liked source",8
