"","session_id","referrer","quoteGroup","quote"
"384",2456784,"csun","liked source",6
"385",2456788,"csun","disliked source",6
"386",2456823,"csun","disliked source",5
"387",2456844,"csun","disliked source",5
"388",2456892,"csun","liked source",5
"389",2456916,"csun","liked source",4
"390",2456928,"csun","disliked source",4
"391",2457020,"csun","disliked source",5
"392",2457046,"csun","liked source",2
"393",2457073,"csun","disliked source",5
"394",2457074,"csun","disliked source",7
"395",2457085,"csun","disliked source",5
"396",2457121,"csun","disliked source",4
"397",2457137,"csun","disliked source",5
"398",2457163,"csun","liked source",9
"399",2457186,"csun","liked source",5
"400",2457202,"csun","liked source",4
"401",2457261,"csun","liked source",5
"402",2457268,"csun","liked source",5
"403",2457292,"csun","liked source",7
"404",2457303,"csun","liked source",4
"405",2457311,"csun","disliked source",5
"406",2457318,"csun","disliked source",7
"407",2457331,"csun","disliked source",9
"408",2457380,"csun","liked source",7
"409",2457385,"csun","disliked source",3
"410",2457394,"csun","liked source",8
"411",2457404,"csun","disliked source",5
"412",2457450,"csun","liked source",5
"413",2457471,"csun","disliked source",5
"414",2457473,"csun","disliked source",5
"415",2457480,"csun","disliked source",2
"416",2457504,"csun","disliked source",6
"417",2457572,"csun","liked source",7
"418",2457577,"csun","liked source",5
"419",2457600,"csun","disliked source",3
"420",2457611,"csun","liked source",5
"421",2457620,"csun","liked source",6
"422",2457623,"csun","liked source",9
"423",2457637,"csun","disliked source",1
"424",2457650,"csun","liked source",3
"425",2457661,"csun","liked source",9
"426",2457672,"csun","disliked source",5
"427",2457686,"csun","liked source",1
"428",2457695,"csun","liked source",9
"429",2457718,"csun","liked source",7
"430",2457739,"csun","disliked source",5
"431",2457741,"csun","liked source",2
"432",2457742,"csun","liked source",9
"433",2457780,"csun","disliked source",5
"434",2457800,"csun","disliked source",5
"435",2457808,"csun","disliked source",1
"436",2457821,"csun","liked source",9
"437",2457822,"csun","disliked source",5
"438",2457828,"csun","disliked source",4
"439",2457868,"csun","disliked source",3
"440",2457886,"csun","liked source",9
"441",2457897,"csun","disliked source",5
"442",2457898,"csun","disliked source",3
"443",2457899,"csun","liked source",7
"444",2457900,"csun","disliked source",5
"445",2457901,"csun","liked source",1
"446",2457904,"csun","disliked source",6
"447",2457917,"csun","disliked source",4
"448",2457928,"csun","liked source",8
"449",2457932,"csun","disliked source",9
"450",2457937,"csun","disliked source",5
"451",2457943,"csun","liked source",7
"452",2457949,"csun","liked source",6
"453",2457954,"csun","liked source",5
"454",2457958,"csun","liked source",4
"455",2457975,"csun","liked source",4
"456",2457988,"csun","liked source",7
"457",2457992,"csun","disliked source",1
"458",2457994,"csun","liked source",8
"459",2458037,"csun","liked source",6
"460",2458042,"csun","liked source",5
"461",2458045,"csun","liked source",9
"462",2458056,"csun","disliked source",4
"463",2458063,"csun","disliked source",3
"464",2458069,"csun","disliked source",3
"465",2458097,"csun","disliked source",1
"466",2458116,"csun","disliked source",3
"467",2458145,"csun","disliked source",3
"468",2458488,"csun","disliked source",5
"469",2459401,"csun","liked source",9
"470",2459660,"csun","liked source",5
"471",2459700,"csun","liked source",7
"472",2459706,"csun","disliked source",3
"473",2459739,"csun","liked source",1
"474",2459840,"csun","disliked source",5
"475",2459976,"csun","liked source",9
"476",2459977,"csun","disliked source",4
"477",2460053,"csun","disliked source",1
"478",2461684,"csun","disliked source",4
"479",2462263,"csun","liked source",7
