"","session_id","referrer","quoteGroup","quote"
"4520",2436706,"sdsu","liked source",7
"4521",2436967,"sdsu","disliked source",6
"4522",2440429,"sdsu","liked source",6
"4523",2440430,"sdsu","disliked source",5
"4524",2440431,"sdsu","disliked source",7
"4525",2440596,"sdsu","disliked source",5
"4526",2440598,"sdsu","disliked source",1
"4527",2440621,"sdsu","liked source",4
"4528",2440623,"sdsu","liked source",7
"4529",2440733,"sdsu","liked source",9
"4530",2440734,"sdsu","liked source",9
"4531",2440737,"sdsu","disliked source",2
"4532",2440740,"sdsu","liked source",4
"4533",2440881,"sdsu","disliked source",5
"4534",2440883,"sdsu","liked source",2
"4535",2440885,"sdsu","disliked source",5
"4536",2443108,"sdsu","disliked source",5
"4537",2443109,"sdsu","liked source",4
"4538",2443110,"sdsu","disliked source",2
"4539",2443367,"sdsu","liked source",7
"4540",2443371,"sdsu","disliked source",3
"4541",2443373,"sdsu","disliked source",3
"4542",2443376,"sdsu","disliked source",6
"4543",2443761,"sdsu","liked source",4
"4544",2443763,"sdsu","disliked source",5
"4545",2443765,"sdsu","liked source",6
"4546",2443767,"sdsu","disliked source",6
"4547",2443879,"sdsu","disliked source",5
"4548",2443882,"sdsu","disliked source",2
"4549",2443886,"sdsu","disliked source",8
"4550",2443887,"sdsu","disliked source",5
"4551",2445906,"sdsu","disliked source",9
"4552",2445908,"sdsu","disliked source",3
"4553",2445912,"sdsu","liked source",8
"4554",2445951,"sdsu","disliked source",5
"4555",2446069,"sdsu","liked source",9
"4556",2446072,"sdsu","disliked source",7
"4557",2446074,"sdsu","liked source",6
"4558",2446076,"sdsu","disliked source",3
"4559",2447580,"sdsu","disliked source",4
"4560",2447581,"sdsu","liked source",6
"4561",2447582,"sdsu","disliked source",6
"4562",2447591,"sdsu","disliked source",6
"4563",2447692,"sdsu","liked source",6
"4564",2447693,"sdsu","liked source",6
"4565",2447744,"sdsu","disliked source",5
"4566",2447904,"sdsu","liked source",9
"4567",2447907,"sdsu","liked source",5
"4568",2448199,"sdsu","liked source",8
"4569",2448201,"sdsu","liked source",7
"4570",2448202,"sdsu","disliked source",9
"4571",2448203,"sdsu","liked source",3
"4572",2448352,"sdsu","disliked source",3
"4573",2448354,"sdsu","liked source",2
"4574",2448355,"sdsu","disliked source",5
"4575",2448359,"sdsu","liked source",4
"4576",2448429,"sdsu","liked source",4
"4577",2448430,"sdsu","liked source",9
"4578",2448433,"sdsu","disliked source",5
"4579",2452411,"sdsu","disliked source",7
"4580",2452413,"sdsu","disliked source",7
"4581",2452422,"sdsu","liked source",5
"4582",2452479,"sdsu","disliked source",5
"4583",2452480,"sdsu","liked source",9
"4584",2452481,"sdsu","disliked source",5
"4585",2452747,"sdsu","liked source",8
"4586",2452749,"sdsu","liked source",6
"4587",2452750,"sdsu","disliked source",5
"4588",2452842,"sdsu","liked source",2
"4589",2452844,"sdsu","disliked source",6
"4590",2452845,"sdsu","disliked source",9
"4591",2452849,"sdsu","liked source",3
"4592",2452928,"sdsu","liked source",5
"4593",2452930,"sdsu","liked source",2
"4594",2452931,"sdsu","liked source",5
"4595",2452932,"sdsu","liked source",9
"4596",2454751,"sdsu","disliked source",4
"4597",2454752,"sdsu","liked source",9
"4598",2454753,"sdsu","liked source",9
"4599",2455017,"sdsu","disliked source",4
"4600",2455019,"sdsu","liked source",5
"4601",2455106,"sdsu","disliked source",5
"4602",2455109,"sdsu","disliked source",5
"4603",2455110,"sdsu","liked source",4
"4604",2455111,"sdsu","liked source",5
"4605",2456774,"sdsu","liked source",4
"4606",2456780,"sdsu","disliked source",5
"4607",2456782,"sdsu","liked source",4
"4608",2456795,"sdsu","disliked source",5
"4609",2456913,"sdsu","disliked source",3
"4610",2456914,"sdsu","disliked source",4
"4611",2456915,"sdsu","liked source",6
"4612",2456917,"sdsu","disliked source",7
"4613",2457079,"sdsu","liked source",8
"4614",2457081,"sdsu","disliked source",5
"4615",2457083,"sdsu","liked source",9
"4616",2457192,"sdsu","disliked source",5
"4617",2457193,"sdsu","disliked source",5
"4618",2457195,"sdsu","liked source",8
"4619",2457197,"sdsu","liked source",7
"4620",2457342,"sdsu","disliked source",6
"4621",2457345,"sdsu","disliked source",9
"4622",2457348,"sdsu","disliked source",7
"4623",2457350,"sdsu","disliked source",5
"4624",2458806,"sdsu","disliked source",6
"4625",2458808,"sdsu","disliked source",4
"4626",2458811,"sdsu","liked source",1
"4627",2458812,"sdsu","disliked source",9
"4628",2458913,"sdsu","liked source",9
"4629",2458914,"sdsu","liked source",8
"4630",2458915,"sdsu","liked source",9
"4631",2458916,"sdsu","liked source",9
"4632",2461397,"sdsu","liked source",6
"4633",2461398,"sdsu","liked source",7
"4634",2461402,"sdsu","disliked source",6
"4635",2461621,"sdsu","liked source",4
"4636",2461625,"sdsu","liked source",8
"4637",2461629,"sdsu","liked source",7
"4638",2461892,"sdsu","disliked source",5
"4639",2461893,"sdsu","disliked source",5
"4640",2461894,"sdsu","disliked source",6
"4641",2461895,"sdsu","liked source",3
"4642",2462430,"sdsu","liked source",4
"4643",2462431,"sdsu","liked source",9
"4644",2462432,"sdsu","liked source",5
"4645",2462434,"sdsu","liked source",6
"4646",2462501,"sdsu","liked source",7
"4647",2462503,"sdsu","disliked source",5
"4648",2462505,"sdsu","liked source",8
"4649",2462572,"sdsu","disliked source",5
"4650",2462573,"sdsu","liked source",7
"4651",2462574,"sdsu","liked source",5
"4652",2462575,"sdsu","disliked source",9
"4653",2466137,"sdsu","liked source",5
"4654",2466138,"sdsu","liked source",6
"4655",2466142,"sdsu","disliked source",4
"4656",2466152,"sdsu","liked source",4
"4657",2466236,"sdsu","disliked source",6
"4658",2466240,"sdsu","disliked source",9
"4659",2466241,"sdsu","liked source",9
"4660",2466441,"sdsu","liked source",7
"4661",2466442,"sdsu","disliked source",5
"4662",2466443,"sdsu","disliked source",4
"4663",2466547,"sdsu","disliked source",4
"4664",2466548,"sdsu","liked source",8
"4665",2466549,"sdsu","disliked source",3
"4666",2466635,"sdsu","disliked source",6
"4667",2466638,"sdsu","disliked source",9
"4668",2468204,"sdsu","liked source",5
"4669",2468205,"sdsu","disliked source",9
"4670",2468206,"sdsu","liked source",9
"4671",2468345,"sdsu","liked source",5
"4672",2468347,"sdsu","disliked source",5
"4673",2468348,"sdsu","liked source",6
"4674",2468350,"sdsu","liked source",5
"4675",2468450,"sdsu","disliked source",5
"4676",2468451,"sdsu","disliked source",3
