"","session_id","referrer","quoteGroup","quote"
"5429",2489735,"tilburg","disliked source",3
"5430",2489737,"tilburg","liked source",5
"5431",2489745,"tilburg","liked source",5
"5432",2489754,"tilburg","liked source",5
"5433",2489757,"tilburg","disliked source",3
"5434",2489759,"tilburg","disliked source",9
"5435",2489763,"tilburg","disliked source",9
"5436",2489764,"tilburg","disliked source",1
"5437",2489765,"tilburg","disliked source",6
"5438",2489766,"tilburg","disliked source",5
"5439",2489777,"tilburg","liked source",6
"5440",2489790,"tilburg","liked source",9
"5441",2489797,"tilburg","liked source",4
"5442",2489800,"tilburg","liked source",5
"5443",2489804,"tilburg","disliked source",8
"5444",2489805,"tilburg","disliked source",6
"5445",2489813,"tilburg","liked source",4
"5446",2489815,"tilburg","disliked source",1
"5447",2489819,"tilburg","disliked source",1
"5448",2489821,"tilburg","liked source",9
"5449",2489838,"tilburg","disliked source",5
"5450",2489840,"tilburg","liked source",7
"5451",2489841,"tilburg","disliked source",4
"5452",2489842,"tilburg","disliked source",7
"5453",2489843,"tilburg","liked source",2
"5454",2489845,"tilburg","liked source",7
"5455",2489846,"tilburg","liked source",4
"5456",2489847,"tilburg","liked source",4
"5457",2491621,"tilburg","disliked source",3
"5458",2491639,"tilburg","liked source",5
"5459",2491640,"tilburg","disliked source",7
"5460",2491659,"tilburg","disliked source",5
"5461",2491660,"tilburg","disliked source",3
"5462",2491661,"tilburg","disliked source",5
"5463",2491663,"tilburg","disliked source",4
"5464",2491675,"tilburg","disliked source",8
"5465",2491681,"tilburg","disliked source",6
"5466",2491682,"tilburg","liked source",6
"5467",2491691,"tilburg","liked source",5
"5468",2491692,"tilburg","liked source",4
"5469",2491693,"tilburg","liked source",5
"5470",2491695,"tilburg","disliked source",2
"5471",2491697,"tilburg","liked source",7
"5472",2491699,"tilburg","disliked source",2
"5473",2491701,"tilburg","disliked source",6
"5474",2493370,"tilburg","disliked source",6
"5475",2493371,"tilburg","disliked source",4
"5476",2493372,"tilburg","disliked source",4
"5477",2493374,"tilburg","disliked source",6
"5478",2493375,"tilburg","liked source",8
"5479",2493403,"tilburg","disliked source",5
"5480",2493583,"tilburg","disliked source",5
"5481",2493618,"tilburg","disliked source",4
"5482",2493623,"tilburg","disliked source",3
"5483",2493627,"tilburg","disliked source",7
"5484",2493630,"tilburg","liked source",6
"5485",2493632,"tilburg","liked source",4
"5486",2493634,"tilburg","disliked source",1
"5487",2493639,"tilburg","disliked source",9
"5488",2493643,"tilburg","liked source",5
"5489",2495318,"tilburg","disliked source",7
"5490",2495320,"tilburg","disliked source",3
"5491",2495321,"tilburg","liked source",4
"5492",2495322,"tilburg","liked source",6
"5493",2495352,"tilburg","liked source",8
"5494",2495425,"tilburg","disliked source",3
"5495",2495427,"tilburg","disliked source",1
"5496",2495429,"tilburg","disliked source",4
"5497",2495430,"tilburg","disliked source",1
"5498",2495431,"tilburg","liked source",5
"5499",2495433,"tilburg","liked source",4
"5500",2495435,"tilburg","liked source",5
"5501",2495438,"tilburg","disliked source",4
"5502",2495440,"tilburg","disliked source",6
"5503",2495458,"tilburg","liked source",5
"5504",2495460,"tilburg","disliked source",4
"5505",2495590,"tilburg","liked source",9
"5506",2497280,"tilburg","liked source",8
"5507",2497308,"tilburg","disliked source",3
"5508",2497333,"tilburg","liked source",9
